,2016-12-31,2017-03-31
AccountsPayableAndAccruedLiabilitiesCurrent,106600.000,131275.000
AccountsPayableCurrent,83308.000,88263.000
AccountsReceivableNetCurrent,257974.000,273558.000
AccruedLiabilitiesCurrent,14805.000,34527.000
AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment,27426.000,35632.000
AdditionalPaidInCapital,7052070.000,12190797.000
AllowanceForDoubtfulAccountsReceivable,31767.000,31767.000
Assets,671449.000,713930.000
AssetsCurrent,315815.000,357805.000
BusinessCombinationContingentConsiderationLiabilityCurrent,178090.000,157258.000
BusinessCombinationRecognizedIdentifiableAssetsAcquiredAndLiabilitiesAssumedAssets,1596750.000,
CashAndCashEquivalentsAtCarryingValue,57841.000,84247.000
ClassOfWarrantOrRightExercisePriceOfWarrantsOrRights1,0.160,0.180
ClassOfWarrantOrRightOutstanding,1920000.000,1945000.000
CommonStockParOrStatedValuePerShare,0.001,0.001
CommonStockSharesAuthorized,200000000.000,200000000.000
CommonStockSharesIssued,28383441.000,28383441.000
CommonStockSharesOutstanding,28383441.000,28383441.000
CommonStockValue,28383.000,28383.000
ConvertibleDebt,470000.000,564286.000
ConvertibleDebtCurrent,-470000.000,-564286.000
ConvertibleDebtFairValueDisclosures,274574.000,286985.000
ConvertibleNotesPayableCurrent,470000.000,564286.000
DebtInstrumentUnamortizedDiscount,,144047.000
DeferredRentCreditCurrent,4243.000,5127.000
DepositsAssets,20290.000,20735.000
DueToRelatedPartiesCurrent,76500.000,81500.000
FiniteLivedIntangibleAssetsAccumulatedAmortization,38683.000,-52104.000
FiniteLivedIntangibleAssetsAmortizationExpenseAfterYearFive,41242.000,
FiniteLivedIntangibleAssetsAmortizationExpenseNextTwelveMonths,57048.000,
FiniteLivedIntangibleAssetsAmortizationExpenseYearFive,9107.000,
FiniteLivedIntangibleAssetsAmortizationExpenseYearFour,57449.000,
FiniteLivedIntangibleAssetsAmortizationExpenseYearThree,57449.000,
FiniteLivedIntangibleAssetsAmortizationExpenseYearTwo,57449.000,
FiniteLivedIntangibleAssetsGross,,318427.000
FiniteLivedIntangibleAssetsNet,279744.000,
IntangibleAssetsNetExcludingGoodwill,279744.000,266323.000
InterestPayableCurrent,8487.000,8485.000
Liabilities,1110007.000,1481431.000
LiabilitiesAndStockholdersEquity,671449.000,713930.000
LiabilitiesCurrent,1110007.000,1481431.000
NotesPayableCurrent,,255000.000
OperatingLeasesFutureMinimumPaymentsReceivable,321760.000,
OperatingLeasesFutureMinimumPaymentsReceivableCurrent,73899.000,
OperatingLeasesFutureMinimumPaymentsReceivableInFiveYears,13436.000,
OperatingLeasesFutureMinimumPaymentsReceivableInFourYears,80263.000,
OperatingLeasesFutureMinimumPaymentsReceivableInThreeYears,78142.000,
OperatingLeasesFutureMinimumPaymentsReceivableInTwoYears,76020.000,
OperatingLossCarryforwards,3400000.000,3838000.000
PreferredStockValue,1000.000,1000.000
PropertyPlantAndEquipmentGross,83026.000,104699.000
PropertyPlantAndEquipmentNet,55600.000,69067.000
RetainedEarningsAccumulatedDeficit,-7520011.000,-12987681.000
StockholdersEquity,-438558.000,-767501.000
StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,-438558.000,-767501.000
