,2011-06-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30
AdjustmentForAmortization,,249633.000,,,,252605.000,,
AllocatedShareBasedCompensationExpense,,,,212000.000,,202000.000,,
AllocatedShareBasedCompensationExpenseNetOfTax,,,,184000.000,,,,
AntidilutiveSecuritiesExcludedFromComputationOfEarningsPerShareAmount,,,,1063500.000,,,65800.000,11250.000
CashAndCashEquivalentsPeriodIncreaseDecrease,,-385357.000,,,,,,
ComprehensiveIncomeNetOfTax,,,,-570000.000,,1540406.000,-429282.000,1356176.000
CostOfGoodsSold,7280930.000,6877193.000,7828875.000,7801896.000,8357592.000,8778760.000,8239481.000,8322926.000
DeferredIncomeTaxExpenseBenefit,,55038.000,,,,-60722.000,,
Depreciation,,399271.000,,,,424043.000,,
EarningsPerShareBasic,-0.020,-0.010,0.050,0.040,0.090,0.080,0.100,0.090
EarningsPerShareDiluted,-0.020,-0.010,0.050,0.040,0.090,0.080,0.100,0.090
EffectOfExchangeRateOnCashAndCashEquivalents,,-105722.000,,,,,,
EffectOfExchangeRateOnCashAndCashEquivalentsContinuingOperations,,,,,,104429.000,,
EffectiveIncomeTaxRateContinuingOperations,,,,0.330,,0.270,0.300,0.350
GeneralAndAdministrativeExpense,2030382.000,2108813.000,2128024.000,1942941.000,1990690.000,2207542.000,2148164.000,2307105.000
GrossProfit,6999628.000,6968473.000,7429736.000,7450322.000,8969114.000,8473248.000,8395589.000,8668457.000
IncomeLossFromContinuingOperationsBeforeIncomeTaxesMinorityInterestAndIncomeLossFromEquityMethodInvestments,-534708.000,-111799.000,884113.000,735169.000,1574805.000,1387767.000,1723142.000,1745563.000
IncomeTaxExpenseBenefit,-240744.000,-36452.000,281599.000,239245.000,547412.000,375622.000,523892.000,616019.000
IncomeTaxesPaid,,,,,,336472.000,,
IncreaseDecreaseInAccountsPayable,,-188979.000,,,,-665215.000,,
IncreaseDecreaseInAccountsReceivable,,-151151.000,,,,-1720183.000,,
IncreaseDecreaseInAccruedIncomeTaxesPayable,,-90480.000,,,,-7370.000,,
IncreaseDecreaseInInventories,,450869.000,,,,-320585.000,,
IncreaseDecreaseInOtherOperatingAssets,,309393.000,,,,-149239.000,,
IncreaseDecreaseInOtherOperatingLiabilities,,-641947.000,,,,-721257.000,,
IncrementalCommonSharesAttributableToShareBasedPaymentArrangements,,,,,,358698.000,457130.000,595832.000
InterestExpense,70239.000,81150.000,8395.000,,,2358.000,,
InvestmentIncomeInterest,49601.000,9735.000,9465.000,8917.000,15126.000,9272.000,11050.000,8975.000
NetCashProvidedByUsedInContinuingOperations,,,,,,2389743.000,,
NetCashProvidedByUsedInFinancingActivities,,-186855.000,,,,413570.000,,
NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,,-186855.000,,,,413570.000,,
NetCashProvidedByUsedInInvestingActivities,,493394.000,,,,-754884.000,,
NetCashProvidedByUsedInInvestingActivitiesContinuingOperations,,493394.000,,,,-754884.000,,
NetCashProvidedByUsedInOperatingActivities,,-586174.000,,,,2626628.000,,
NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,,-586174.000,,,,2626628.000,,
NetIncomeLoss,-293964.000,-75347.000,602514.000,,,,,
NetIncomeLossAvailableToCommonStockholdersBasic,,,,495924.000,,1012145.000,1199250.000,1129544.000
OperatingExpenses,7491095.000,6989202.000,6595405.000,6737405.000,7282585.000,7095744.000,6622366.000,6921968.000
OperatingIncomeLoss,-491467.000,-20729.000,834331.000,712917.000,1686529.000,1377504.000,1773223.000,1746489.000
OtherComprehensiveIncomeAvailableforsaleSecuritiesAdjustmentNetOfTaxPortionAttributableToParent,,,,,,,565.000,-190.000
OtherComprehensiveIncomeForeignCurrencyTransactionAndTranslationAdjustmentNetOfTaxPortionAttributableToParent,,,,-1080000.000,,530097.000,-1629097.000,226822.000
OtherComprehensiveIncomeUnrealizedHoldingGainLossOnSecuritiesArisingDuringPeriodNetOfTax,,,,14000.000,,-1836.000,,
OtherNonoperatingIncomeExpense,-22603.000,-19655.000,48712.000,13335.000,-126850.000,3349.000,-61131.000,-9901.000
PaymentsForRepurchaseOfCommonStock,,1088619.000,,,,,,
PaymentsToAcquireAvailableForSaleSecurities,,13014689.000,,,,6498528.000,,
PaymentsToAcquireIntangibleAssets,,8245.000,,,,12003.000,,
PaymentsToAcquirePropertyPlantAndEquipment,,585127.000,,,,784111.000,,
ProceedsFromIssuanceOfCommonStock,,113141.000,,,,413570.000,,
ProceedsFromIssuanceOfLongTermDebt,,788623.000,,,,,,
ProceedsFromSaleAndMaturityOfAvailableForSaleSecurities,,14101455.000,,,,6539758.000,,
ResearchAndDevelopmentExpense,222974.000,376269.000,247889.000,358552.000,207385.000,339158.000,312023.000,319995.000
SalesRevenueGoodsNet,14280558.000,13845666.000,15258611.000,15252218.000,17326706.000,17252008.000,16635070.000,16991383.000
SellingAndMarketingExpense,5237739.000,4504120.000,4219492.000,4435912.000,5084510.000,4549044.000,4162179.000,4294868.000
ShareBasedCompensation,,315748.000,,,,202392.000,,
WeightedAverageNumberDilutedSharesOutstandingAdjustment,,,,364920.000,,,,
WeightedAverageNumberOfDilutedSharesOutstanding,12316878.000,12136125.000,12235701.000,12373340.000,-24405666.000,12396930.000,12604099.000,12787610.000
WeightedAverageNumberOfSharesOutstandingBasic,12316878.000,12136125.000,12003167.000,12008420.000,-24115599.000,12038232.000,12146969.000,12191778.000
