,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2014-03-31,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30
AccountsPayable,341319.000,175314.000,200877.000,216477.000,121297.000,202529.000,,,,,,,,,,,
AccountsPayableCurrent,,,,,,,223596.000,173605.000,254667.000,278354.000,255646.000,253566.000,215099.000,69042.000,61862.000,55720.000,58033.000
AccountsPayableRelatedPartiesCurrent,61476.000,72128.000,67205.000,75760.000,77862.000,66881.000,64545.000,56856.000,69999.000,6533.000,15709.000,11928.000,14708.000,15309.000,27681.000,24000.000,27563.000
AccountsReceivableNet,104606.000,0.000,0.000,,,382561.000,151524.000,,,,,,,,,,
AccountsReceivableNetCurrent,,,,,,,151524.000,134745.000,34580.000,203645.000,129062.000,995.000,55510.000,995.000,995.000,995.000,995.000
AccrualForEnvironmentalLossContingencies,,,,,,,,,,,,,0.000,0.000,0.000,,
AccruedSalaries,129087.000,146406.000,179067.000,182612.000,169837.000,163662.000,,,,,,,,,,,
AccruedSalariesCurrent,,,,,,,145572.000,152747.000,180559.000,76067.000,76067.000,76067.000,101067.000,75757.000,88257.000,100757.000,125757.000
AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment,199858.000,209200.000,218541.000,227882.000,237223.000,246564.000,256957.000,265931.000,301831.000,327705.000,335437.000,343440.000,351308.000,359175.000,365938.000,372700.000,379463.000
AdditionalPaidInCapital,8430921.000,8442436.000,9354991.000,9428999.000,9452796.000,9599964.000,13559201.000,16329869.000,16653834.000,17963315.000,17963315.000,17963315.000,17963315.000,17963315.000,17963315.000,17963315.000,17963315.000
AssetRetirementObligation,117333.000,118246.000,119159.000,120141.000,121122.000,122104.000,123086.000,124142.000,,,,,,,,,
AssetRetirementObligationsNoncurrent,,,,,,,,,128445.000,112876.000,114097.000,115319.000,116540.000,117761.000,119058.000,120355.000,121653.000
Assets,835752.000,807249.000,848738.000,696506.000,802838.000,1104463.000,914266.000,829204.000,667172.000,1509367.000,1201649.000,823298.000,692978.000,787125.000,677484.000,672728.000,611487.000
AssetsCurrent,111662.000,92501.000,143331.000,440.000,116113.000,427079.000,240541.000,164453.000,38321.000,902390.000,572501.000,194001.000,71549.000,173563.000,94240.000,96246.000,41768.000
AssetsNet,600493.000,591151.000,581810.000,572469.000,563128.000,553787.000,,,,,,,,,,,
AssetsNoncurrent,,,,,,,,,,,,,,,,100042.000,
Cash,,,,,,,,,3741.000,698745.000,443439.000,193006.000,16039.000,150068.000,75745.000,72126.000,19523.000
CashAndCashEquivalentsAtCarryingValue,3452.000,89478.000,143331.000,440.000,116113.000,44518.000,87329.000,18736.000,,,,,,,,,
ClassOfWarrantOrRightOutstanding,,,,,500000.000,500000.000,,,,,,,,,,,
CommitmentsAndContingencies,,,,0.000,,,,,,,,,,,,,
CommonStockParOrStatedValuePerShare,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
CommonStockSharesAuthorized,50000000.000,50000000.000,50000000.000,50000000.000,50000000.000,50000000.000,50000000.000,50000000.000,50000000.000,50000000.000,50000000.000,50000000.000,50000000.000,50000000.000,50000000.000,50000000.000,50000000.000
CommonStockSharesIssued,15525603.000,15560603.000,16344603.000,16344603.000,16344603.000,16559603.000,14816913.000,14811913.000,15494187.000,19165152.000,19165152.000,19165152.000,19165152.000,19165152.000,19165152.000,19165152.000,19165152.000
CommonStockSharesOutstanding,15438356.000,15473356.000,16257356.000,16257356.000,16257356.000,16472356.000,9573289.000,8123678.000,10950563.000,19121528.000,19121528.000,19121528.000,19121528.000,19121528.000,19165152.000,19121528.000,19121528.000
CommonStockValue,15526.000,15561.000,16345.000,16345.000,16345.000,16560.000,14817.000,14812.000,,,,,19165.000,19165.000,19165.000,19165.000,19165.000
CommonStockValueOutstanding,,,,,,,,,15494.000,19165.000,19165.000,19165.000,,,,,
ConvertibleNotesPayable,,,,,,,,,,,,,,949.000,1985.000,5063.000,5312.000
DebtCurrent,,,,,,,10000.000,,,,,,,,,,
