,2012-06-30,2012-09-30,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31
AllocatedShareBasedCompensationExpense,,,,,,,56000.000,,44000.000,,217000.000,,,,,,,,289000.000
AllowanceForLoanAndLeaseLossesLoansSold,,,,,,,,,,,,,,,,,,,600000.000
AmortizationOfFinancingCosts,58000.000,58000.000,187000.000,89000.000,89000.000,90000.000,89000.000,89000.000,89000.000,91000.000,0.000,300000.000,457000.000,-30000.000,,,,,
BasicEarningsPerShareProForma,,,,0.180,-0.180,,,,,,,,,,,,,,
CashAndCashEquivalentsPeriodIncreaseDecrease,6546060.000,7169314.000,7054538.000,3689051.000,-5811339.000,1020499.000,-5366494.000,-5023344.000,6452034.000,1150715.000,5527823.000,2007662.000,-9745516.000,5972432.000,-23426480.000,6380725.000,1394478.000,59713154.000,-28553646.000
CurrentFederalTaxExpenseBenefit,,,,,,,,,,,-324000.000,-182000.000,-141000.000,,-23000.000,-23000.000,,,27000.000
CurrentIncomeTaxExpenseBenefit,,,,,,,,,,,-427000.000,-246000.000,-181000.000,,-29000.000,-29000.000,0.000,,34500.000
CurrentStateAndLocalTaxExpenseBenefit,,,,,,,,,,,-103000.000,-64000.000,-40000.000,,-6000.000,-6000.000,,,7500.000
DebtInstrumentPeriodicPaymentPrincipal,,,,,,,,,,,,,,,13863000.000,,,,
DeferredFederalIncomeTaxExpenseBenefit,,,,,,,,,,,-1654000.000,-670000.000,-1488000.000,1152000.000,-806000.000,1397000.000,-1082000.000,743000.000,-20000.000
DeferredFederalStateAndLocalTaxExpenseBenefit,,,,,,,,,,,-2182000.000,-931000.000,-1917000.000,,,,,,-500.000
DeferredIncomeTaxExpenseBenefit,609588.000,633572.000,563874.000,1802920.000,-655968.000,462941.000,-954858.000,-1316712.000,-1858100.000,1728051.000,2182251.000,-930470.000,-1916686.000,-2844682.000,1055729.000,1851018.000,-1428130.000,-1145215.000,-500.000
DeferredStateAndLocalIncomeTaxExpenseBenefit,,,,,,,,,,,-528000.000,-261000.000,-429000.000,368000.000,-250000.000,454000.000,-346000.000,223000.000,-15000.000
DefinedBenefitPlanRecognizedNetGainLossDueToSettlements1,,,,,,,,,,,,,,,,,,,19399819.000
DilutedEarningsPerShareProForma,,,,0.120,-0.110,,,,,,,,,,,,,,
DividendsPreferredStockStock,,,,,,,,,,,,,,,,,,,-1867760.000
EarningsPerShareBasic,0.030,-0.010,,,,,,-0.590,-0.760,,0.620,-0.320,-0.550,-0.770,0.240,0.320,-0.500,-0.590,-0.320
EarningsPerShareBasicAndDiluted,,,0.010,,,,-0.210,,,,,,,,,,,,
EarningsPerShareDiluted,0.030,-0.010,,,,,,-0.590,-0.760,,0.460,-0.320,-0.550,-0.610,0.180,0.290,-0.500,-0.500,-0.320
EffectiveIncomeTaxRateContinuingOperations,,,,,,,0.334,0.337,0.353,-1.311,,,,,,,,,
EmployeeBenefitsAndShareBasedCompensation,,,,,,,968746.000,1178819.000,1376710.000,1445361.000,1727917.000,2144725.000,2308246.000,1829132.000,2466197.000,3071507.000,2912463.000,3334129.000,3163062.000
FairValueAssumptionsExpectedVolatilityRate,0.474,,,,,,,,,,,,,,,,,,
FairValueAssumptionsRiskFreeInterestRate,0.004,,,,,,,,,,,,,,,,,,
GainLossOnInvestments,911287000.000,520249.000,632957.000,3558661.000,-2285918.000,73112.000,-2856028.000,-3903409.000,-6276295.000,4671204.000,5871262.000,,,,,,,,
IncomeLossFromContinuingOperationsBeforeIncomeTaxesMinorityInterestAndIncomeLossFromEquityMethodInvestments,911287.000,520249.000,632957.000,3558661.000,-2285918.000,73112.000,-2856028.000,-3903409.000,-5258291.000,3653200.000,5871262.000,-3427058.000,-5728711.000,-7618354.000,2159022.000,3703356.000,-4425495.000,-711571.000,-45602.000
IncomeLossFromSubsidiariesBeforeTax,,,,,,,,,,,,-3427058.000,-5728711.000,,2159022.000,3703356.000,-4425495.000,-711571.000,-45602.000
IncomeTaxExpenseBenefit,609588.000,633572.000,565823.000,1801971.000,-656968.000,462941.000,-954858.000,-1316712.000,-1858100.000,1728051.000,2609371.000,-1176643.000,-2097633.000,-2844682.000,1084717.000,1822030.000,-1428130.000,-1145214.000,-500.000
