,2011-06-30,2011-09-30,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30
AccretionAmortizationOfDiscountsAndPremiumsInvestments,,,-826000.000,,,,-182000.000,
AssumedPremiumsEarnedOtherInsurance,13851000.000,12287000.000,13865000.000,15259000.000,15088000.000,16544000.000,14929000.000,15795000.000
AssumedPremiumsWritten,,,,87549000.000,79145000.000,,81199000.000,83860000.000
AvailableForSaleSecuritiesGrossRealizedGainsLossesSaleProceeds,,,,,,,1100000.000,
BenefitsLossesAndExpenses,64659000.000,61156000.000,64450000.000,68384000.000,69987000.000,80352000.000,65992000.000,64882000.000
CashAndCashEquivalentsPeriodIncreaseDecrease,,,2037000.000,,,,12576000.000,
CededPremiumsEarnedOtherInsurance,15502000.000,15793000.000,12980000.000,13837000.000,15540000.000,14343000.000,16576000.000,18725000.000
ComprehensiveIncomeNetOfTax,10495000.000,15489000.000,7291000.000,7438000.000,11824000.000,-5502000.000,280000.000,-9874000.000
ComprehensiveIncomeNetOfTaxAttributableToNoncontrollingInterest,75000.000,159000.000,186000.000,-151000.000,-76000.000,1188000.000,34000.000,-251000.000
ComprehensiveIncomeNetOfTaxIncludingPortionAttributableToNoncontrollingInterest,10570000.000,15648000.000,7477000.000,7287000.000,11748000.000,-4314000.000,314000.000,-10125000.000
CurrentIncomeTaxExpenseBenefit,,,,-443000.000,1003000.000,,793000.000,5989000.000
DeferredIncomeTaxExpenseBenefit,,,3500000.000,209000.000,347000.000,2771000.000,-116000.000,-89000.000
DeferredPolicyAcquisitionCostAmortizationExpense,13347000.000,13800000.000,14744000.000,14337000.000,15971000.000,13527000.000,14752000.000,13814000.000
Depreciation,,,734000.000,,,,917000.000,
DirectPremiumsEarnedOtherInsurance,60801000.000,62498000.000,60528000.000,60595000.000,63547000.000,65140000.000,63571000.000,65122000.000
EarningsPerShareBasic,0.390,0.560,0.400,0.210,0.610,-0.040,0.580,3.650
EarningsPerShareDiluted,0.380,0.540,0.390,0.210,0.600,-0.060,0.560,3.540
EffectiveIncomeTaxRateReconciliationAtFederalStatutoryIncomeTaxRate,,,,,,,0.340,
FairValueInvestmentsEntitiesThatCalculateNetAssetValuePerShareUnobservableInputUnrealizedGainsLossesChangesInAssetsAndLiabilitiesNet,,,,,,,-633000.000,
FairValueMeasurementWithUnobservableInputsReconciliationRecurringBasisAssetGainLossIncludedInOtherComprehensiveIncomeLoss,,,,,,,-633000.000,
FeesAndCommissionsOther,,,,729000.000,1263000.000,,1240000.000,347000.000
GainLossOnSaleOfSecuritiesNet,194000.000,10000.000,53000.000,-13000.000,5693000.000,3960000.000,1454000.000,37482000.000
GeneralAndAdministrativeExpense,918000.000,173000.000,1256000.000,848000.000,916000.000,824000.000,781000.000,655000.000
IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,,,,1751000.000,7428000.000,,6258000.000,40721000.000
IncomeLossFromContinuingOperationsBeforeIncomeTaxesMinorityInterestAndIncomeLossFromEquityMethodInvestments,3533000.000,6897000.000,5507000.000,1751000.000,7428000.000,-737000.000,6258000.000,40721000.000
IncomeTaxExpenseBenefit,-549000.000,1169000.000,1106000.000,-234000.000,1350000.000,-1381000.000,677000.000,5900000.000
IncomeTaxExpenseBenefitContinuingOperations,,,,-234000.000,1350000.000,,677000.000,5900000.000
IncomeTaxReconciliationForeignIncomeTaxRateDifferential,,,,-830000.000,-1191000.000,,-1546000.000,-7932000.000
IncomeTaxReconciliationStateAndLocalIncomeTaxes,,,,3000.000,19000.000,,98000.000,-9000.000
IncomeTaxReconciliationTaxExemptIncome,,,,3000.000,3000.000,,3000.000,4000.000
IncomeTaxesPaid,,,15000.000,,,,41000.000,
IncreaseDecreaseInAccruedInvestmentIncomeReceivable,,,-206000.000,,,,-208000.000,
IncreaseDecreaseInDeferredPolicyAcquisitionCosts,,,-474000.000,,,,420000.000,
IncreaseDecreaseInDeposits,,,,,,,11867000.000,
IncreaseDecreaseInFundsHeldUnderReinsuranceAgreements,,,-2165000.000,,,,4991000.000,
IncreaseDecreaseInLossAndLossAdjustmentExpenseReserve,,,-5489000.000,,,,-1322000.000,
IncreaseDecreaseInOtherInsuranceLiabilities,,,-2459000.000,,,,4308000.000,
IncreaseDecreaseInOtherOperatingAssets,,,1148000.000,,,,197000.000,
IncreaseDecreaseInOtherOperatingLiabilities,,,-1636000.000,,,,-1941000.000,
IncreaseDecreaseInPremiumsReceivable,,,821000.000,,,,-4155000.000,
IncreaseDecreaseInPrepaidReinsurancePremiums,,,-67000.000,,,,554000.000,
IncreaseDecreaseInReinsuranceRecoverable,,,-2615000.000,,,,1347000.000,
IncreaseDecreaseInUnearnedPremiums,,,-627000.000,,,,2699000.000,
InsuranceCommissionsAndFees,786000.000,843000.000,668000.000,717000.000,1251000.000,680000.000,1228000.000,335000.000
InterestExpense,354000.000,375000.000,417000.000,367000.000,415000.000,322000.000,354000.000,358000.000
InterestPaid,,,420000.000,,,,300000.000,
NetCashProvidedByUsedInFinancingActivities,,,-340000.000,,,,-2959000.000,
NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,,,-340000.000,,,,-2959000.000,
NetCashProvidedByUsedInInvestingActivities,,,-11960000.000,,,,-2288000.000,
NetCashProvidedByUsedInInvestingActivitiesContinuingOperations,,,-11960000.000,,,,-2288000.000,
NetCashProvidedByUsedInOperatingActivities,,,14337000.000,,,,17823000.000,
NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,,,14337000.000,,,,17823000.000,
NetIncomeLoss,4052000.000,5797000.000,4056000.000,2167000.000,6206000.000,-590000.000,5493000.000,34811000.000
