,2012-03-31,2012-06-30,2012-09-30,2012-12-31
AccountsPayableCurrent,176200000.000,171400000.000,,230400000.000
AccruedLiabilitiesCurrent,77400000.000,199700000.000,,77400000.000
AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment,,46200000.000,53900000.000,62300000.000
AccumulatedOtherComprehensiveIncomeLossNetOfTax,-400000.000,-400000.000,,-2500000.000
AssetRetirementObligation,,2000000.000,2000000.000,
Assets,962700000.000,1081600000.000,1177400000.000,1138200000.000
AssetsCurrent,413800000.000,528100000.000,,599500000.000
AssetsFairValueDisclosure,,190000000.000,325600000.000,275000000.000
AvailableForSaleSecuritiesEquitySecuritiesNoncurrent,,,6700000.000,
BusinessAcquisitionContingentConsiderationAtFairValueCurrent,,43000000.000,,
BusinessAcquisitionContingentConsiderationAtFairValueNoncurrent,,33500000.000,,
CapitalLeaseObligationsNoncurrent,11900000.000,12700000.000,,7500000.000
CapitalLeasedAssetsGross,,13500000.000,7900000.000,7900000.000
Cash,,57000000.000,,
CashAndCashEquivalentsAtCarryingValue,64100000.000,171000000.000,,272900000.000
CashAndCashEquivalentsFairValueDisclosure,,171000000.000,323500000.000,272900000.000
CommonStockSharesIssued,,18687500.000,,
CostMethodInvestmentsAggregateCarryingAmount,,,6900000.000,6900000.000
CrudeOilAndNaturalGasLiquids,,5500000.000,3500000.000,9700000.000
DebtInstrumentFaceAmount,,,290000000.000,
DeferredCompensationArrangementWithIndividualSharesAuthorizedForIssuance,,29000000.000,29000000.000,
DeferredTaxAssetsGross,,,,5300000.000
DeferredTaxAssetsLiabilitiesNet,,,,-9800000.000
DeferredTaxAssetsOperatingLossCarryforwards,,,,800000.000
DeferredTaxAssetsOperatingLossCarryforwardsSubjectToExpiration,,,,2100000.000
DeferredTaxAssetsOther,,,,700000.000
DeferredTaxAssetsTaxDeferredExpenseReservesAndAccrualsAccruedLiabilities,,,,2700000.000
DeferredTaxLiabilities,,,,15100000.000
DeferredTaxLiabilitiesGoodwillAndIntangibleAssetsIntangibleAssets,,,,12200000.000
DeferredTaxLiabilitiesPropertyPlantAndEquipment,,,,2900000.000
DefinedBenefitPlanAccumulatedOtherComprehensiveIncomeNetPriorServiceCostCreditBeforeTax,,,,2500000.000
DefinedBenefitPlanFundedStatusOfPlan,,,,2600000.000
DerivativeAssetsCurrent,,15600000.000,200000.000,2100000.000
DerivativeAssetsNoncurrent,,3400000.000,1900000.000,
DerivativeLiabilities,,-6700000.000,-77100000.000,41600000.000
DerivativeLiabilitiesCurrent,185500000.000,20400000.000,71200000.000,43700000.000
DerivativeLiabilitiesNoncurrent,12500000.000,5300000.000,8000000.000,
DueFromRelatedPartiesNoncurrent,,,,1400000.000
EmployeeServiceShareBasedCompensationNonvestedAwardsTotalCompensationCostNotYetRecognized,,7500000.000,7000000.000,5300000.000
EquityMethodInvestmentAggregateCost,,,,6700000.000
EquityMethodInvestmentDifferenceBetweenCarryingAmountAndUnderlyingEquity,,6800000.000,,
EquityMethodInvestmentOwnershipPercentage,,0.170,0.170,
EquityMethodInvestments,89200000.000,90100000.000,88300000.000,87500000.000
IndefiniteLivedFranchiseRights,,19800000.000,19800000.000,19800000.000
IndefiniteLivedTrademarks,,15600000.000,15600000.000,15600000.000
IntangibleAssetsNetExcludingGoodwill,35400000.000,35400000.000,,35400000.000
InventoryCrudeOilProductsAndMerchandise,,111400000.000,118600000.000,117000000.000
InventoryNet,163600000.000,150100000.000,156200000.000,162400000.000
InventorySuppliesNetOfReserves,,14200000.000,14500000.000,14900000.000
InvestmentOwnedAtCost,,6900000.000,,
LettersOfCreditOutstandingAmount,,,24000000.000,36500000.000
Liabilities,843700000.000,755500000.000,,653000000.000
LiabilitiesAndStockholdersEquity,962700000.000,1081600000.000,,1138200000.000
LiabilitiesCurrent,439100000.000,391500000.000,,351500000.000
LiabilitiesFairValueDisclosure,,102200000.000,79200000.000,43700000.000
LineOfCreditFacilityAmountOutstanding,,,0.000,
LineOfCreditFacilityMaximumBorrowingCapacity,,,192000000.000,168400000.000
LineOfCreditFacilityRemainingBorrowingCapacity,,,,131900000.000
LongTermDebtNoncurrent,290000000.000,290000000.000,261000000.000,275000000.000
MembersEquity,119400000.000,326500000.000,,487700000.000
NontradeReceivables,,6300000.000,,
NotesPayableFairValueDisclosure,,314300000.000,289400000.000,282900000.000
OperatingLeasesFutureMinimumPaymentsDue,,,,277100000.000
OperatingLeasesFutureMinimumPaymentsDueCurrent,,,,23500000.000
OperatingLeasesFutureMinimumPaymentsDueInFiveYears,,,,21600000.000
OperatingLeasesFutureMinimumPaymentsDueInFourYears,,,,22200000.000
OperatingLeasesFutureMinimumPaymentsDueInThreeYears,,,,22700000.000
OperatingLeasesFutureMinimumPaymentsDueInTwoYears,,,,23300000.000
OperatingLeasesFutureMinimumPaymentsDueThereafter,,,,163800000.000
OtherAssetsCurrent,59500000.000,68000000.000,,34900000.000
OtherAssetsNoncurrent,35900000.000,39300000.000,,29800000.000
OtherLiabilitiesNoncurrent,90200000.000,61300000.000,,19000000.000
PercentageOfLIFOInventory,,0.780,0.780,0.780
PropertyPlantAndEquipmentGross,,434900000.000,430600000.000,448300000.000
PropertyPlantAndEquipmentNet,388400000.000,388700000.000,376700000.000,386000000.000
ReceivablesNetCurrent,126600000.000,139000000.000,,129300000.000
RetailRelatedInventoryMerchandise,,19000000.000,19600000.000,20800000.000
ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsOutstandingNumber,,25700000.000,25700000.000,19500000.000
ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsOutstandingWeightedAverageExercisePrice,,1.910,1.910,1.960
StockholdersEquity,,,,485200000.000
StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,119000000.000,326100000.000,,485200000.000
