,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2015-03-31,2015-06-30,2015-09-30,2016-03-31,2016-09-30,2016-12-31,2017-03-31
AccountsAndNotesReceivableNet,,376642.000,,471749.000,440918.000,279711.000,396337.000,200103.000,185448.000,76782.000,41725.000,,,,
AccountsAndOtherReceivablesNetCurrent,,,,13435.000,,,,,,,,,,,
AccountsNotesAndLoansReceivableNetCurrent,380043.000,376642.000,430431.000,,,,,,,,,,,,
AccountsPayableAndAccruedLiabilitiesCurrent,863858.000,846200.000,1007176.000,513685.000,703918.000,657262.000,595275.000,423242.000,699454.000,539104.000,524812.000,442470.000,336523.000,374317.000,479676.000
AccountsPayableAndAccruedLiabilitiesCurrentAndNoncurrent,,4444084.000,,,,,,,,,,,,,
AccountsPayableAndAccruedLiabilitiesNoncurrent,,,4141627.000,,,,,,,,,,,,
AccountsPayableCurrent,,,,,,,93689.000,,,,,,,,
AccountsPayableInterestBearingInterestRate,,0.045,0.045,0.045,,,,,,,,,,,
AccountsPayableRelatedPartiesCurrent,,,,,,,,394998.000,,,,,,,
AccountsReceivableGrossCurrent,,,,471749.000,,,,,,,,,,,
AccountsReceivableNet,380043.000,376642.000,430431.000,471749.000,,279711.000,396337.000,200103.000,185478.000,76782.000,41725.000,263793.000,176664.000,,
AccountsReceivableNetCurrent,,,,,440918.000,279711.000,396336.000,,,,,,,,238010.000
AccruedIncomeTaxes,,,,,,,,,2733612.000,2794204.000,2653953.000,2697464.000,,2798824.000,
AccruedIncomeTaxesCurrent,,,,,,,,,2733612.000,2794204.000,2653953.000,2697464.000,2730946.000,2798824.000,371424.000
AccruedPayrollTaxesCurrent,,1174134.000,1275589.000,,,,,,2035519.000,2078580.000,1976470.000,2497464.000,,2548824.000,
AccumulatedAmortizationOfOtherDeferredCosts,,432499.000,474075.000,,,,,,,,,,,,
AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment,,,,531319.000,560777.000,574163.000,625382.000,287724.000,341350.000,358411.000,381272.000,417166.000,449165.000,,
AccumulatedOtherComprehensiveIncomeLossBeforeTax1,,,134180.000,78857.000,264135.000,458309.000,,395640.000,560365.000,576074.000,816605.000,710722.000,743355.000,807563.000,616617.000
AccumulatedOtherComprehensiveIncomeLossForeignCurrencyTranslationAdjustmentNetOfTax,,,,37000.000,,,,,,,,,,,
AccumulatedOtherComprehensiveIncomeLossNetOfTax,-47726.000,49064.000,,,,,271509.000,,,,,,,,
AcquisitionCostsCumulative,,,,,1034781.000,1125800.000,1150269.000,573819.000,577126.000,580920.000,593794.000,594964.000,606800.000,,
AdditionalCollateralAggregateFairValue,,,35910.000,,,,,,,,,,,,
AdditionalPaidInCapital,6642530.000,6970284.000,7547874.000,7590144.000,8155474.000,8643401.000,8738070.000,8756610.000,16187074.000,16177534.000,16177534.000,16177534.000,16290778.000,16509906.000,18198699.000
AdditionalPaidInCapitalCommonStock,,,,,1512944.000,487927.000,,,,,,,,,
AllowanceForDoubtfulAccountsReceivable,,,,,-28578.000,-26097.000,16946.000,15336.000,24448.000,7406.000,,,,,
Assets,1124993.000,1080865.000,1169668.000,1251770.000,1193464.000,1054090.000,1177924.000,1246859.000,1025934.000,902813.000,876212.000,620828.000,602726.000,460055.000,13945467.000
AssetsCurrent,507426.000,511986.000,547553.000,635160.000,563320.000,411983.000,559558.000,650899.000,711308.000,600240.000,589030.000,365931.000,368851.000,275575.000,411110.000
AssetsHeldForSaleLongLivedFairValueDisclosure,,,,,,,,220574.000,,,,,,,
AssetsNoncurrent,,568879.000,,,536124.000,,,,,,,254897.000,233875.000,184480.000,13534357.000
AssetsOfDisposalGroupIncludingDiscontinuedOperation,,,,,,,,354986.000,,,,,,,
BankLoans,,,,,126073.000,46025.000,0.000,21335.000,,,,,,,
BankOverdrafts,,,,,,,,,9758.000,10282.000,,44909.000,7144.000,56116.000,47212.000
BorrowedFunds,,,,,,46025.000,,,,,,,,,
BorrowingsUnderGuaranteedInvestmentAgreements,,,,,,,,,9758.000,9758.000,,,,,
CapitalLeasesNetInvestmentInDirectFinancingLeasesAccumulatedAmortization,,,,,,,,,,2000.000,,,,,
Cash,,,102058.000,38254.000,,,27562.000,,5513.000,692.000,30780.000,3543.000,31141.000,4779.000,122861.000
CashAndCashEquivalentsAtCarryingValue,0.000,,,,,,,-21335.000,,,,3543.000,31141.000,4779.000,122861.000
CashAvailableForDistributions,,,,,,,,,,692.000,,,,,
CommitmentsAndContingencies,,,0.000,,,,,,,,,,,,
CommonStockParOrStatedValuePerShare,0.010,0.010,0.010,0.010,0.010,0.010,0.010,0.010,0.010,0.010,0.010,0.010,0.010,0.010,0.010
CommonStockSharesAuthorized,100000000.000,500000000.000,100000000.000,50000000.000,500000000.000,500000000.000,500000000.000,100000000.000,500000000.000,500000000.000,500000000.000,500000000.000,500000000.000,500000000.000,500000000.000
CommonStockSharesIssued,27234279.000,29746668.000,35257367.000,35559297.000,41065564.000,47088864.000,47343055.000,47693055.000,46678855.000,47738855.000,47738855.000,47738855.000,48738855.000,48738855.000,108738855.000
CommonStockSharesOutstanding,27234279.000,29746668.000,35257367.000,35559297.000,41065564.000,47088864.000,47343055.000,47693055.000,46678855.000,47738855.000,47738855.000,47738855.000,48738855.000,48738855.000,108738855.000
CommonStockValue,272343.000,297467.000,352574.000,355593.000,410656.000,470889.000,473431.000,476930.000,466789.000,477389.000,477389.000,477389.000,487389.000,487389.000,1087389.000
CommonStockholdersEquity,-3436755.000,,,,,,,,,,,,,,
ConvertibleDebt,,,617697.000,45289.000,,,,82962.000,,,,,,,
ConvertibleDebtCurrent,,352878.000,,,381260.000,107500.000,93480.000,,,,,,,,
ConvertibleDebtNoncurrent,,352878.000,,,,,,,,,,,,,
ConvertibleNotesPayable,,1407742.000,859077.000,719250.000,,,,,,,,,,,
ConvertibleNotesPayableCurrent,,,,,246612.000,139000.000,,,,,,,,,
ConvertiblePreferredStockSharesIssuedUponConversion,,,,,,,1045099.000,,,,,,,,
CumulativeEarningsDeficit,,-10680034.000,-11006587.000,-11038216.000,-11934958.000,-12558022.000,-12367062.000,-12259149.000,-19921658.000,-19914883.000,-19868367.000,-20577675.000,-20371819.000,-20981914.000,-15520315.000
DebtCurrent,,,,,,,,,,488683.000,,,,,
DebtInstrumentCollateralAmount,,,,,,29025.000,26625.000,33503.000,,,13566.000,14767.000,,,
DebtInstrumentConvertibleConversionPrice1,0.010,0.078,,,,,,0.300,,,,,,,
DebtInstrumentFaceAmount,,,,,246612.000,139000.000,,,,,,,,,
DebtInstrumentFairValue,,,,,,,,500000.000,,,,,,,
DebtInstrumentInterestRateEffectivePercentage,,,,,0.120,0.120,,0.120,,,,,,,
DebtInstrumentInterestRateStatedPercentage,0.045,,,,,,,,,,0.045,0.045,,,
DeferredIncomeTaxLiabilities,,,,,,,,,,,,,,20303013.000,
DeferredRevenue,,140472.000,160386.000,185967.000,107477.000,55032.000,110126.000,88546.000,178035.000,161558.000,67178.000,98996.000,98184.000,,
DeferredRevenueCurrent,215793.000,,,,,,,,,,,,,,
DeferredTaxAssetsValuationAllowance,,,11006587.000,11038216.000,11934958.000,12558022.000,12367062.000,12259149.000,12259149.000,19914883.000,19868367.000,,,-104169.000,
DerivativeLiabilities,,,,,,,,,,,,,,,183048.000
DevelopmentStageEnterpriseDeficitAccumulatedDuringDevelopmentStage,10303902.000,,,,,,,,,,,,,,
DisposalGroupIncludingDiscontinuedOperationAccountsNotesAndLoansReceivableNet,,,,,,,,,,,,,,183219.000,
DueFromRelatedPartiesCurrent,,,,,,,,,,,,75190.000,32345.000,84867.000,24480.000
FairValueNetAssetLiability,,,,,,,,,,,2673184.000,-3459383.000,-3039997.000,-3361536.000,
ForeignCurrencyExchangeRateTranslation1,,0.050,,,,,,,,,,,,,
GeneralPartnersContributedCapital,,,,,,,,,,-2972976.000,,,,,
IncomeTaxExaminationPenaltiesAccrued,,,,,,,,,150000.000,150000.000,150000.000,200000.000,,250000.000,
IntangibleAssetsNetExcludingGoodwill,,,,,,,,,,,,,,,1438525.000
InterestPayableCurrent,,,,,,,13689.000,,,,,,,,
InventoryGross,,11937.000,9465.000,27471.000,12548.000,34920.000,31897.000,,,,,,,,
InventoryNet,16169.000,,,,,,,,,,,,,,
JuniorSubordinatedDebentureOwedToUnconsolidatedSubsidiaryTrust,47046.000,,,,,,,,,,,,,,
LeaseholdImprovementsGross,142047.000,,,,,,,,,,,,,,
Liabilities,4561748.000,,,4265392.000,4298157.000,4039513.000,4061976.000,3876828.000,3732304.000,3586699.000,3273051.000,3832858.000,3453023.000,3637111.000,9563077.000
LiabilitiesAndStockholdersEquity,-3436755.000,1080865.000,1169668.000,1251770.000,1193464.000,1054090.000,1177924.000,1246859.000,1025934.000,902813.000,876212.000,620828.000,602726.000,460055.000,13945467.000
LiabilitiesCurrent,4522831.000,4408044.000,4108788.000,4233451.000,4269705.000,4014403.000,4037776.000,3855698.000,3717211.000,3573215.000,3262214.000,3825314.000,3449251.000,3637111.000,6565577.000
LiabilitiesOfDisposalGroupIncludingDiscontinuedOperationCurrent,,,,,,,,297286.000,,,,,,,
LoansPayable,,,,,,,80000.000,,,,17667.000,14757.000,11067.000,,3042972.000
LoansPayableCurrent,,8045.000,,,,7652.000,,,,,6830.000,7213.000,7295.000,,3042972.000
LoansPayableFairValueDisclosure,42472.000,,,,,,,,,,,,,,
LoansPayableToBank,70803.000,,,,,,,,,,,,,,
LoansPayableToBankCurrent,8129.000,,,,,,,,,,,,,,
LongTermDebt,,,,31941.000,,,,,,,,,,,
LongTermDebtAndCapitalLeaseObligationsIncludingCurrentMaturities,,,,,,,,,22146.000,20727.000,17667.000,14757.000,11067.000,,
LongTermDebtAndCapitalLeaseObligationsMaturitiesRepaymentsOfPrincipalAfterYearFive,,,,,,,,,1846.000,1993.000,1857.000,,,,
LongTermDebtAndCapitalLeaseObligationsMaturitiesRepaymentsOfPrincipalInYearThree,,,,,,,,,7382.000,7746.000,7224.000,,,,
LongTermDebtAndCapitalLeaseObligationsMaturitiesRepaymentsOfPrincipalInYearTwo,,,,,,,,,7382.000,7407.000,6907.000,7544.000,3772.000,,
LongTermDebtAndCapitalLeaseObligationsMaturitiesRepaymentsOfPrincipalRemainderOfFiscalYear,,,,,7953.000,,,,5537.000,3581.000,1679.000,7213.000,7295.000,,
