,2011-06-30,2011-09-30,2012-03-31,2012-09-30,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31
AdjustmentOfWarrantsGrantedForServices,,,,,,,,,-1114198.000,,,,,,,
AllocatedShareBasedCompensationExpense,,,,,,,,,,,257000.000,,239800.000,238800.000,341500.000,383700.000
AmortizationOfDebtDiscountPremium,,,,,,,,,,,61504.000,,108487.000,108487.000,107601.000,100511.000
AmountOfDilutiveSecuritiesStockOptionsAndRestrictiveStockUnits,,,,,,,16858.000,,,,,,,,,
AntidilutiveSecuritiesExcludedFromComputationOfEarningsPerShareAmount,,,,218500.000,218500.000,213500.000,,,180000.000,32000.000,,,6493002.000,,,
BrokerageCommissionsRevenue,3915986.000,3486974.000,3206138.000,67963.000,198071.000,436235.000,804500.000,1151297.000,1735687.000,1504555.000,,,,,,
CashAndCashEquivalentsPeriodIncreaseDecrease,,,-3031.000,,149521.000,,,,-959861.000,,,,-2377884.000,,,
ClearanceFees,,,79054.000,10329.000,18954.000,18320.000,18845.000,18547.000,24335.000,27125.000,,,,,,
ComprehensiveIncomeNetOfTax,,,,,,,,,,,-6727233.000,,-2303953.000,-2956732.000,-4155147.000,-4504634.000
CurrentIncomeTaxExpenseBenefit,2000.000,-147075.000,,,0.000,0.000,0.000,0.000,8500.000,0.000,,,,,,
DeferredIncomeTaxExpenseBenefit,,,,0.000,0.000,0.000,0.000,0.000,0.000,0.000,,,,,,
DepreciationDepletionAndAmortization,5160.000,4698.000,4113.000,406.000,743.000,2694.000,7140.000,8333.000,9342.000,9606.000,,,24560.000,,,
EarningsPerShareBasic,,,,,,,0.220,,0.150,0.190,,,,,,
EarningsPerShareBasicAndDiluted,-0.410,-0.110,0.240,-0.060,-0.040,-0.440,,,-0.560,,-0.460,,-0.120,-0.150,-0.200,-0.180
EarningsPerShareDiluted,,,,,,,0.070,,0.040,0.060,,,,,,
EffectOfExchangeRateOnCashAndCashEquivalents,,,,,,,,,,,,,-12531.000,,,
ExpenseRelatedToDistributionOrServicingAndUnderwritingFees,436.000,1051.000,37189.000,4500.000,22333.000,46536.000,83299.000,62728.000,17286.000,28374.000,,,,,,
ForeignCurrencyTransactionGainLossBeforeTax,,,,,,,,,,,-57107.000,,-25495.000,-9037.000,19718.000,55931.000
GainLossOnDispositionOfAssets,,,,,,-9256.000,,,,,,,,,,
GainLossRelatedToLitigationSettlement,-25000.000,25000.000,,-73917.000,,,,,,,,,,,,
GainsLossesOnSalesOfAssets,,,,-23471.000,,,,,,,,,,,,
GeneralAndAdministrativeExpense,,,,,,,,,,,5691492.000,,1230851.000,1376810.000,1667558.000,2201549.000
IncomeLossFromContinuingOperations,,,,,,,,,,,-6558527.000,,-2183763.000,,,
IncomeLossFromContinuingOperationsBeforeIncomeTaxesDomestic,-2360021.000,-809429.000,1412294.000,-328531.000,-240391.000,-2576546.000,1207237.000,147767.000,-2080334.000,232700.000,,,,,,
IncomeTaxExpenseBenefit,2000.000,-147075.000,,,0.000,0.000,0.000,0.000,8500.000,0.000,,,,,,
IncomeTaxesPaidNet,,,17255.000,,-7000.000,,,,-8500.000,,,,,,,
IncreaseDecreaseInAccountsPayableAndAccruedLiabilities,,,108616.000,,300853.000,,,,167596.000,,,,,,,
IncreaseDecreaseInBrokerageReceivables,,,-419737.000,,42853.000,,,,-247.000,,,,,,,
IncreaseDecreaseInDeferredRevenue,,,-38265.000,,-44642.000,,,,,,,,,,,
IncreaseDecreaseInFinancialInstrumentsSoldNotYetPurchased,,,-356695.000,,47295.000,,,,,,,,,,,
IncreaseDecreaseInIncomeTaxesReceivable,,,17255.000,,-7000.000,,,,,,,,,,,
IncreaseDecreaseInNotesReceivables,,,51516.000,,819605.000,,,,100620.000,,,,,,,
IncreaseDecreaseInOperatingCapital,,,,,,,,,,,,,382416.000,,,
IncreaseDecreaseInOtherOperatingAssets,,,,,,,,,208243.000,,,,,,,
IncreaseDecreaseInPrepaidDeferredExpenseAndOtherAssets,,,-174337.000,,19034.000,,,,309013.000,,,,,,,
IncreaseDecreaseInTradingSecurities,,,1399347.000,,-74000.000,,,,-109179.000,,,,,,,
IncrementalCommonSharesAttributableToCallOptionsAndWarrants,,,,,,,,,,16194.000,,,,,,
IncrementalCommonSharesAttributableToContingentlyIssuableShares,,,,,,,13235547.000,,15524586.000,3347209.000,,,,,,
IncrementalCommonSharesAttributableToShareBasedPaymentArrangements,,,,,,,,,34934.000,,,,,,,
InterestExpense,,,,,15616.000,6165.000,493.000,754.000,17618.000,8739.000,58136.000,873342.000,-90000.000,91000.000,91250.000,265100.000
InterestPaid,,,,,,,,,,,,,90000.000,,,
InvestmentBankingAdvisoryBrokerageAndUnderwritingFeesAndCommissions,108551.000,77984.000,22794.000,22199.000,88191.000,262924.000,390868.000,7040353.000,308465.000,,,,,,,
InvestmentIncomeInterest,,,,,,,,,,,2640.000,,-416.000,342.000,245.000,1021.000
InvestmentIncomeInterestAndDividend,135897.000,124640.000,121406.000,399941.000,6449.000,8086.000,8594.000,10837.000,8931.000,8389.000,,,,,,
LaborAndRelatedExpense,4019006.000,3514332.000,3209272.000,278687.000,602195.000,915124.000,1471401.000,1994547.000,2791619.000,1901551.000,,,,,,
LegalFees,,,,,,,50000.000,,,,,,,,,
MarketingAndAdvertisingExpense,5217.000,4044.000,,185.000,,,509.000,,,,,,,,,
NetCashProvidedByUsedInFinancingActivities,,,,,1500000.000,,,,250000.000,,,,,,,
NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,,,,,1500000.000,,,,250000.000,,,,,,,
NetCashProvidedByUsedInInvestingActivities,,,,,-12845.000,,,,-5517.000,,,,-47379.000,,,
NetCashProvidedByUsedInInvestingActivitiesContinuingOperations,,,,,-12845.000,,,,-5517.000,,,,-47379.000,,,
NetCashProvidedByUsedInOperatingActivities,,,-981.000,,-1337634.000,,,,-1204344.000,,,,-2317974.000,,,
NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,,,-981.000,,-1337634.000,,,,-1204344.000,,,,-2317974.000,,,
NetIncomeLoss,-2362021.000,-662354.000,1412294.000,-328531.000,-240391.000,-2576546.000,1207237.000,147767.000,-2088834.000,232700.000,-6732634.000,-5819041.000,-2356339.000,-2992157.000,-4212046.000,-4335195.000
NetIncomeLossAttributableToNoncontrollingInterest,,,,,,-2173.000,-40239.000,,181004.000,-45158.000,,,,,,
NetIncomeLossAvailableToCommonStockholdersBasic,,,,,,-2574373.000,1247476.000,,-2269838.000,277858.000,,,,,,
OperatingExpenses,,,,848901.000,1491071.000,1672661.000,2200754.000,6931570.000,2596555.000,3211336.000,,,,3034935.000,4170673.000,
OperatingIncomeLoss,,,,,,,,,,,,,,-2783975.000,-4033158.000,
OperatingLeasesRentExpenseNet,144371.000,143655.000,155384.000,39885.000,50956.000,78830.000,89087.000,96849.000,94311.000,87064.000,,,,,,
OtherAmortizationOfDeferredCharges,,,,,,,,,,,,,47933.000,,,
OtherComprehensiveIncomeLossForeignCurrencyTransactionAndTranslationAdjustmentNetOfTax,,,,,,,,,,,5401.000,,52386.000,35425.000,56899.000,-169439.000
OtherExpenses,283142.000,210435.000,164504.000,57556.000,223296.000,90298.000,57413.000,-68926.000,128031.000,98712.000,,,,,,
OtherIncome,46764.000,45140.000,40890.000,44753.000,44881.000,24137.000,-9258.000,2.000,,8750.000,,,,,,
PaymentsForRepurchaseOfCommonStock,,,1250.000,,,,,,,,,,,,,
PaymentsToAcquirePropertyPlantAndEquipment,,,800.000,,12845.000,,,,5517.000,,,,48185.000,,,
PrincipalInvestmentGainsLosses,-109828.000,58621.000,249511.000,141205.000,724346.000,-1743047.000,-62857.000,201392.000,14664.000,-366819.000,,,,,,
ProceedsFromIssuanceOfCommonStock,,,,,,,,,250000.000,,,,,,,
ProceedsFromIssuanceOfLongTermDebt,,,,,,,,,,,,,3000000.000,,,
ProceedsFromLoans,,,,,1500000.000,,,,,,,,,,,
ProceedsFromRepaymentsOfRelatedPartyDebt,,,,,1500000.000,,,,,,,,,,,
ProceedsFromSaleOfPropertyPlantAndEquipment,,,,,,,,,,,,,806.000,,,
ProfessionalFees,177786.000,76014.000,256259.000,160577.000,335079.000,277702.000,200665.000,320121.000,389570.000,301177.000,,,,,,
ProvisionForDoubtfulAccounts,,4167.000,,,,24089.000,21628.000,,,,,,,,,
ResearchAndDevelopmentExpense,,,,,,,,,,,867035.000,,952912.000,1658125.000,2503115.000,1960650.000
