,2011-09-30,2011-12-31,2012-03-31,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31
AccountsPayableCurrent,4963000.000,5441000.000,5879000.000,4807000.000,5741000.000,4374000.000,4919000.000,5229000.000,5184000.000,4811000.000,5438000.000,6248000.000,5071000.000
AccountsPayableOtherCurrent,,,,,528000.000,,,,506000.000,,,,846000.000
AccountsPayableTradeCurrent,,,,,4678000.000,,,,3881000.000,,,,3306000.000
AccountsReceivableGrossCurrent,,,,,3946000.000,,,,3294000.000,,,,2013000.000
AccountsReceivableNet,,,,1867000.000,1663000.000,1515000.000,,,2548000.000,,,,1706000.000
AccountsReceivableNetCurrent,2669000.000,3337000.000,5398000.000,,1663000.000,,1586000.000,2128000.000,2548000.000,2594000.000,3254000.000,1790000.000,1706000.000
AccrualForTaxesOtherThanIncomeTaxesCurrent,,,,,808000.000,,,,640000.000,,,,752000.000
AccruedLiabilitiesCurrent,8125000.000,6569000.000,7076000.000,7521000.000,7251000.000,7169000.000,7006000.000,6370000.000,7614000.000,8164000.000,8181000.000,6684000.000,7103000.000
AccruedProfessionalFeesCurrentAndNoncurrent,,,,,,,,375000.000,,1100000.000,1500000.000,400000.000,
AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment,,,,,10769000.000,,,,16782000.000,,,,21986000.000
AdditionalPaidInCapital,,,,149170000.000,149170000.000,149170000.000,149170000.000,149170000.000,149170000.000,149170000.000,150769000.000,153597000.000,153597000.000
AdditionalPaidInCapitalCommonStock,150267000.000,150268000.000,150268000.000,,,,,,,,,,
AllowanceForDoubtfulAccountsReceivable,,,,,2283000.000,,,,746000.000,,,,307000.000
AllowanceForDoubtfulAccountsReceivableCurrent,228000.000,315000.000,414000.000,1742000.000,2283000.000,2209000.000,667000.000,673000.000,746000.000,703000.000,696000.000,446000.000,307000.000
Assets,261466000.000,255202000.000,252613000.000,246326000.000,226287000.000,218996000.000,213835000.000,209775000.000,206558000.000,206485000.000,204805000.000,200134000.000,196650000.000
AssetsCurrent,91022000.000,84477000.000,83398000.000,86090000.000,81192000.000,74977000.000,70728000.000,67797000.000,65135000.000,65967000.000,64918000.000,61249000.000,59144000.000
AssetsOfDisposalGroupIncludingDiscontinuedOperationCurrent,57914000.000,56012000.000,54958000.000,,,,,,,,,,
CapitalLeasedAssetsGross,,,,,,,,,,,,,600000.000
CapitalLeasesFutureMinimumPaymentsDue,,,,,,,,,,,,,49879.000
CapitalLeasesLesseeBalanceSheetAssetsByMajorClassAccumulatedDeprecation,,,,,,,,,,,,,300000.000
CashAndCashEquivalentsAtCarryingValue,24542000.000,20762000.000,19032000.000,14806000.000,13914000.000,10126000.000,27076000.000,23685000.000,20738000.000,21746000.000,58602000.000,56584000.000,54612000.000
