,2011-03-31,2011-06-30,2012-03-31,2012-09-30,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-05-03,2014-08-02,2014-11-01
AdjustmentsNoncashItemsToReconcileNetIncomeLossToCashProvidedByUsedInOperatingActivities,1100000.000,,2200000.000,,100000.000,,,,2500000.000,,
AmortizationOfDebtDiscountPremium,3900000.000,,4300000.000,,3400000.000,,,,500000.000,,
AssetImpairmentCharges,,,,16500000.000,,,,,800000.000,20600000.000,2600000.000
CashAndCashEquivalentsPeriodIncreaseDecrease,-243200000.000,,-25300000.000,,-100800000.000,,,,-47800000.000,,
ComprehensiveIncomeNetOfTax,,26300000.000,-2400000.000,-44600000.000,-39000000.000,-56700000.000,-113200000.000,-189900000.000,-97700000.000,-137500000.000,-161300000.000
CostOfGoodsSold,587300000.000,509800000.000,613800000.000,640300000.000,511700000.000,530700000.000,562700000.000,657000000.000,468000000.000,436200000.000,436000000.000
CostOfGoodsSoldDepreciationAndAmortization,1700000.000,1900000.000,2000000.000,2100000.000,2300000.000,2200000.000,2200000.000,2300000.000,2500000.000,2400000.000,1900000.000
DepreciationAndAmortization,18500000.000,18300000.000,18900000.000,17600000.000,16500000.000,15500000.000,15000000.000,14400000.000,13000000.000,12800000.000,11900000.000
DepreciationDepletionAndAmortization,20200000.000,,20900000.000,,20000000.000,,,,15500000.000,,
DiscontinuedOperationGainLossOnDisposalOfDiscontinuedOperationNetOfTax,,,0.000,,,,,,,,
DiscontinuedOperationIncomeLossFromDiscontinuedOperationDuringPhaseOutPeriodBeforeIncomeTax,,2400000.000,0.000,0.000,8300000.000,400000.000,0.000,,0.000,0.000,0.000
DiscontinuedOperationIncomeLossFromDiscontinuedOperationDuringPhaseOutPeriodNetOfTax,,1400000.000,,,-8500000.000,300000.000,,,,,
DisposalGroupIncludingDiscontinuedOperationRevenue,,17000000.000,0.000,0.000,69800000.000,2400000.000,0.000,,0.000,0.000,0.000
EarningsPerShareBasic,0.330,0.240,-0.080,,,,,,,,
EarningsPerShareBasicAndDiluted,,,,-0.470,-0.430,-0.530,-1.110,,-0.970,-1.350,-1.580
EarningsPerShareDiluted,0.330,0.240,-0.080,,,,,,,,
GainLossOnInterestRateDerivativeInstrumentsNotDesignatedAsHedgingInstruments,,600000.000,,,,,,,,,
GainsLossesOnExtinguishmentOfDebt,-4100000.000,,,-600000.000,-300000.000,,,,,,-28100000.000
GoodwillImpairmentLoss,,,,3000000.000,,,,,,,
GrossProfit,476000000.000,432100000.000,394500000.000,359900000.000,337300000.000,313800000.000,242700000.000,278400000.000,268700000.000,237600000.000,214200000.000
ImpairmentOfLongLivedAssetsHeldForUse,400000.000,600000.000,500000.000,,1400000.000,2800000.000,,,,,
IncomeLossFromContinuingOperations,,23500000.000,-8000000.000,-47100000.000,-34800000.000,-53400000.000,-112400000.000,-191400000.000,-98300000.000,-137400000.000,-161100000.000
IncomeLossFromContinuingOperationsBeforeIncomeTaxesMinorityInterestAndIncomeLossFromEquityMethodInvestments,57600000.000,38500000.000,-10800000.000,-72100000.000,-33400000.000,-55200000.000,-129200000.000,-187200000.000,-96900000.000,-136000000.000,-160400000.000
IncomeLossFromContinuingOperationsPerBasicAndDilutedShare,,,,-0.470,-0.350,-0.530,-1.110,,-0.970,-1.350,-1.580
IncomeLossFromContinuingOperationsPerBasicShare,,0.230,-0.080,,,,,,,,
IncomeLossFromContinuingOperationsPerDilutedShare,,0.230,-0.080,,,,,,,,
IncomeLossFromDiscontinuedOperationsNetOfTaxPerBasicAndDilutedShare,,,,,-0.080,,,,,,
IncomeLossFromDiscontinuedOperationsNetOfTaxPerBasicShare,,0.010,,,,,,,,,
IncomeLossFromDiscontinuedOperationsNetOfTaxPerDilutedShare,,0.010,,,,,,,,,
IncomeTaxExpenseBenefit,22500000.000,15000000.000,-2800000.000,-25000000.000,1400000.000,-1800000.000,-16800000.000,4200000.000,1400000.000,1400000.000,700000.000
IncreaseDecreaseInAccountsPayable,,,-75500000.000,,-89500000.000,,,,7400000.000,,
IncreaseDecreaseInInventories,3900000.000,,-16800000.000,,16200000.000,,,,-16600000.000,,
IncreaseDecreaseInOtherOperatingAssets,-7400000.000,,-13400000.000,,-3000000.000,,,,-18700000.000,,
IncreaseDecreaseInOtherOperatingLiabilities,,,,,,,,,-2400000.000,,
IncreaseDecreaseInReceivables,-132000000.000,,-124800000.000,,-174700000.000,,,,8400000.000,,
IncreaseDecreaseInRestrictedCash,,,28000000.000,,,,,,-2900000.000,,
IncrementalCommonSharesAttributableToShareBasedPaymentArrangements,,900000.000,,,,,,,,,
InitialFranchiseFees,,,,3000000.000,,,,,,,
InterestExpense,9700000.000,10900000.000,13100000.000,13200000.000,15000000.000,14100000.000,11500000.000,11700000.000,16600000.000,16900000.000,18400000.000
InventoryWriteDown,,3000000.000,,,,,,,,,
InvestmentIncomeInterest,300000.000,500000.000,500000.000,500000.000,400000.000,300000.000,300000.000,1200000.000,700000.000,300000.000,200000.000
NetCashProvidedByUsedInFinancingActivities,-289500000.000,,-34600000.000,,-115900000.000,,,,,,
NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,-289500000.000,,-34600000.000,,-115900000.000,,,,,,
NetCashProvidedByUsedInInvestingActivities,-14500000.000,,-39200000.000,,-1800000.000,,,,-10000000.000,,
NetCashProvidedByUsedInInvestingActivitiesContinuingOperations,-14500000.000,,-39200000.000,,-1800000.000,,,,-10000000.000,,
NetCashProvidedByUsedInOperatingActivities,60800000.000,,48500000.000,,16900000.000,,,,-37800000.000,,
NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,60800000.000,,48500000.000,,16900000.000,,,,-37800000.000,,
NetIncomeLoss,35100000.000,24900000.000,-8000000.000,-47100000.000,-43300000.000,-53100000.000,-112400000.000,-191400000.000,-98300000.000,-137400000.000,-161100000.000
OperatingExpenses,404900000.000,383200000.000,392700000.000,418700000.000,355800000.000,355200000.000,360700000.000,444500000.000,349700000.000,357000000.000,328300000.000
OperatingIncomeLoss,71100000.000,48900000.000,1800000.000,-58800000.000,-18500000.000,-41400000.000,-118000000.000,-166100000.000,-81000000.000,-119400000.000,-114100000.000
PaymentsForProceedsFromOtherInvestingActivities,,,,,2900000.000,,,,,,
PaymentsOfDividends,,,12400000.000,,,,,,,,
PaymentsToAcquireProductiveAssets,14500000.000,,11200000.000,,5100000.000,,,,12900000.000,,
ProceedsFromRepaymentsOfBankOverdrafts,16700000.000,,-22200000.000,,-45400000.000,,,,,,
ProceedsFromSaleOfPropertyPlantAndEquipment,,,,,6200000.000,,,,,,
ProceedsFromStockOptionsExercised,600000.000,,,,,,,,,,
ProvisionForOtherCreditLosses,,,,,,,,,500000.000,,
RepaymentsOfLongTermDebt,306800000.000,,,,70500000.000,,,,,,
RestructuringAndRelatedCostExpectedCost,,,,,,,,,,,1200000.000
Revenues,1063300000.000,941900000.000,1008300000.000,1000200000.000,849000000.000,844500000.000,805400000.000,935400000.000,736700000.000,673800000.000,650200000.000
SalesRevenueNet,1063300000.000,941900000.000,1008300000.000,1000200000.000,849000000.000,844500000.000,805400000.000,935400000.000,736700000.000,673800000.000,650200000.000
SellingGeneralAndAdministrativeExpense,386000000.000,364300000.000,373300000.000,384600000.000,337900000.000,336900000.000,343300000.000,389300000.000,335900000.000,323600000.000,313800000.000
SeveranceCosts,,,,8500000.000,,,,,,,
