,2011-09-21,2012-01-11
AccountsPayableCurrent,332921000.000,338474000.000
AccumulatedOtherComprehensiveIncomeLossNetOfTax,4571000.000,4358000.000
AdditionalPaidInCapitalCommonStock,821623000.000,824778000.000
AllowanceForDoubtfulAccountsReceivableCurrent,3186000.000,3182000.000
Assets,1768265000.000,1749184000.000
AssetsCurrent,846140000.000,813547000.000
CapitalLeaseObligationsCurrent,15119000.000,17526000.000
CapitalLeaseObligationsNoncurrent,45741000.000,46530000.000
CashAndCashEquivalentsAtCarryingValue,168457000.000,129694000.000
CommonStockParOrStatedValuePerShare,0.001,0.001
CommonStockSharesAuthorized,400000000.000,400000000.000
CommonStockSharesIssued,56336292.000,56667269.000
CommonStockSharesOutstanding,56223685.000,56554662.000
CommonStockValueOutstanding,56000.000,57000.000
DeferredTaxAssetsNetNoncurrent,36646000.000,36646000.000
DeferredTaxLiabilitiesCurrent,44740000.000,44740000.000
EmployeeRelatedLiabilitiesCurrent,64294000.000,72603000.000
IntangibleAssetsNetExcludingGoodwill,203402000.000,199770000.000
InventoryLIFOReserve,59984000.000,65794000.000
Liabilities,926284000.000,922246000.000
LiabilitiesAndStockholdersEquity,1768265000.000,1749184000.000
LiabilitiesCurrent,646678000.000,651153000.000
LongTermLineOfCredit,12000.000,
OffMarketLeaseUnfavorable,79885000.000,76571000.000
OtherAssetsNoncurrent,8696000.000,8142000.000
OtherLiabilitiesCurrent,114501000.000,98070000.000
OtherLiabilitiesNoncurrent,42346000.000,39309000.000
PrepaidExpenseAndOtherAssetsCurrent,33464000.000,31644000.000
PropertyPlantAndEquipmentNet,673381000.000,691079000.000
ReceivablesNetCurrent,63984000.000,71159000.000
RetailRelatedInventoryMerchandise,580235000.000,581050000.000
RetainedEarningsAccumulatedDeficit,15731000.000,-2255000.000
SelfInsuranceReserveCurrent,75103000.000,79740000.000
SelfInsuranceReserveNoncurrent,111622000.000,108683000.000
StockholdersEquity,841981000.000,826938000.000
StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,841981000.000,826938000.000
