,2011-07-31,2014-01-31,2014-04-30,2014-07-31,2014-10-31,2015-01-31,2015-04-30,2015-07-31,2015-10-31,2016-01-31,2016-04-30,2016-07-31,2016-10-31,2017-01-31,2017-04-30
AdjustmentForAmortization,,,,,,,509109.000,522015.000,,,,,,,
AdvertisingExpense,,25880.000,,,,0.000,,,,0.000,,,,0.000,
AmortizationOfDebtDiscountPremium,,,,,,,,,,92825.000,,,,61603.000,
AmortizationOfIntangibleAssets,18682.000,344337.000,,,,509109.000,,,,0.000,,,,,
AntidilutiveSecuritiesExcludedFromComputationOfEarningsPerShareAmount,,102978444.000,,,,95797502.000,,68132335.000,,72878635.000,,,,33041467.000,
AssetImpairmentCharges,0.000,,,,,,,,,,,,,,
BenefitsLossesAndExpenses,,252913.000,241457.000,333479.000,324751.000,331717.000,292998.000,155958.000,489248.000,233041.000,129216.000,117494.000,82015.000,670831.000,107433.000
CapitalizedComputerSoftwareAmortization,,,,,,127272.000,,,,0.000,,,,,
CashAndCashEquivalentsPeriodIncreaseDecrease,,-1138047.000,,,,121138.000,,,,-7874.000,,,,-81149.000,
ComprehensiveIncomeNetOfTax,,-1364945.000,-1122718.000,-955705.000,-1494254.000,-1657009.000,-1073212.000,-1661571.000,-2056224.000,-137059.000,-83396.000,-177879.000,-491414.000,-971447.000,-154427.000
CostOfRevenue,,21990.000,17135.000,170801.000,204726.000,12634.000,14830.000,43487.000,403341.000,,,,,49796.000,892345.000
CostOfServicesCatering,,,,,,,,,,,,,,78000000.000,
DebtConversionConvertedInstrumentAmount1,,,,,,,,-49497.000,,,,,,,
DebtInstrumentPeriodicPaymentPrincipal,,8807.000,,,,,,,,,,,,,
Depreciation,,,,,,,,,,6146.000,,,,5904.000,
DepreciationAndAmortization,,346098.000,,,,547723.000,,,,6146.000,,,,5904.000,
DerivativeGainLossOnDerivativeNet,,,,,,,,-440484.000,,628762.000,,,,,
EarningsPerShareBasicAndDiluted,-0.300,-0.030,-0.020,-0.010,-0.020,-0.020,-0.010,-0.010,-0.020,0.000,,,,-0.000,
EffectOfExchangeRateOnCash,,,,,,8063.000,,,,,,,,,
FairValueLiabilitiesMeasuredOnRecurringBasisChangeInUnrealizedGainLoss,,,,,,-266410.000,,,,628762.000,,,,,
FoodAndBeverageRevenue,,,,,,,,,,,,,,,985068.000
ForeignCurrencyTransactionGainLossBeforeTax,,7512.000,-23219.000,12832.000,4534.000,9613.000,11923.000,-21536.000,44368.000,9450.000,,,,,
ForeignCurrencyTransactionGainLossRealized,,,,,,,,,,0.000,,,,0.000,
GainLossOnDerivativeInstrumentsNetPretax,,,,,,,,-55489.000,,,,,,,
GainsLossesOnExtinguishmentOfDebt,,,0.000,0.000,,32483.000,3776.000,73666.000,191995.000,-470727.000,,,,-23716.000,
GeneralAndAdministrativeExpense,101939.000,1341727.000,900035.000,599283.000,856989.000,1007960.000,431155.000,255889.000,-125088.000,140628.000,63464.000,116378.000,217162.000,275990.000,124243.000
GrossProfit,,224064.000,235425.000,103911.000,112622.000,,,,,,,,,51837.000,185017.000
ImpairmentOfLongLivedAssetsHeldForUse,,,,,,,,0.000,,0.000,0.000,,,,
IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,-108190.000,,,,,,,,,,,,,,
IncomeTaxExpenseBenefit,0.000,,,,,,,,,,,,,,
IncreaseDecreaseInAccountsPayableAndAccruedLiabilities,,-57991.000,,,,5340.000,,,,-60223.000,,,,168091.000,
IncreaseDecreaseInAccountsReceivable,,-10656.000,,,,-25071.000,,,,-15421.000,,,,-10571.000,
IncreaseDecreaseInDeferredRevenue,,-467.000,,,,-9962.000,,,,-9500.000,,,,,
IncreaseDecreaseInDerivativeLiabilities,,,,,,266410.000,-354268.000,,,,,,,,
IncreaseDecreaseInDueFromAffiliatesCurrent,,,,,,176007.000,,,,,,,,,
IncreaseDecreaseInDueToAffiliatesCurrent,,-891199.000,,,,,,,,,,,,,
IncreaseDecreaseInPrepaidExpense,,-145.000,,,,0.000,,,,,,,,-99050.000,
IncreaseDecreaseInRestrictedCashForOperatingActivities,,,,,,,,,,27977.000,,,,,
IncreaseDecreaseInSecurityDeposits,,22.000,,,,0.000,,,,,,,,,
InterestAndDebtExpense,-12745.000,,,,,,,,,,,,,,
InterestExpense,,870.000,444.000,0.000,2605.000,49385.000,184305.000,181043.000,391539.000,160625.000,161920.000,164773.000,,,
InterestExpenseDebt,,870.000,,,,14399.000,,,,,,,,,
InterestExpenseOther,,,,,,,,,,,,,,83703.000,4915.000
InterestPaid,,870.000,,,,0.000,,,,25650.000,,,,7350.000,
NetCashProvidedByUsedInFinancingActivities,,231193.000,,,,1010000.000,,,,180000.000,,,,100610.000,
NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,,231193.000,,,,1010000.000,,,,180000.000,,,,100610.000,
NetCashProvidedByUsedInInvestingActivities,,-179459.000,,,,-31810.000,,,,,,,,,
NetCashProvidedByUsedInInvestingActivitiesContinuingOperations,,-179459.000,,,,-31810.000,,,,,,,,,
NetCashProvidedByUsedInOperatingActivities,,-1189781.000,,,,-865115.000,,,,-187874.000,,,,-181759.000,
NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,,-1189781.000,,,,-865115.000,,,,-187874.000,,,,-181759.000,
NetIncomeLoss,-108190.000,-1451978.000,-869745.000,-830512.000,-1453092.000,-1665072.000,-1037002.000,-1358065.000,-2293215.000,-134272.000,,-172426.000,,-945622.000,-160806.000
NetIncomeLossAttributableToNoncontrollingInterest,,,,,,,-57182.000,-19303.000,,-8869.000,-15676.000,-3511.000,20529.000,-57830.000,13042.000
NetIncomeLossAvailableToCommonStockholdersBasic,,-1570474.000,-984377.000,-949008.000,-1493020.000,-1665072.000,-1037002.000,-1595057.000,-2295867.000,,-80707.000,-172426.000,,,
NonoperatingIncomeExpense,-12445.000,6642.000,154026.000,11676.000,-223484.000,-273699.000,182560.000,-661550.000,137634.000,6860.000,-161920.000,-164773.000,-115200.000,-107419.000,-4915.000
OperatingExpenses,176993.000,1682684.000,1259196.000,946099.000,1342230.000,1684029.000,1598132.000,1053388.000,2492201.000,423925.000,193877.000,237789.000,277548.000,947871.000,327866.000
OperatingIncomeLoss,-95745.000,-1458620.000,-1023771.000,-842188.000,-1229608.000,-1391373.000,-1276744.000,-715818.000,-2687192.000,-150001.000,65537.000,-11164.000,-376064.000,-896033.000,-142849.000
OtherComprehensiveIncomeForeignCurrencyTransactionAndTranslationGainLossArisingDuringPeriodNetOfTax,,-205529.000,,,,,,,,,,,,,
OtherComprehensiveIncomeLossForeignCurrencyTransactionAndTranslationAdjustmentNetOfTax,,205529.000,-138341.000,-6697.000,-1234.000,8063.000,-36210.000,-66514.000,-1.000,6082.000,-2689.000,-1942.000,7999.000,32005.000,6379.000
OtherNonoperatingIncome,,,177689.000,-1156.000,,,,,,,,,,,
OtherNonoperatingIncomeExpense,300.000,,,,,,-3102.000,12833.000,,,,,,,
PaymentsForRent,,800.000,,,,800.000,,,,,,,,,
PaymentsForSoftware,,,,,,31810.000,,,,,,,,,
PaymentsToAcquireMachineryAndEquipment,,2058.000,,,,0.000,,,,,,,,,
PaymentsToAcquireSoftware,,177401.000,,,,0.000,,,,,,,,,
PreferredStockDividendsIncomeStatementImpact,,118496.000,114632.000,118496.000,39928.000,0.000,0.000,236992.000,2652.000,,,,,,
ProceedsFromConvertibleDebt,,,,,,935000.000,,,,,,,,,
ProceedsFromIssuanceOfCommonStock,,80000.000,,,,75000.000,,,,680000.000,,,,,
ProceedsFromIssuanceOfWarrants,,80000.000,,,,,,,,,,,,,
ProceedsFromWarrantExercises,,160000.000,,,,0.000,,,,,,,,,
ProfitLoss,,,,,,,-1094184.000,-1377368.000,,-143141.000,-96383.000,-175937.000,-491264.000,-1003452.000,-147764.000
ProvisionForDoubtfulAccounts,,,,,,0.000,,,,,,,,,
RealEstateRevenueNet,81248.000,246054.000,252560.000,274712.000,317348.000,292656.000,321388.000,337570.000,279302.000,273924.000,259414.000,226625.000,108565.000,101633.000,92294.000
RepaymentsOfConvertibleDebt,,,,,,,,,,500000.000,,,,,
RepaymentsOfOtherShortTermDebt,,,,,,0.000,,,,,,,,,
RepaymentsOfShortTermDebt,,8807.000,,,,,,,,,,,,,
Revenues,,,,,,,,,,,,,,,1077362.000
SalesRevenueNet,,,,,,,,,,,,,,,1077362.000
SellingAndMarketingExpense,56372.000,88044.000,117704.000,13337.000,35490.000,39095.000,177592.000,25167.000,25838.000,5146.000,,2673.000,,1050.000,96190.000
ShareBasedCompensation,,649404.000,,,,173865.000,,,,32000.000,,,,626468.000,
ShareBasedCompensationArrangementByShareBasedPaymentAwardFairValueAssumptionsExpectedDividendRate,,0.000,,,,,,,,,,,,,
ShareBasedCompensationArrangementByShareBasedPaymentAwardFairValueAssumptionsExpectedVolatilityRateMaximum,,3.265,,,,,,,,,,,,,
ShareBasedCompensationArrangementByShareBasedPaymentAwardFairValueAssumptionsExpectedVolatilityRateMinimum,,3.192,,,,,,,,,,,,,
ShareBasedCompensationArrangementByShareBasedPaymentAwardFairValueAssumptionsRiskFreeInterestRateMaximum,,0.001,,,,,,,,,,,,,
ShareBasedCompensationArrangementByShareBasedPaymentAwardFairValueAssumptionsRiskFreeInterestRateMinimum,,0.001,,,,,,,,,,,,,
StockIssuedDuringPeriodSharesIssuedForServices,,298850.000,,,,,,,,,,,,,
StockIssuedDuringPeriodSharesNewIssues,,110000.000,,,,,,,,13600000.000,,,,,
StockRepurchasedAndRetiredDuringPeriodShares,,,,,,,,,,1000000.000,,,,,
StockRepurchasedAndRetiredDuringPeriodValue,,,,,,,,,,50000.000,,,,,
TechnologyServicesCosts,,,,,,292623.000,172448.000,50872.000,,45110.000,1197.000,1244.000,,,
WeightedAverageNumberOfShareOutstandingBasicAndDiluted,,54473194.000,59420260.000,69163833.000,-117428367.000,87598484.000,103674766.000,107852668.000,-192192405.000,143349582.000,149112992.000,149112992.000,-291950011.000,183046600.000,
WeightedAverageNumberOfSharesOutstandingBasic,,,,,,,,,,,,,,,240835621.000
