,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31
AccountsPayableAndAccruedLiabilitiesCurrent,739986.000,696.000,981000.000,714000.000,1098000.000,1034000.000,1550000.000,1139000.000,842000.000,503000.000,635000.000,342000.000,535000.000
AccountsPayableCurrent,3603717.000,4630.000,4185000.000,3920000.000,3283000.000,3257000.000,2684000.000,2842000.000,860000.000,1585000.000,1434000.000,1175000.000,932000.000
AccountsReceivableNetCurrent,1588896.000,478.000,352000.000,284000.000,1543000.000,2955000.000,2748000.000,2287000.000,99000.000,46000.000,721000.000,168000.000,63000.000
AccruedIncomeTaxes,,109.000,,,,25000.000,25000.000,20000.000,,,,,
AccruedIncomeTaxesCurrent,,,,41000.000,0.000,0.000,0.000,0.000,,,,,
AccruedInsuranceCurrentAndNoncurrent,,,,,,,,237000.000,148000.000,59000.000,,,
AccruedLiabilitiesCurrent,,,,,,,1550000.000,1139000.000,842000.000,503000.000,635000.000,342000.000,535000.000
AccruedProfessionalFeesCurrent,,,,,,142000.000,363000.000,93000.000,120000.000,87000.000,77000.000,47000.000,91000.000
AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment,,,,,,,,1816000.000,,,,1345000.000,
AdditionalPaidInCapital,148798467.000,151190.000,151938000.000,155707000.000,156647000.000,238891000.000,239798000.000,240340000.000,240778000.000,241333000.000,242555000.000,243022000.000,244125000.000
Assets,12550981.000,16798.000,19705000.000,21874000.000,22512000.000,21730000.000,19984000.000,18329000.000,13114000.000,9030000.000,7472000.000,2693000.000,2510000.000
AssetsCurrent,11549104.000,15749.000,18087000.000,20236000.000,21314000.000,20456000.000,18670000.000,16885000.000,11782000.000,7762000.000,6394000.000,1814000.000,1751000.000
AssetsFairValueDisclosure,,,,,,,15168000.000,12070000.000,9434000.000,5880000.000,4132000.000,762000.000,551000.000
CapitalLeaseObligationsCurrent,6968.000,4.000,0.000,0.000,,,,,,,,,
CapitalizedComputerSoftwareGross,,,,,,,,816000.000,,,,491000.000,
Cash,,12545.000,14846000.000,17965000.000,18708000.000,16475000.000,15292000.000,13314000.000,11028000.000,6539000.000,4561000.000,907000.000,1037000.000
CashAndCashEquivalentsAtCarryingValue,8729310.000,12545.000,14846000.000,17965000.000,18708000.000,16475000.000,15292000.000,13314000.000,11028000.000,6539000.000,4561000.000,907000.000,1037000.000
ClassOfWarrantOrRightExercisePriceOfWarrantsOrRights,,,,,,15.140,,,,,,,
CommonStockParOrStatedValuePerShare,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
CommonStockSharesAuthorized,2000000000.000,100000000.000,100000000.000,100000000.000,100000000.000,100000000.000,100000000.000,100000000.000,100000000.000,100000000.000,100000000.000,100000000.000,100000000.000
CommonStockSharesIssued,1650301354.000,16532228.000,16539062.000,16567384.000,16607384.000,16628325.000,16663720.000,16664553.000,16664553.000,16664553.000,16664553.000,16868160.000,17267372.000
CommonStockSharesOutstanding,1649301354.000,16522228.000,16529062.000,16557384.000,16607384.000,16628325.000,16663720.000,16557384.000,16664553.000,16664553.000,16664553.000,16868160.000,17267372.000
CommonStockValue,1650302.000,16.000,17000.000,17000.000,17000.000,17000.000,17000.000,17000.000,17000.000,17000.000,17000.000,17000.000,17000.000
DeferredFinanceCostsNoncurrentNet,,,421000.000,389000.000,0.000,0.000,0.000,0.000,,,,,
DeferredRentCreditCurrent,164250.000,143.000,,,,,,,,,,,
DeferredRentCreditNoncurrent,,,121000.000,99000.000,75000.000,0.000,0.000,0.000,,,,96000.000,124000.000
DeferredRevenue,103440.000,107.000,103000.000,119000.000,268000.000,587000.000,624000.000,683000.000,775000.000,727000.000,1337000.000,1333000.000,2209000.000
DeferredRevenueNoncurrent,,,,,,,,,,,,,278000.000
DeferredTaxAssetsGross,,,,,,,,9580.000,,,,17769000.000,
DeferredTaxAssetsLiabilitiesNet,,,,,,,,0.000,,,,,
DeferredTaxAssetsNet,,,,,,,,9996.000,,,,,
DeferredTaxAssetsOperatingLossCarryforwards,,,,,,,,6188.000,,,,12761000.000,
DeferredTaxAssetsOther,,,,,,,,153.000,,,,148000.000,
DeferredTaxAssetsTaxDeferredExpenseCompensationAndBenefitsShareBasedCompensationCost,,,,,,,,2913.000,,,,3409000.000,
DeferredTaxAssetsTaxDeferredExpenseReservesAndAccrualsImpairmentLosses,,,,,,,,,,,,689000.000,
DeferredTaxAssetsValuationAllowance,,,,,,,,-9580.000,,,,-17472000.000,
DeferredTaxLiabilities,,,,,,,,-416.000,,,,-297000.000,
