,2011-06-30,2011-09-30,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31
AdjustmentsToAdditionalPaidInCapitalShareBasedCompensationNonvestedSharesRequisiteServicePeriodRecognition,,,,,,,322000.000,,,,354000.000
AdjustmentsToAdditionalPaidInCapitalStockIssuedIssuanceCosts,,,-225000.000,,,,,,,,
AmortizationOfDebtDiscountPremium,,,,,,,149000.000,,,,76000.000
AmortizationOfFinancingCostsAndDiscounts,,,261000.000,,,,273000.000,,,,202000.000
AvailableForSaleSecuritiesChangeInNetUnrealizedHoldingGainLossNetOfTax,,,766000.000,,,,303000.000,,,,83000.000
AvailableForSaleSecuritiesGrossRealizedGains,,,,34000.000,78000.000,,,44000.000,,,
AvailableForSaleSecuritiesGrossRealizedLosses,,,,3000.000,0.000,,,3000.000,,,
CashAndCashEquivalentsPeriodIncreaseDecrease,,,2593000.000,,,,-3701000.000,,,,-3049000.000
CommonStockDividendsPerShareDeclared,,,0.285,0.285,0.285,0.285,0.285,0.285,0.285,0.285,0.285
ComprehensiveIncomeNetOfTaxIncludingPortionAttributableToNoncontrollingInterest,-447000.000,-997000.000,1626000.000,495000.000,255000.000,-1402000.000,1021000.000,1676000.000,265000.000,1310000.000,2477000.000
CostOfPropertyRepairsAndMaintenance,1966000.000,2355000.000,2352000.000,2759000.000,2969000.000,3175000.000,3065000.000,3348000.000,4145000.000,4185000.000,3660000.000
DepreciationDepletionAndAmortization,,,2283000.000,,,,3073000.000,,,,3908000.000
DiscontinuedOperationGainLossOnDisposalOfDiscontinuedOperationNetOfTax,,397000.000,,,,,,,,,
DistributionsPerLimitedPartnershipAndGeneralPartnershipUnitOutstandingBasic,0.285,0.285,,,,,,,,,
Dividends,,,-3600000.000,,,,4989000.000,,,,6406000.000
EarningsPerShareBasic,,,,0.040,0.010,,0.060,0.060,0.040,0.050,0.110
EarningsPerShareBasicAndDiluted,,,0.070,0.040,0.010,-0.120,0.060,0.060,,,0.110
EarningsPerShareDiluted,,,,0.040,0.010,,0.060,0.060,0.030,0.050,0.110
GainLossOnDispositionOfAssets,0.000,1000.000,-12000.000,-16000.000,-77000.000,-7000.000,-8000.000,-40000.000,0.000,-8000.000,-85000.000
GainLossOnSaleOfOtherAssets,,,,,,,,,,,-85000.000
GainLossOnSaleOfPropertyPlantEquipment,,,,,0.000,,,,,,
GeneralAndAdministrativeExpense,1778000.000,1495000.000,1641000.000,1863000.000,1888000.000,2224000.000,2444000.000,2516000.000,2722000.000,3230000.000,2957000.000
IncomeLossFromContinuingOperations,-254000.000,289000.000,,,,,,,,,
IncomeLossFromContinuingOperationsPerOutstandingLimitedPartnershipUnit,-0.020,0.020,,,,,,,,,
IncomeLossFromContinuingOperationsPerOutstandingLimitedPartnershipUnitDiluted,-0.020,0.020,,,,,,,,,
IncomeLossFromDiscontinuedOperationsNetOfTaxAttributableToReportingEntity,16000.000,-11000.000,,,,,,,,,
IncomeLossFromDiscontinuedOperationsNetOfTaxPerOutstandingLimitedPartnershipUnit,0.000,0.030,,,,,,,,,
IncomeLossFromDiscontinuedOperationsNetOfTaxPerOutstandingLimitedPartnershipUnitDiluted,0.000,0.030,,,,,,,,,
IncomeTaxExpenseBenefit,58000.000,54000.000,65000.000,70000.000,77000.000,74000.000,65000.000,72000.000,90000.000,78000.000,84000.000
