,2011-06-30,2011-09-30,2012-03-31,2012-09-30,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31
CashAndCashEquivalentsPeriodIncreaseDecrease,,,960273.000,,-47485.000,,,,-715134.000,,,
ComprehensiveIncomeNetOfTax,-117986.000,491696.000,-1015150.000,-1248083.000,-958038.000,-895912.000,-525245.000,608696.000,-655114.000,-471908.000,-388612.000,-2589995.000
CostOfGoodsAndServicesSold,-2167917.000,-1920272.000,1768154.000,,,,,,,,,
CostOfGoodsSold,,,,-1159289.000,-1419509.000,-6091735.000,6194430.000,17811169.000,928647.000,1742659.000,517254.000,716731.000
Depreciation,,,238531.000,,,,,,,,,
DepreciationAndAmortization,,,,,,,,,179156.000,165106.000,172820.000,173329.000
DepreciationDepletionAndAmortization,,,,,234149.000,,,,179156.000,,,
EarningsPerShareBasic,,,,-0.020,-0.020,-0.020,0.000,,,,,
EarningsPerShareBasicAndDiluted,,,-0.020,,,,,,-0.010,-0.010,-0.010,0.000
EarningsPerShareDiluted,,0.000,,-0.020,-0.020,-0.020,0.000,,,,,
EffectOfExchangeRateOnCashAndCashEquivalents,,,2032.000,,-29761.000,,,,-2166.000,,,
EquityMethodInvestmentSummarizedFinancialInformationCostOfSales,,,,,,,,,,47698.000,47651.000,
EquityMethodInvestmentSummarizedFinancialInformationGrossProfitLoss,,,,,,,,,,,-24545.000,
EquityMethodInvestmentSummarizedFinancialInformationRevenue,,,,,,,,,,23128.000,23106.000,
GainLossOnSaleOfBusiness,,,,,,,598236.000,,,,,
GainsLossesOnSalesOfAssets,,-132398.000,,,,,,,,,,
GeneralAndAdministrativeExpense,676488.000,835272.000,688019.000,540127.000,619048.000,625128.000,261984.000,1113482.000,259501.000,378910.000,301836.000,365986.000
GrossProfit,772201.000,325262.000,103880.000,-145969.000,136706.000,274125.000,156119.000,-222541.000,58269.000,191514.000,111091.000,10090.000
IncomeLossFromContinuingOperations,,,,,,,-560089.000,,,,-391935.000,
IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,-460097.000,208692.000,-1044100.000,-1248083.000,-1044171.000,-1170677.000,-560089.000,-343622.000,-540548.000,-472686.000,-391935.000,-2632100.000
IncomeLossFromContinuingOperationsPerBasicAndDilutedShare,,,,,,,,,,,-0.010,
IncomeLossFromContinuingOperationsPerBasicShare,,,,,,,-0.010,,,,,
IncomeLossFromContinuingOperationsPerDilutedShare,,,,,,,-0.010,,,,,
IncomeLossFromDiscontinuedOperationsNetOfTax,,,,,,,598236.000,,,,,
IncomeLossFromDiscontinuedOperationsNetOfTaxPerBasicAndDilutedShare,,,,,,,,,,,0.000,
IncomeLossFromDiscontinuedOperationsNetOfTaxPerBasicShare,,,,,,,0.010,,,,,
IncomeLossFromDiscontinuedOperationsNetOfTaxPerDilutedShare,,,,,,,0.010,,,,,
IncomeLossFromEquityMethodInvestments,-135750.000,1205110.000,,-62230.000,,,,,,,,
IncomeTaxExpenseBenefit,-28712.000,2335.000,,,,,,,,,,
IncomeTaxReconciliationChangeInDeferredTaxAssetsValuationAllowance,,,,,,,,,-211070.000,,,
IncomeTaxReconciliationForeignIncomeTaxRateDifferential,,,,,94144.000,194177.000,,,52933.000,,,
IncomeTaxReconciliationIncomeTaxExpenseBenefitAtFederalStatutoryIncomeTaxRate,,,,,-365460.000,-775196.000,,,-189192.000,,,
IncomeTaxReconciliationOtherAdjustments,,,,,198702.000,,,,,,,
IncomeTaxesPaid,,,111.000,,,,,,,,,
IncreaseDecreaseInAccountsPayable,,,32737.000,,888341.000,,,,-266452.000,,,
IncreaseDecreaseInAccountsReceivable,,,-24730.000,,264084.000,,,,-215433.000,,,
IncreaseDecreaseInAccruedLiabilitiesAndOtherOperatingLiabilities,,,-315157.000,,9511.000,,,,-41208.000,,,
IncreaseDecreaseInConstructionPayables,,,-31052.000,,,,,,,,,
IncreaseDecreaseInInventories,,,-246589.000,,-148664.000,,,,79515.000,,,
IncreaseDecreaseInPrepaidDeferredExpenseAndOtherAssets,,,1297217.000,,390808.000,,,,66219.000,,,
InterestExpense,,,,,,,,,-150124.000,-146255.000,-153260.000,-138107.000
InterestIncomeExpenseNet,-55368.000,-56946.000,-138896.000,-80691.000,-106529.000,-313983.000,-141708.000,,,,,
InterestPaid,,,99377.000,,110595.000,,,,150395.000,,,
InventoryWriteDown,,,,,,,,,213065.000,,,
NetCashProvidedByUsedInFinancingActivities,,,2864464.000,,235707.000,,,,-175179.000,,,
NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,,,2864464.000,,235707.000,,,,-175179.000,,,
NetCashProvidedByUsedInInvestingActivities,,,-13499.000,,-1141.000,,,,-137064.000,,,
NetCashProvidedByUsedInInvestingActivitiesContinuingOperations,,,-13499.000,,-1141.000,,,,-137064.000,,,
NetCashProvidedByUsedInOperatingActivities,,,-1892724.000,,-252290.000,,,,-400725.000,,,
NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,,,-1892724.000,,-252290.000,,,,-400725.000,,,
NetIncomeLoss,-431385.000,206357.000,-1044100.000,-1248083.000,-1044171.000,-1170677.000,38147.000,-341429.000,-540548.000,-472686.000,-391935.000,-2632100.000
NonoperatingIncomeExpense,,,,,-202029.000,-406022.000,-230513.000,173694.000,-317929.000,-46230.000,-162147.000,28200.000
OperatingExpenses,1041180.000,991258.000,900487.000,1083653.000,978848.000,1038780.000,485695.000,294775.000,280888.000,617970.000,340879.000,2670390.000
OperatingIncomeLoss,-268979.000,-665996.000,-796607.000,-1229622.000,-842142.000,-764655.000,-329576.000,-517316.000,-222619.000,-426456.000,-229788.000,-2660300.000
OtherComprehensiveIncomeForeignCurrencyTransactionAndTranslationAdjustmentNetOfTaxPeriodIncreaseDecrease,313399.000,285338.000,,,,,,,,,,
OtherComprehensiveIncomeLossForeignCurrencyTransactionAndTranslationAdjustmentNetOfTax,,,28950.000,-34254.000,86133.000,274765.000,34844.000,351889.000,-114566.000,778.000,3323.000,42105.000
OtherIncome,,,,-18461.000,,,,,,,,
OtherResearchAndDevelopmentExpense,,,,,,,,,319085.000,,,
PaymentsToAcquirePropertyPlantAndEquipment,,,13499.000,,1141.000,,,,-137064.000,,,
ProceedsFromConvertibleDebt,,,,,299030.000,,,,,,,
ProceedsFromRepaymentsOfRelatedPartyDebt,,,11969.000,,,,,,6121.000,,,
ProceedsFromRepaymentsOfShortTermDebt,,,2852495.000,,-159314.000,,,,327033.000,,,
ProvisionForDoubtfulAccounts,,,,,,,,,30823.000,,,
ResearchAndDevelopmentExpense,259762.000,84181.000,155570.000,442613.000,295252.000,335431.000,168731.000,-874268.000,-7948.000,197751.000,8144.000,-167364.000
Revenues,2940118.000,2245534.000,1872034.000,1013320.000,1556215.000,6365860.000,6350549.000,2566140.000,986916.000,1934173.000,628345.000,726821.000
SalesRevenueNet,2940118.000,2245534.000,1872034.000,1031781.000,1556215.000,6365860.000,6350549.000,2566140.000,986916.000,1934173.000,628345.000,726821.000
SellingExpense,104930.000,71805.000,56898.000,100913.000,64548.000,78221.000,54980.000,55561.000,29335.000,41309.000,30899.000,30044.000
ShareBasedCompensation,,,143618.000,,70608.000,,,,,,,
ValuationAllowanceDeferredTaxAssetChangeInAmount,,,,,,581019.000,,,,,,
WeightedAverageNumberOfDilutedSharesOutstanding,50159169.000,49237038.000,,,49377038.000,49377038.000,49377038.000,,,,,
WeightedAverageNumberOfShareOutstandingBasicAndDiluted,,,49377038.000,,,,,,49377038.000,50387038.000,50387038.000,-99764076.000
WeightedAverageNumberOfSharesOutstandingBasic,50159169.000,49237038.000,,,49377038.000,49377038.000,49377038.000,,,,,
