,2011-06-30
AccountsPayableCurrent,7306084.000
AccountsReceivableNetCurrent,14798131.000
AccruedLiabilitiesCurrent,3840335.000
AdditionalPaidInCapital,55046773.000
AllowanceForDoubtfulAccountsReceivableCurrent,1062272.000
Assets,105623078.000
AssetsCurrent,17853840.000
CashAndCashEquivalentsAtCarryingValue,173164.000
CommonStockParOrStatedValuePerShare,0.010
CommonStockSharesAuthorized,20000000.000
CommonStockSharesIssued,12102587.000
CommonStockSharesOutstanding,12016681.000
CommonStockValueOutstanding,121026.000
DeferredRevenueCurrent,1621478.000
DeferredTaxAssetsNetCurrent,225645.000
Liabilities,119544940.000
LiabilitiesAndStockholdersEquity,105623078.000
LiabilitiesCurrent,106479058.000
LongTermDebtCurrent,93711161.000
LongTermDebtNoncurrent,13065882.000
OtherAssetsNoncurrent,1899370.000
PreferredStockParOrStatedValuePerShare,0.010
PreferredStockSharesAuthorized,1000000.000
PreferredStockSharesIssued,0.000
PreferredStockSharesOutstanding,0.000
PropertyPlantAndEquipmentNet,81229126.000
RetainedEarningsAccumulatedDeficit,-68771521.000
StockholdersEquity,-13921862.000
StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,-13921862.000
TreasuryStockShares,85906.000
TreasuryStockValue,318140.000
