,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31
AccountsPayableAndAccruedLiabilitiesCurrent,,,,,,,28343.000,31934.000
AccountsPayableAndAccruedLiabilitiesCurrentAndNoncurrent,6551.000,,9047.000,11269.000,12891.000,,16394.000,18329.000
AccountsPayableCurrent,2026.000,,4750.000,950.000,2750.000,,,
AccruedLiabilitiesCurrent,6551.000,7762.000,9047.000,11269.000,12891.000,24656.000,,
AccumulatedOtherComprehensiveIncomeLossNetOfTax,3443.000,5500.000,6004.000,3236.000,2373.000,4603.000,5659.000,7054.000
AdditionalPaidInCapital,,,2640.000,13872.000,18864.000,19064.000,19064.000,19064.000
Assets,49087.000,45193.000,44292.000,51960.000,53381.000,45913.000,44808.000,232.000
AssetsCurrent,532.000,455.000,1020.000,5897.000,7378.000,330.000,263.000,232.000
CashAndCashEquivalentsAtCarryingValue,532.000,455.000,1020.000,5897.000,7378.000,330.000,263.000,232.000
CommonStockParOrStatedValuePerShare,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
CommonStockSharesAuthorized,75000000.000,70000000.000,70000000.000,70000000.000,70000000.000,70000000.000,70000000.000,70000000.000
CommonStockSharesIssued,10000000.000,10000000.000,10110000.000,10578000.000,10786000.000,10804000.000,10804000.000,10804000.000
CommonStockSharesOutstanding,10000000.000,10000000.000,10110000.000,10578000.000,10786000.000,10804000.000,10804000.000,10804000.000
CommonStockValue,8989.000,8989.000,9099.000,9567.000,9775.000,9775.000,9775.000,9775.000
ConvertibleDebt,78864.000,74753.000,68196.000,74818.000,74720.000,76164.000,74430.000,75261.000
ConvertibleLongTermNotesPayable,78864.000,16742.000,,,,,,
ConvertibleNotesPayable,,55923.000,2088.000,2088.000,2088.000,74037.000,2079.000,2102.000
ConvertibleNotesPayableCurrent,,,68196.000,74818.000,74720.000,,72351.000,73159.000
DebtCurrent,,15683.000,,,,19023.000,,
DeferredTaxAssetsOperatingLossCarryforwards,,23623.000,,,,37580.000,,
DeferredTaxAssetsValuationAllowance,,23623.000,,,,37580.000,,
DueToOfficersOrStockholdersCurrentAndNoncurrent,,,,18395.000,18395.000,,22023.000,29826.000
Liabilities,99467.000,98198.000,104564.000,107520.000,110844.000,119843.000,124796.000,137021.000
LiabilitiesAndStockholdersEquity,49087.000,45193.000,44292.000,51960.000,53381.000,45913.000,44808.000,232.000
LiabilitiesCurrent,20602.000,81456.000,104564.000,107520.000,110844.000,119843.000,124796.000,137021.000
LiabilitiesSubjectToCompromiseCapitalLeaseObligationsAndAccruedInterest,,,,,,15003.000,,
LongTermDebt,85415.000,82515.000,77243.000,86087.000,87611.000,91166.000,90824.000,93590.000
OilAndGasPropertyFullCostMethodNet,48555.000,44738.000,43272.000,46063.000,46003.000,45583.000,44545.000,
OperatingLossCarryforwards,,67494.000,,,,107372.000,,
PreferredStockNoParValue,,0.001,,,,0.001,,
PreferredStockParOrStatedValuePerShare,,,0.001,0.001,0.001,,0.001,0.001
PreferredStockSharesAuthorized,,5000000.000,5000000.000,5000000.000,5000000.000,5000000.000,5000000.000,5000000.000
PreferredStockSharesIssued,,0.000,0.000,0.000,0.000,0.000,0.000,0.000
PreferredStockSharesOutstanding,,0.000,0.000,0.000,0.000,0.000,0.000,0.000
RetainedEarningsAccumulatedDeficit,-62812.000,-67494.000,-78015.000,-82235.000,-88475.000,-107372.000,-114486.000,-172682.000
StockholdersEquity,-50380.000,-53005.000,-60272.000,-55560.000,-57463.000,-73930.000,-79988.000,-136789.000
StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,-50380.000,-53005.000,-60272.000,-55560.000,-57463.000,-73930.000,-79988.000,-136789.000
