,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31
AccretionExpense,,,,,,109000.000,85000.000,,88000.000,86000.000,89000.000,92000.000,92000.000
AdjustmentsToAdditionalPaidInCapitalShareBasedCompensationStockOptionsRequisiteServicePeriodRecognition,,,,,6000.000,,,,10000.000,,,,7000.000
AdjustmentsToAdditionalPaidInCapitalWarrantIssued,,,,,1010000.000,,,,,,,,
AllocatedShareBasedCompensationExpense,,,,,6000.000,,,,,,,,
AntidilutiveSecuritiesExcludedFromComputationOfEarningsPerShareAmount,,,,,2117364.000,,2613.000,,2612864.000,,,,2579831.000
AssumedPremiumsEarned,,,,,,24000.000,146000.000,,,,,,847000.000
AssumedPremiumsWritten,,,,,,312000.000,421000.000,,398000.000,,,,847000.000
AvailableForSaleSecuritiesContinuousUnrealizedLossPosition12MonthsOrLongerAggregateLosses,,,,,,,,,2000.000,,,,2000.000
AvailableForSaleSecuritiesContinuousUnrealizedLossPositionAggregateLosses,,,,,-3000.000,,,,28000.000,,,,235000.000
AvailableForSaleSecuritiesContinuousUnrealizedLossPositionLessThan12MonthsAggregateLosses,,,,,-3000.000,,,,26000.000,,,,233000.000
AvailableForSaleSecuritiesGrossUnrealizedGains,,,,,115000.000,,,,,,,,
AvailableForSaleSecuritiesGrossUnrealizedLoss,,,,,-3000.000,,,,,,,,
CashAndCashEquivalentsPeriodIncreaseDecrease,3323000.000,,,,95000.000,,,,-3383000.000,,,,-5904000.000
CededPremiumsEarned,,,,,2581000.000,2854000.000,3399000.000,3344000.000,3347000.000,4196000.000,5410000.000,5546000.000,5346000.000
CededPremiumsWritten,,,,,2738000.000,3552000.000,3564000.000,3568000.000,3571000.000,5870000.000,5973000.000,5127000.000,5876000.000
ComprehensiveIncomeNetOfTax,1700000.000,629000.000,611000.000,705000.000,-1949000.000,-206000.000,-37000.000,458000.000,-887000.000,1433000.000,-1817000.000,1279000.000,301000.000
CurrentIncomeTaxExpenseBenefit,,,,,,-72000.000,82000.000,,,,,,
DeferredIncomeTaxExpenseBenefit,65000.000,,,,-375000.000,,,,-54000.000,,,,124000.000
DeferredPolicyAcquisitionCostAmortizationExpense,,,,,1526000.000,1571000.000,1676000.000,1798000.000,1990000.000,2063000.000,2095000.000,2344000.000,2522000.000
DeferredPolicyAcquisitionCostsAdditions,,,,,1363000.000,2060000.000,2027000.000,2060000.000,1637000.000,2525000.000,2325000.000,2364000.000,2559000.000
Depreciation,,,,,13000.000,,,,15000.000,,,,18000.000
DirectPremiumsEarned,,,,,8599000.000,9081000.000,9654000.000,10365000.000,11568000.000,11708000.000,12546000.000,11029000.000,12671000.000
DirectPremiumsWritten,,,,,,11866000.000,11382000.000,,10804000.000,14714000.000,13966000.000,10507000.000,11987000.000
