,2016-12-31
CashAndCashEquivalentsPeriodIncreaseDecrease,-50.000
Depreciation,350.000
EarningsPerShareBasicAndDiluted,-0.000
EffectiveIncomeTaxRateReconciliationAtFederalStatutoryIncomeTaxRate,0.340
EquipmentExpense,1750.000
GeneralAndAdministrativeExpense,50412.000
IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,34479.000
IncomeTaxReconciliationChangeInDeferredTaxAssetsValuationAllowance,-11723.000
IncomeTaxReconciliationOtherAdjustments,11723.000
IncreaseDecreaseInAccruedLiabilities,4504.000
NetCashProvidedByUsedInFinancingActivities,29925.000
NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,29925.000
NetCashProvidedByUsedInInvestingActivities,-2100.000
NetCashProvidedByUsedInInvestingActivitiesContinuingOperations,-2100.000
NetCashProvidedByUsedInOperatingActivities,-27875.000
NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,-27875.000
NetIncomeLoss,-34479.000
OperatingIncomeLoss,-34479.000
OtherIncome,11433.000
PaymentsToAcquirePropertyPlantAndEquipment,2100.000
ProceedsFromIssuanceOfCommonStock,31000.000
RepaymentsOfRelatedPartyDebt,1075.000
Revenues,4500.000
SalesRevenueNet,-6933.000
StockIssuedDuringPeriodValueNewIssues,5000.000
StockIssuedDuringPeriodValueOther,26000.000
WeightedAverageNumberOfShareOutstandingBasicAndDiluted,5827616.000
