,2013-06-30,2013-09-30,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31
AccretionExpense,,,,,,,171875.000,171875.000,171875.000,513938.000,129117.000,129117.000,774703.000,0.000,
AdjustmentsToAdditionalPaidInCapitalSharebasedCompensationRequisiteServicePeriodRecognitionValue,,,1483681.000,1852787.000,1852787.000,1759950.000,1507695.000,,,,949961.000,,,,2286842.000
AmortizationOfDebtDiscountPremium,,,142398.000,161237.000,179901.000,331117.000,412061.000,,,,,,,,
AmortizationOfFinancingCostsAndDiscounts,117120.000,191289.000,72800.000,71909.000,72952.000,73998.000,66250.000,91810.000,123370.000,796178.000,,,,,591348.000
AmortizationOfIntangibleAssets,500061.000,,,0.000,22804.000,,11662.000,20114.000,18079.000,18265.000,52941.000,53411.000,52737.000,52489.000,52090.000
AssetImpairmentCharges,834000.000,,,,,,,,,,,,,,
CashAndCashEquivalentsPeriodIncreaseDecrease,91450096.000,-7373229.000,-10706130.000,-18718453.000,24328048.000,-27588912.000,-25017675.000,,,,7085119.000,,,,-10849464.000
ComprehensiveIncomeNetOfTax,-5843995.000,-8434417.000,-20166639.000,-12972600.000,-10968618.000,-6572748.000,-11455532.000,-14370876.000,-11993577.000,-9930313.000,-6660983.000,4941912.000,-6535317.000,-11630817.000,500112.000
ComprehensiveIncomeNetOfTaxAttributableToNoncontrollingInterest,252203.000,85621.000,633510.000,-206116.000,-1201005.000,-1770602.000,-4398778.000,1264577.000,-3470189.000,-1899082.000,680253.000,-1801605.000,-821936.000,-2850660.000,-1169001.000
ComprehensiveIncomeNetOfTaxIncludingPortionAttributableToNoncontrollingInterest,-6096198.000,-8520038.000,-20800149.000,-12766484.000,-12169623.000,-7488562.000,-15854310.000,-13106299.000,-15463766.000,-11829395.000,-5980730.000,3140307.000,-7357253.000,-14481477.000,-668889.000
ConstructionInProgressExpendituresIncurredButNotYetPaid,137367.000,1049084.000,4935512.000,8113000.000,12984161.000,-17176572.000,13753341.000,,,,15474.000,,,,
CostOfGoodsSold,1411225.000,655175.000,,,,,,,,,,,,,
CostOfGoodsSoldExcludingDepreciationDepletionAndAmortization,,,279860.000,2251101.000,1447819.000,2065012.000,310089.000,752323.000,366854.000,1183514.000,3062390.000,3480991.000,5034580.000,2088976.000,4111400.000
DebtInstrumentBasisSpreadOnVariableRate1,,,0.068,,,,,,0.095,,0.095,,,,
DebtInstrumentConvertibleConversionRatio1,,,,,1.750,,,,,,,,,,
Depreciation,38926.000,40321.000,59674.000,59909.000,45841.000,44549.000,60178.000,72740.000,105411.000,773991.000,1100510.000,1185000.000,1155707.000,1190369.000,1183698.000
DepreciationDepletionAndAmortization,538987.000,40321.000,59674.000,59909.000,68645.000,72244.000,71840.000,92854.000,123490.000,792256.000,1153451.000,1238411.000,1208444.000,1242858.000,1235788.000
EarningsPerShareBasic,0.390,0.480,1.070,0.750,0.390,0.110,0.380,0.580,0.270,-2.750,,0.170,-0.210,,0.003
EarningsPerShareBasicAndDiluted,,,,,,,,,,,-0.390,,,,
EarningsPerShareDiluted,,,,,,,,,,,,0.160,,,0.003
EffectOfExchangeRateOnCashAndCashEquivalents,-376702.000,394457.000,-554028.000,1125124.000,-2811777.000,-1628876.000,-1038861.000,,,,390703.000,,,,36736.000
EffectiveIncomeTaxRateContinuingOperations,,,0.001,,-0.002,,0.004,0.001,-0.003,,-0.001,0.000,0.000,,0.009
EffectiveIncomeTaxRateReconciliationAtFederalStatutoryIncomeTaxRate,,,0.340,,0.340,,0.405,,,,0.405,,,,
FairValueAdjustmentOfWarrants,11700000.000,2000000.000,11600000.000,3040000.000,-240800.000,-7199200.000,-320000.000,3056000.000,-2304662.000,-2693297.000,2834421.000,-11943485.000,1108170.000,2108534.000,-9824937.000
FairValueInputsDiscountRate,,,0.150,,,,,,,,,,,,
FiniteLivedIntangibleAssetsPeriodIncreaseDecrease,,,4528739.000,,,,5618711.000,,,,,,,,
FiniteLivedIntangibleAssetsTranslationAdjustments,,,350074.000,,,,350074.000,,,,,,,,
FinitelivedIntangibleAssetsAcquired1,,,,,,,1089972.000,,,,,,,,
ForeignCurrencyTransactionGainLossBeforeTax,28450.000,111482.000,-167628.000,379442.000,-287671.000,-75245.000,-55952.000,-202181.000,-610086.000,-116105.000,-121070.000,-24909.000,28912.000,292726.000,-311367.000
GainLossOnSaleOfPropertyPlantEquipment,,,,,,,,,,,,,,,-32360.000
GainsLossesOnExtinguishmentOfDebt,,,,,451450.000,,,,,,,,,,745510.000
GeneralAndAdministrativeExpense,2292082.000,2296293.000,2919063.000,2865175.000,2420584.000,2450231.000,2627565.000,2963708.000,2220429.000,2782600.000,2623663.000,2985456.000,1767342.000,2081453.000,4898142.000
GrossProfit,-382836.000,211354.000,70801.000,-1836501.000,-978504.000,-1756537.000,57160.000,-410423.000,-15159.000,-72406.000,-1603905.000,-959894.000,,,
ImpairmentOfIntangibleAssetsExcludingGoodwill,7800000.000,,,,,,,,,,,,,,
