,2011-12-31,2012-12-31,2013-12-31,2014-12-31,2015-12-31
AdjustmentForAmortization,362019.000,1032000.000,1904000.000,1065000.000,
AdjustmentToAdditionalPaidInCapitalIncomeTaxEffectFromShareBasedCompensationNet,,,,62000.000,-62000.000
AdjustmentsToAdditionalPaidInCapitalEquityComponentOfConvertibleDebt,,,,116900000.000,
AdjustmentsToAdditionalPaidInCapitalShareBasedCompensationRestrictedStockUnitsRequisiteServicePeriodRecognition,,,,,-368000.000
AdjustmentsToAdditionalPaidInCapitalShareBasedCompensationStockOptionsRequisiteServicePeriodRecognition,,800000.000,,,
AdjustmentsToAdditionalPaidInCapitalSharebasedCompensationRequisiteServicePeriodRecognitionValue,,10246000.000,24204000.000,30377000.000,24348000.000
AdjustmentsToAdditionalPaidInCapitalWarrantIssued,,,,60547000.000,
AdjustmentsToReconcileNetIncomeLossToCashProvidedByUsedInOperatingActivities,229714.000,153000.000,,,
AllocatedShareBasedCompensationExpense,,11735000.000,27650000.000,29875000.000,23993000.000
AmortizationOfDeferredLoanOriginationFeesNet,243553.000,,,,
AmortizationOfIntangibleAssets,,,,,20183000.000
AntidilutiveSecuritiesExcludedFromComputationOfEarningsPerShareAmount,,4809000.000,5173000.000,22461000.000,22637000.000
AssetImpairmentCharges,-747884.000,53000.000,,,
AvailableForSaleSecuritiesChangeInNetUnrealizedHoldingGainLoss,-618807.000,28000.000,,,
AvailableForSaleSecuritiesGrossRealizedGainLossNet,,,,0.000,
CapitalExpendituresIncurredButNotYetPaid,,,263000.000,122000.000,184000.000
CashAndCashEquivalentsPeriodIncreaseDecrease,-17732817.000,10803000.000,23840000.000,314926000.000,-311436000.000
ComprehensiveIncomeNetOfTax,-40106943.000,-62200000.000,-63347000.000,-39676000.000,-72924000.000
CostOfGoodsSold,,,5019000.000,14370000.000,52332000.000
CurrentFederalTaxExpenseBenefit,,,,233000.000,-20000.000
CurrentForeignTaxExpenseBenefit,,,,892000.000,1166000.000
CurrentIncomeTaxExpenseBenefit,,,,1125000.000,1268000.000
CurrentStateAndLocalTaxExpenseBenefit,,,,,122000.000
DeferredFederalIncomeTaxExpenseBenefit,,,,0.000,238000.000
DeferredForeignIncomeTaxExpenseBenefit,,,,-226000.000,224000.000
DeferredIncomeTaxExpenseBenefit,,,,-226000.000,501000.000
DeferredIncomeTaxesAndTaxCredits,,,,,501000.000
DeferredStateAndLocalIncomeTaxExpenseBenefit,,,,0.000,39000.000
DefinedBenefitPlanContributionsByEmployer,,0.200,600000.000,,
DefinedContributionPlanCostRecognized,,,,1000000.000,1100000.000
DefinedContributionPlanEmployerMatchingContributionPercent,,,0.500,0.060,0.060
DefinedContributionPlanEmployerMatchingContributionPercentOfMatch,,,,0.500,0.500
DefinedContributionPlanEmployersMatchingContributionAnnualVestingPercentage,,0.030,,,
Depreciation,45238.000,197000.000,469000.000,1219000.000,1815000.000
EarningsPerShareBasicAndDiluted,-2.030,-2.640,-2.190,-1.350,-2.550
EffectOfExchangeRateOnCashAndCashEquivalents,-24861.000,8000.000,-14000.000,1125000.000,215000.000
EffectiveIncomeTaxRateContinuingOperations,,,0.010,0.020,0.020
EffectiveIncomeTaxRateReconciliationAtFederalStatutoryIncomeTaxRate,,-0.340,-0.350,-0.350,-0.350
EffectiveIncomeTaxRateReconciliationChangeInDeferredTaxAssetsValuationAllowance,,0.460,0.420,0.210,0.290
EffectiveIncomeTaxRateReconciliationForeignIncomeTaxRateDifferential,,,,0.060,0.040
EffectiveIncomeTaxRateReconciliationNondeductibleExpenseShareBasedCompensationCost,,,,0.090,0.050
EffectiveIncomeTaxRateReconciliationStateAndLocalIncomeTaxes,,-0.040,-0.020,-0.010,-0.010
EffectiveIncomeTaxRateReconciliationTaxCredits,,-0.150,-0.110,0.030,-0.070
EffectiveIncomeTaxRateReconciliationTaxCreditsOther,,0.070,0.070,0.020,0.010
EmployeeServiceShareBasedCompensationAllocationOfRecognizedPeriodCostsCapitalizedAmount,,,300000.000,,355000.000
ExcessTaxBenefitFromShareBasedCompensationFinancingActivities,,,,62000.000,-62000.000
ExcessTaxBenefitFromShareBasedCompensationOperatingActivities,,,,62000.000,
ForeignCurrencyTransactionGainLossUnrealized,,,,,933000.000
ForeignIncomeTaxExpenseBenefitContinuingOperations,,,303000.000,,
GainLossOnSaleOfPropertyPlantEquipment,,,,,-66000.000
GainLossOnSalesOfAssetsAndAssetImpairmentCharges,,,,-2000.000,
GainsLossesOnExtinguishmentOfDebt,,-766000.000,,,
GeneralAndAdministrativeExpense,14709078.000,,,,
