,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-12-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31
AccountsPayableCurrent,15130.000,29903.000,20223.000,29814.000,29366.000,26955.000,,24622.000,876869.000,268843.000,546387.000,475066.000,444032.000,392846.000,659408.000,878632.000,896002.000,646739.000,523581.000,496370.000
AccountsPayableRelatedPartiesCurrent,,15000.000,20800.000,26300.000,38100.000,50400.000,500.000,300.000,0.000,0.000,0.000,,,,,,,,,
AccountsReceivableNetCurrent,,,,,,,,1430202.000,1653553.000,650785.000,282407.000,1216557.000,1139730.000,925537.000,870552.000,868419.000,847113.000,752831.000,360475.000,871048.000
AccountsReceivableNetNoncurrent,,,,,,,,310300.000,0.000,0.000,0.000,,,,,,,,389723.000,371723.000
AccruedLiabilitiesCurrent,,,,,,,,222703.000,,149348.000,118206.000,175958.000,198947.000,278876.000,522719.000,408432.000,339445.000,395261.000,378218.000,2920691.000
AccruedRoyaltiesCurrent,,,,,,,,,,,,,,,,,,,,2432000.000
AccruedSalariesCurrent,,,,,,,,20955.000,,,68920.000,63812.000,164231.000,108772.000,160960.000,225488.000,178414.000,247953.000,208126.000,266090.000
AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment,,,,,,,,13754.000,,,125854.000,,,,315952.000,364977.000,413667.000,462644.000,489433.000,536958.000
AdditionalPaidInCapital,59800.000,59800.000,59800.000,59800.000,59800.000,59800.000,143447.000,10749662.000,16905484.000,16912534.000,24828337.000,29191777.000,30058451.000,31812257.000,39270911.000,40525256.000,41565885.000,42213832.000,43333176.000,45644014.000
AllowanceForDoubtfulAccountsReceivable,,,,,,,,400000.000,400000.000,100000.000,100000.000,100000.000,100000.000,100000.000,100000.000,100000.000,100000.000,100000.000,100000.000,100000.000
AllowanceForNotesAndLoansReceivableCurrent,,,,,,,,,,,,,,200000.000,,,,,,
Assets,,,,,,,,14232028.000,23363228.000,22329508.000,21739908.000,23441124.000,23066367.000,24567032.000,27295169.000,26741555.000,26945272.000,25774435.000,18592162.000,19173996.000
AssetsCurrent,6303.000,18547.000,2918.000,1087.000,113.000,163.000,431.000,8056342.000,17984146.000,17136414.000,16806268.000,18709216.000,18573991.000,20156558.000,16591742.000,16301503.000,16768260.000,15843543.000,4821110.000,6180701.000
AssetsNoncurrent,,,,,,,,,,,4933640.000,,,,10703427.000,10440052.000,10177012.000,9930892.000,13771052.000,12993295.000
BusinessCombinationContingentConsiderationLiabilityCurrent,,,,,,,,,,,,,,,250000.000,250000.000,0.000,0.000,0.000,
BusinessCombinationRecognizedIdentifiableAssetsAcquiredAndLiabilitiesAssumedAssets,,,,,,,,2054488.000,,,,,,,,,,,,
BusinessCombinationRecognizedIdentifiableAssetsAcquiredAndLiabilitiesAssumedCashAndEquivalents,,,,,,,,50775.000,,,,,,,,,,,,
BusinessCombinationRecognizedIdentifiableAssetsAcquiredAndLiabilitiesAssumedCurrentAssetsPrepaidExpenseAndOtherAssets,,,,,,,,1260510.000,0.000,0.000,0.000,,,,,,,,,
BusinessCombinationRecognizedIdentifiableAssetsAcquiredAndLiabilitiesAssumedCurrentAssetsReceivables,,,,,,,,396438.000,0.000,0.000,0.000,,,,,,,,,
BusinessCombinationRecognizedIdentifiableAssetsAcquiredAndLiabilitiesAssumedIndefiniteLivedIntangibleAssets,,,,,,,,4110000.000,,,0.000,,,,,,,,,
BusinessCombinationRecognizedIdentifiableAssetsAcquiredAndLiabilitiesAssumedIntangibleAssetsOtherThanGoodwill,,,,,,,,4110000.000,,,,,,,,,,,,
BusinessCombinationRecognizedIdentifiableAssetsAcquiredAndLiabilitiesAssumedIntangibles,,,,,,,,,0.000,0.000,,,,,,,,,,
BusinessCombinationRecognizedIdentifiableAssetsAcquiredAndLiabilitiesAssumedInventory,,,,,,,,345477.000,0.000,0.000,0.000,,,,,,,,,
BusinessCombinationRecognizedIdentifiableAssetsAcquiredAndLiabilitiesAssumedPropertyPlantAndEquipment,,,,,,,,1288.000,0.000,0.000,0.000,,,,,,,,,
BusinessCombinationRecognizedIdentifiableAssetsAcquiredGoodwillAndLiabilitiesAssumedNet,,,,,,,,8020000.000,0.000,0.000,,,,,,,,,,
Cash,,,,,,,,,9270452.000,4784539.000,,2239986.000,1811686.000,1126845.000,518462.000,536141.000,1408322.000,847433.000,781857.000,663378.000
CashAndCashEquivalentsAtCarryingValue,6303.000,15922.000,1168.000,212.000,113.000,163.000,431.000,2243670.000,,,2302418.000,,,,,,,,,
CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalents,,,,,,,,,,,,,,,,,,,,1780493.000
CashEquivalentsAtCarryingValue,,,,,,,,,,,,,,,,0.000,0.000,0.000,,0.000
CashUninsuredAmount,,,,,,,,2024109.000,,,2130366.000,1972976.000,1538032.000,834873.000,154431.000,208267.000,1114848.000,547221.000,518066.000,308399.000
ClassOfWarrantOrRightNumberOfSecuritiesCalledByEachWarrantOrRight,,,,,,,,,,,,,,,,,2000000.000,,,
ClassOfWarrantOrRightOutstanding,,,,,,,,,,,,,,,,,,,,2100000.000
CommonStockParOrStatedValuePerShare,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
CommonStockSharesAuthorized,190000000.000,190000000.000,190000000.000,190000000.000,190000000.000,190000000.000,190000000.000,190000000.000,190000000.000,190000000.000,190000000.000,190000000.000,190000000.000,190000000.000,190000000.000,190000000.000,190000000.000,190000000.000,190000000.000,190000000.000
CommonStockSharesIssued,7000000.000,7000000.000,7000000.000,7000000.000,7000000.000,7000000.000,7000000.000,15580000.000,33116666.000,33119166.000,33419166.000,34959166.000,35141666.000,35141666.000,45451389.000,51513924.000,52038924.000,52338924.000,57617545.000,62146773.000
CommonStockSharesOutstanding,7000000.000,7000000.000,7000000.000,7000000.000,7000000.000,7000000.000,7000000.000,15580000.000,33116666.000,33119166.000,33419166.000,34959166.000,35141666.000,35141666.000,45451389.000,51513924.000,52038924.000,52338924.000,57617545.000,62146773.000
CommonStockValue,700.000,700.000,700.000,700.000,700.000,700.000,700.000,1558.000,3311.000,3311.000,3341.000,3495.000,3513.000,3513.000,4544.000,5150.000,5203.000,5233.000,5762.000,6215.000
ContractualObligation,,,,,,,,,,6900000.000,,,,,,,,,,
ConvertibleDebt,,,,,,,,,,,,,,1477329.000,,,,,,
ConvertibleDebtCurrent,,,,,,,,,,,,,,,881803.000,0.000,,,1897976.000,901533.000
ConvertibleDebtNoncurrent,,,,,,,,,,,,,,0.000,,,,,,730942.000
ConvertibleNotesPayableCurrent,,,,,,,,,,,,,769645.000,1477329.000,,,,,,
DebtInstrumentUnamortizedDiscount,,,,,,,,,,,,,,307671.000,,,,,,
DeferredCompensationArrangementWithIndividualCommonStockReservedForFutureIssuance,,,,,,,,,,,3530000.000,3610000.000,,,5201000.000,5277000.000,4080015.000,3075224.000,,
DeferredIncomeTaxLiabilities,,,,,,,,,,,,,,,1619128.000,,,,1574352.000,
DeferredIncomeTaxLiabilitiesNet,,,,,,,,,,,,,,,1556300.000,,,,1556300.000,
DeferredTaxAssetsCapitalLossCarryforwards,,,,,,,,,,,,,,,,,,,16870.000,
DeferredTaxAssetsEquityMethodInvestments,,,,,,,,123787.000,,,0.000,,,,,,,,,
DeferredTaxAssetsGoodwillAndIntangibleAssets,,,,,,,,141730.000,,,310548.000,,,,479565.000,,,,1742639.000,
DeferredTaxAssetsGross,,,,,,,,1004415.000,,,1595745.000,,,,4192122.000,,,,8985188.000,
DeferredTaxAssetsInventory,,,,,,,,,,,,,,,,,,,1419084.000,
DeferredTaxAssetsLiabilitiesNet,,,,,,,,0.000,,,0.000,,,,,,,,,
DeferredTaxAssetsLiabilitiesNetNoncurrent,,,,,,,,960757.000,,,1510528.000,,,,,,,,,
DeferredTaxAssetsOperatingLossCarryforwards,,,,,,,50476.000,466161.000,,,1083064.000,,,,2317485.000,,,,5061830.000,
DeferredTaxAssetsOperatingLossCarryforwardsStateAndLocal,,,,,,,,1092000.000,,,,,,,,,,,,
DeferredTaxAssetsOther,,,,,,,,113399.000,,,33596.000,,,,105347.000,,,,44410.000,
DeferredTaxAssetsTaxCreditCarryforwardsGeneralBusiness,,,,,,,,,,,,,,,,,,,80551.000,
DeferredTaxAssetsTaxDeferredExpenseCompensationAndBenefitsShareBasedCompensationCost,,,,,,,,,,,128703.000,,,,163938.000,,,,579970.000,
DeferredTaxAssetsTaxDeferredExpenseReservesAndAccrualsAllowanceForDoubtfulAccounts,,,,,,,,159338.000,,,39834.000,,,,1125787.000,,,,39834.000,
DeferredTaxAssetsValuationAllowance,,,,,,,-50476.000,-960757.000,,,1510528.000,,,,4129294.000,,,,8967136.000,
DeferredTaxLiabilitiesGoodwillAndIntangibleAssets,,,,,,,,,,,,,,,1556300.000,,,,1556300.000,
DeferredTaxLiabilitiesNoncurrent,,,,,,,,,,,,,,,1556300.000,1556300.000,1556300.000,1556300.000,1556300.000,1556300.000
DeferredTaxLiabilitiesPropertyPlantAndEquipment,,,,,,,,-43658.000,,,85217.000,,,,62828.000,,,,18052.000,
DerivativeLiabilitiesCurrent,,,,,,,,,,,,,,,,,,,222800.000,41500.000
DevelopmentStageEnterpriseDeficitAccumulatedDuringDevelopmentStage,,,,115527.000,127853.000,137692.000,144216.000,,,,,,,,,,,,,
DueToOtherRelatedPartiesNoncurrent,,,,,,,,5502595.000,,,0.000,,,,,,,,,
EmployeeServiceShareBasedCompensationNonvestedAwardsTotalCompensationCostNotYetRecognized,,,,,,,,,,,7251258.000,5886474.000,5096320.000,4491433.000,3114359.000,2718572.000,2672101.000,2427741.000,2197527.000,2416360.000
FiniteLivedIntangibleAssetsAccumulatedAmortization,,,,,,,,753500.000,1164500.000,1370000.000,1575000.000,1780500.000,1986000.000,2191500.000,2397000.000,,2825700.000,3040050.000,35400.000,44250.000
FiniteLivedIntangibleAssetsAmortizationExpenseNextTwelveMonths,,,,,,,,822000.000,,,822000.000,822000.000,,,857400.000,,,,35400.000,
FiniteLivedIntangibleAssetsAmortizationExpenseRemainderOfFiscalYear,,,,,,,,,,,,,822000.000,822000.000,,,,,,
FiniteLivedIntangibleAssetsAmortizationExpenseYearFive,,,,,,,,68500.000,,,,,,,35400.000,,,,,
FiniteLivedIntangibleAssetsAmortizationExpenseYearFour,,,,,,,,822000.000,,,68500.000,68500.000,68500.000,68500.000,35400.000,,,,35400.000,
FiniteLivedIntangibleAssetsAmortizationExpenseYearThree,,,,,,,,822000.000,,,822000.000,822000.000,822000.000,822000.000,104400.000,,,,35400.000,
FiniteLivedIntangibleAssetsAmortizationExpenseYearTwo,,,,,,,,822000.000,,,822000.000,822000.000,822000.000,822000.000,857400.000,,,,35400.000,
FiniteLivedIntangibleAssetsGross,,,,,,,,4110000.000,4110000.000,4110000.000,4110000.000,4110000.000,4110000.000,4110000.000,8017000.000,,,,3907000.000,3907000.000
FiniteLivedIntangibleAssetsNet,,,,,,,,3356500.000,2945500.000,2740000.000,2535000.000,2329500.000,2124000.000,1918500.000,5620000.000,5405650.000,,,3871600.000,3862750.000
Goodwill,,,,,,,,1855512.000,1855512.000,1855512.000,1855512.000,1855512.000,1855512.000,1855512.000,4643812.000,4643812.000,4643812.000,4643812.000,2788300.000,2788300.000
IntangibleAssetsGrossExcludingGoodwill,,,,,,,,,,,,,,,8017000.000,,8017000.000,8017000.000,3907000.000,
IntangibleAssetsNetExcludingGoodwill,,,,,,,,,,,,,,,,,5191300.000,4976950.000,,
InterestPayableCurrent,,,,,,,,161583.000,99963.000,,0.000,,,,69063.000,0.000,0.000,0.000,0.000,
InventoryFinishedGoods,,,,,,,,135129.000,467802.000,944658.000,457132.000,255633.000,644510.000,596527.000,465665.000,603275.000,,,,1425187.000
InventoryFinishedGoodsNetOfReserves,,,,,,,,,,,,,,,,,740205.000,1013920.000,1795474.000,
InventoryGross,,,,,,,,,,,,,,,,,,,12892958.000,
InventoryNet,,,,,,,,2473322.000,3872488.000,5605167.000,11666251.000,10780455.000,9899106.000,8531502.000,14133920.000,13874524.000,13566412.000,13206088.000,2851772.000,2867387.000
InventoryNoncurrent,,,,,,,,,,,,,,,,,,,6478727.000,5775345.000
InventoryRawMaterials,,,,,,,,1867751.000,3213753.000,3128091.000,11209119.000,10524822.000,9254596.000,7934975.000,13668255.000,13271249.000,,,7535025.000,7217545.000
InventoryRawMaterialsNetOfReserves,,,,,,,,,,,,,,,,,12826207.000,12192168.000,,
InventoryValuationReserves,,,,,,,,,0.000,0.000,0.000,0.000,0.000,0.000,0.000,,,,3562459.000,
InventoryWorkInProcess,,,,,,,,470442.000,190933.000,1532418.000,0.000,,,,,,,,,
Investments,,,,,,,,439246.000,0.000,0.000,0.000,,,,,,,,,
Liabilities,,,,,,,,5925220.000,976832.000,418191.000,664593.000,,,,4009205.000,3733757.000,5123694.000,5205616.000,5384013.000,7439333.000
LiabilitiesAndStockholdersEquity,6303.000,18547.000,2918.000,1087.000,113.000,163.000,431.000,14232028.000,23363228.000,22329508.000,21739908.000,23441124.000,23066367.000,24567032.000,27295169.000,26741555.000,26945272.000,25774435.000,18592162.000,19173996.000
LiabilitiesCurrent,15130.000,44903.000,41023.000,56114.000,67466.000,77355.000,500.000,422625.000,976832.000,418191.000,664593.000,651024.000,1412624.000,2149051.000,2452905.000,1616546.000,2967062.000,3009563.000,3148539.000,5152091.000
LiabilityForUncertainTaxPositionsCurrent,,,,,,,,,,,0.000,0.000,0.000,0.000,0.000,,,,,
LineOfCredit,,,,,,,,,0.000,0.000,,,,,,,,,,
LineOfCreditFacilityAmountOutstanding,,,,,,,,6092069.000,,,,,,,,,,,,
LineOfCreditFacilityCurrentBorrowingCapacity,,,,,,,,6000000.000,,,,,,,,,,,,
NotesAndLoansReceivableNetCurrent,,,,,,,,,297691.000,303032.000,1508468.000,1491618.000,1444473.000,3321873.000,617681.000,555784.000,540351.000,540351.000,,
NotesAndLoansReceivableNetNoncurrent,,,,,,,,,183651.000,105875.000,26705.000,0.000,0.000,171276.000,0.000,0.000,0.000,0.000,,
NotesPayableCurrent,,,,,,,,,,,,,,,,,,,,73402.000
NotesReceivableGross,,,,,,,,,,,1535173.000,1491618.000,1444473.000,3693149.000,617681.000,555784.000,,,,
NotesReceivableRelatedPartiesCurrent,,,,,,,,,,,,,,,,,,,0.000,
OperatingLeasesFutureMinimumPaymentsDue,,,,,,,,,,,1017842.000,,,,754782.000,754782.000,754782.000,754782.000,,
OperatingLeasesFutureMinimumPaymentsDueCurrent,,,,,,,,,,,383446.000,,,,488107.000,,,,268511.000,
OperatingLeasesFutureMinimumPaymentsDueInThreeYears,,,,,,,,,,,206482.000,,,,,,,,,
OperatingLeasesFutureMinimumPaymentsDueInTwoYears,,,,,,,,,,,427914.000,,,,266675.000,266675.000,266675.000,266675.000,,
OperatingLeasesFutureMinimumPaymentsRemainderOfFiscalYear,,,,,,,,,,,,,,,,488107.000,488107.000,488107.000,,268511.000
OperatingLossCarryforwards,,,,,,,,1184000.000,,,,,,,,,,,,
OtherAccruedLiabilitiesCurrent,,,,,,,,40165.000,,,49286.000,112146.000,34716.000,170104.000,292696.000,182944.000,161031.000,147308.000,170092.000,222601.000
OtherAssetsNoncurrent,,,,,,,,,,,,4731908.000,4492376.000,4410474.000,,,,,,
OtherPrepaidExpenseCurrent,,,,,,,,1734831.000,2753860.000,5576641.000,519620.000,2328999.000,3745126.000,5849264.000,0.000,,,,,
OtherShortTermBorrowings,,,,,,,,,,,,,,,,,20065.000,0.000,,
PreferredStockParOrStatedValuePerShare,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
PreferredStockSharesAuthorized,10000000.000,10000000.000,10000000.000,10000000.000,10000000.000,10000000.000,10000000.000,10000000.000,10000000.000,10000000.000,10000000.000,10000000.000,10000000.000,10000000.000,10000000.000,10000000.000,10000000.000,10000000.000,10000000.000,10000000.000
PreferredStockSharesIssued,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
PreferredStockSharesOutstanding,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
PreferredStockValue,,,,,,,,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
PrepaidExpenseAndOtherAssetsCurrent,,,,,,,,,136102.000,216250.000,,651601.000,533870.000,401537.000,,,406062.000,496840.000,,661773.000
PrepaidExpenseCurrent,,2625.000,1750.000,875.000,,,,174317.000,,,527104.000,,,,451127.000,466635.000,,,551395.000,
PropertyPlantAndEquipmentGross,,,,,,,,227882.000,,,642277.000,,,,755567.000,755567.000,755567.000,772774.000,732135.000,732135.000
PropertyPlantAndEquipmentNet,,,,,,,,214128.000,394419.000,491707.000,516423.000,546896.000,512864.000,465186.000,439615.000,390590.000,341900.000,310130.000,242702.000,195177.000
RestrictedCashAndCashEquivalents,,,,,,,,,,,,,,,,,,,275611.000,1117115.000
RestrictedCashCurrent,,,,,,,,,,,,,,,,,,,,1117115.000
RetainedEarningsAccumulatedDeficit,-69327.000,-86856.000,-98605.000,,,,,-2444412.000,5477601.000,4995472.000,-3756363.000,-6405172.000,-8408221.000,-9397789.000,-15989491.000,-17522608.000,-19749510.000,-21650246.000,-30130789.000,-33915566.000
SecuredDebt,,,,,,,,,,,,,,1785000.000,,,,,,
SecuredDebtCurrent,,,,,,,,,,,,,,,,,1711550.000,1967563.000,,
ShareBasedCompensationArrangementByShareBasedPaymentAwardNumberOfSharesAuthorized,,,,,,,,1000000.000,10000000.000,10000000.000,,,,,,,,,,
ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsOutstandingNumber,,,,,,,,,0.000,0.000,,,,0.000,,,,,,
StockholdersEquity,-8827.000,-26356.000,-38105.000,-55027.000,-67353.000,-77192.000,-69.000,8306808.000,22386396.000,21911317.000,21075315.000,22790100.000,21653743.000,22417981.000,23285964.000,23007798.000,21821578.000,20568819.000,13208149.000,11734663.000
StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,,,,,,,,8306808.000,22386396.000,21911317.000,21075315.000,,,,23285964.000,23007798.000,21821578.000,20568819.000,13208149.000,11734663.000
UnrecognizedTaxBenefits,,,,,,,,,,,,,,,,,,,0.000,0.000
UnsecuredDebtCurrent,,,,,,,,,,,,,,,138975.000,79482.000,,,125964.000,718595.000
UnsecuredLongTermDebt,,,,,,,,,,,,,,,,560911.000,600332.000,639753.000,679174.000,0.000
