,2011-06-30,2011-09-30,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30
AllocatedShareBasedCompensationExpense,,,,201000.000,110000.000,,71000.000,36000.000,51000.000,417000.000,,,,,32902000.000,1408000.000,1438000.000
AllocatedShareBasedCompensationExpenseNetOfTax,,,,,,,,,,,215000.000,162000.000,-169000.000,148000.000,32902000.000,1408000.000,1438000.000
AllowanceForLoanAndLeaseLossesWriteOffs,,,,,,,,,,,,,,,,,23000.000
AmortizationOfIntangibleAssets,,,,,,,143000.000,,,,143000.000,,,,43000.000,,
AntidilutiveSecuritiesExcludedFromComputationOfEarningsPerShareAmount,,,,7700000.000,8600000.000,,4900000.000,4900000.000,6800000.000,,,,,,,,
AssetImpairmentCharges,400000.000,,,700000.000,,,,,,,,,,,,,
BusinessDevelopment,916000.000,856000.000,685000.000,,,,,,,,,,,,,,
CashAndCashEquivalentsPeriodIncreaseDecrease,,,-5927000.000,,,,-16048000.000,,,,-759000.000,,,,-60233000.000,,
ComprehensiveIncomeNetOfTax,,,-330000.000,-2252000.000,-7307000.000,,,,,,,,,,-46491000.000,-10379000.000,-34266000.000
ComprehensiveIncomeNetOfTaxAttributableToNoncontrollingInterest,,,,,,,,,,,,,,,-3000.000,-50000.000,
ComprehensiveIncomeNetOfTaxIncludingPortionAttributableToNoncontrollingInterest,,,,,,,-3002000.000,-7078000.000,-3598000.000,-18468000.000,-976000.000,-1344000.000,-7705000.000,766000.000,-46494000.000,-10429000.000,-34480000.000
CostOfGoodsAndServicesSold,13662000.000,20744000.000,22431000.000,20899000.000,31016000.000,17016000.000,1287000.000,3279000.000,22151000.000,18681000.000,3416000.000,5769000.000,,,,,
CostOfGoodsSold,9009000.000,14391000.000,9427000.000,18446000.000,19606000.000,8537000.000,1287000.000,3194000.000,22151000.000,15950000.000,3416000.000,5769000.000,21209000.000,47036000.000,10989000.000,38294000.000,40849000.000
DeferredIncomeTaxExpenseBenefit,,,-179000.000,,,,,,,,,,,,-32000.000,,
Depreciation,,,258000.000,300000.000,300000.000,204000.000,285000.000,300000.000,300000.000,398000.000,263000.000,200000.000,300000.000,504000.000,681000.000,,
DerivativeGainLossOnDerivativeNet,,,,,,,,,,,,,310000.000,,,,-10793000.000
DilutiveSecurities,,,,0.000,0.000,,,,,,,,,,,,
EarningsPerShareBasic,-0.020,,,,,,-0.020,,,,,,,,-0.060,-0.020,-0.050
EarningsPerShareBasicAndDiluted,,-0.010,-0.000,-0.010,-0.040,,,-0.030,-0.020,,0.000,-0.010,-0.020,0.010,-0.060,-0.020,-0.050
