,2014-12-31
AdvertisingExpense,90000.000
AmortizationOfIntangibleAssets,144668.000
AssetImpairmentCharges,0.000
CashAndCashEquivalentsPeriodIncreaseDecrease,3769797.000
CashProvidedByUsedInFinancingActivitiesDiscontinuedOperations,-75330.000
CashProvidedByUsedInInvestingActivitiesDiscontinuedOperations,6729765.000
CashProvidedByUsedInOperatingActivitiesDiscontinuedOperations,-336873.000
ComprehensiveIncomeNetOfTax,6508482.000
ComprehensiveIncomeNetOfTaxAttributableToNoncontrollingInterest,11396.000
ComprehensiveIncomeNetOfTaxIncludingPortionAttributableToNoncontrollingInterest,6497086.000
CostOfGoodsSold,3078071.000
CostOfServices,3930379.000
CostmethodInvestmentsRealizedGainLossExcludingOtherThanTemporaryImpairments,0.000
CurrentFederalTaxExpenseBenefit,12036.000
CurrentForeignTaxExpenseBenefit,8732.000
CurrentIncomeTaxExpenseBenefit,20768.000
DeferredFederalIncomeTaxExpenseBenefit,0.000
DeferredForeignIncomeTaxExpenseBenefit,0.000
DeferredIncomeTaxExpenseBenefit,0.000
Depreciation,70407.000
DepreciationAndAmortization,215075.000
DiscontinuedOperationGainLossFromDisposalOfDiscontinuedOperationBeforeIncomeTax,11904707.000
DisposalGroupIncludingDiscontinuedOperationForeignCurrencyTranslationGainsLosses,3300000.000
EarningsPerShareBasicAndDiluted,0.760
EffectOfExchangeRateOnCashAndCashEquivalents,-1361171.000
ForeignCurrencyTransactionGainLossBeforeTax,113.000
GainLossOnSaleOfPropertyPlantEquipment,12353.000
GainLossRelatedToLitigationSettlement,0.000
GoodwillAndIntangibleAssetImpairment,0.000
GoodwillImpairmentLoss,0.000
ImpairmentOfIntangibleAssetsFinitelived,0.000
IncomeLossFromContinuingOperationsBeforeIncomeTaxesDomestic,-375035.000
IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,-1318160.000
IncomeLossFromContinuingOperationsBeforeIncomeTaxesForeign,-943125.000
IncomeLossFromContinuingOperationsIncludingPortionAttributableToNoncontrollingInterest,-1327532.000
IncomeLossFromContinuingOperationsPerBasicAndDilutedShare,-0.090
IncomeLossFromDiscontinuedOperationsNetOfTax,12254043.000
IncomeLossFromDiscontinuedOperationsNetOfTaxPerBasicAndDilutedShare,0.850
IncomeTaxExpenseBenefit,20768.000
IncomeTaxReconciliationChangeInDeferredTaxAssetsValuationAllowance,127512.000
IncomeTaxReconciliationForeignIncomeTaxRateDifferential,329394.000
IncomeTaxReconciliationIncomeTaxExpenseBenefitAtFederalStatutoryIncomeTaxRate,-448174.000
IncomeTaxReconciliationStateAndLocalIncomeTaxes,12036.000
IncomeTaxesPaidNet,62892.000
IncreaseDecreaseInAccountsPayableTrade,-271908.000
IncreaseDecreaseInAccountsReceivable,-124846.000
IncreaseDecreaseInAccruedLiabilities,249834.000
IncreaseDecreaseInDeferredRevenue,52719.000
IncreaseDecreaseInDueFromAffiliatesCurrent,0.000
IncreaseDecreaseInDueToAffiliatesCurrent,8993.000
IncreaseDecreaseInOtherOperatingAssets,46133.000
IncreaseDecreaseInPrepaidDeferredExpenseAndOtherAssets,133209.000
IncreaseDecreaseInPrepaidTaxes,0.000
InterestExpense,62292.000
InterestExpenseRelatedParty,15633.000
InterestPaid,55899.000
InvestmentIncomeInterest,27184.000
NetCashProvidedByUsedInFinancingActivities,-366995.000
NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,-291665.000
NetCashProvidedByUsedInInvestingActivities,6985900.000
NetCashProvidedByUsedInInvestingActivitiesContinuingOperations,256135.000
NetCashProvidedByUsedInOperatingActivities,-1487937.000
NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,-1151064.000
NetIncomeLoss,10926511.000
NetIncomeLossAttributableToNoncontrollingInterest,-11396.000
NonoperatingIncomeExpense,140514.000
OperatingExpenses,13830565.000
OperatingIncomeLoss,-1458674.000
OperatingLeasesRentExpenseNet,578000.000
OtherComprehensiveIncomeForeignCurrencyTransactionAndTranslationGainLossArisingDuringPeriodNetOfTax,-1093824.000
OtherComprehensiveIncomeLossForeignCurrencyTransactionAndTranslationReclassificationAdjustmentFromAOCIRealizedUponSaleOrLiquidationNetOfTax,3324205.000
OtherComprehensiveIncomeLossTax,0.000
OtherNonoperatingIncomeExpense,7966.000
PaymentsToAcquirePropertyPlantAndEquipment,77904.000
PaymentsToMinorityShareholders,184233.000
PensionAndOtherPostretirementBenefitContributions,293000.000
ProceedsFromIssuanceOfDebt,825000.000
ProceedsFromLegalSettlements,300000.000
ProceedsFromSaleOfPropertyPlantAndEquipment,24872.000
ProfitLoss,-1338928.000
RepaymentsOfDebt,932432.000
ResearchAndDevelopmentExpense,0.000
RevenueFromRelatedParties,0.000
Revenues,12371891.000
SalesRevenueGoodsNet,5980324.000
SalesRevenueNet,12371891.000
SalesRevenueServicesNet,6391567.000
SellingGeneralAndAdministrativeExpense,6607040.000
ShippingAndHandlingRevenue,219000.000
ValuationAllowanceDeferredTaxAssetChangeInAmount,-19000.000
WeightedAverageNumberOfShareOutstandingBasicAndDiluted,14410333.000
