,2014-09-30
AccumulatedOtherComprehensiveIncomeLossNetOfTax,646000.000
AdditionalPaidInCapital,55291000.000
AdvancePaymentsByBorrowersForTaxesAndInsurance,685000.000
AdvancesFromFederalHomeLoanBanks,45928000.000
Assets,699799000.000
AssetsSoldUnderAgreementsToRepurchaseRepurchaseLiability,11437000.000
AvailableForSaleDebtSecuritiesAmortizedCostBasis,74213000.000
AvailableForSaleSecurities,75240000.000
AvailableForSaleSecuritiesAccumulatedGrossUnrealizedGainBeforeTax,1434000.000
AvailableForSaleSecuritiesAccumulatedGrossUnrealizedLossBeforeTax,407000.000
AvailableForSaleSecuritiesAmortizedCost,74213000.000
AvailableForSaleSecuritiesContinuousUnrealizedLossPosition12MonthsOrLongerAccumulatedLoss,344000.000
AvailableForSaleSecuritiesContinuousUnrealizedLossPositionAccumulatedLoss,407000.000
AvailableForSaleSecuritiesContinuousUnrealizedLossPositionFairValue,22473000.000
AvailableForSaleSecuritiesContinuousUnrealizedLossPositionLessThan12MonthsAccumulatedLoss,63000.000
AvailableForSaleSecuritiesContinuousUnrealizedLossPositionLessThanTwelveMonthsFairValue,8451000.000
AvailableForSaleSecuritiesContinuousUnrealizedLossPositionTwelveMonthsOrLongerFairValue,14022000.000
AvailableForSaleSecuritiesDebtMaturitiesAfterFiveThroughTenYearsAmortizedCost,6828000.000
AvailableForSaleSecuritiesDebtMaturitiesAfterFiveThroughTenYearsFairValue,6957000.000
AvailableForSaleSecuritiesDebtMaturitiesAfterOneThroughFiveYearsAmortizedCost,4338000.000
AvailableForSaleSecuritiesDebtMaturitiesAfterOneThroughFiveYearsFairValue,4411000.000
AvailableForSaleSecuritiesDebtMaturitiesAfterTenYearsAmortizedCost,6952000.000
AvailableForSaleSecuritiesDebtMaturitiesAfterTenYearsFairValue,7225000.000
AvailableForSaleSecuritiesDebtMaturitiesWithinOneYearAmortizedCost,0.000
AvailableForSaleSecuritiesDebtMaturitiesWithinOneYearFairValue,0.000
AvailableForSaleSecuritiesDebtSecurities,75240000.000
BankOwnedLifeInsurance,15226000.000
Capital,64120000.000
CapitalRequiredForCapitalAdequacy,36839000.000
CapitalRequiredForCapitalAdequacyToRiskWeightedAssets,0.080
CapitalRequiredToBeWellCapitalized,46048000.000
CapitalRequiredToBeWellCapitalizedToRiskWeightedAssets,0.100
CapitalToRiskWeightedAssets,0.139
CashAndCashEquivalentsAtCarryingValue,19805000.000
CashAndDueFromBanks,19805000.000
CommonStockSharesAuthorized,10000000.000
CommonStockSharesIssued,4223070.000
CommonStockSharesOutstanding,4212830.000
DebtInstrumentCollateralAmount,300400000.000
DebtInstrumentInterestRateStatedPercentage,0.130
DeferredTaxAssetsNet,4064000.000
Deposits,577264000.000
DepositsMoneyMarketDeposits,74045000.000
DepositsSavingsDeposits,127715000.000
