,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31
AccruedLiabilitiesCurrent,127531.000,29362.000,30511.000,36096.000,12387.000,47103.000,23965.000,33081.000,9996.000,33718.000,20097.000,45045.000,9190.000,18720.000,51869.000,70106.000
AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment,,,,,52441.000,59268.000,65696.000,65696.000,-65696.000,65696.000,65696.000,65696.000,65696.000,65696.000,0.000,
AdditionalPaidInCapital,6861881.000,6861881.000,6861881.000,6861881.000,6861881.000,6861881.000,6861881.000,6861881.000,6861881.000,6861881.000,6861881.000,6861881.000,6861881.000,6861881.000,7491566.000,7491566.000
Assets,3428976.000,2523215.000,2464219.000,2395060.000,2504740.000,2443496.000,2365587.000,2299596.000,2203050.000,2164065.000,2041326.000,2000525.000,1907273.000,1880705.000,2249492.000,2086688.000
AssetsCurrent,467803.000,1022363.000,1089407.000,1028245.000,2399624.000,2345207.000,2273726.000,2207735.000,2111189.000,2072204.000,1949465.000,1908664.000,1815412.000,1788844.000,746166.000,333362.000
AssetsHeldForSaleCurrent,396518.000,413960.000,,,,,,,,,,,,,,
Cash,47949.000,603142.000,1028119.000,1003686.000,2383960.000,2339507.000,2239619.000,2182156.000,2095493.000,2066498.000,678082.000,657858.000,252410.000,213512.000,489069.000,190170.000
CashFDICInsuredAmount,,,,,,,250000.000,,,,,,,,,
ClassOfWarrantOrRightOutstanding,,,,,,,74000000.000,,,,,,,,,
CommonStockParOrStatedValuePerShare,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,,0.000
CommonStockSharesAuthorized,200000000.000,200000000.000,200000000.000,200000000.000,200000000.000,200000000.000,200000000.000,200000000.000,200000000.000,200000000.000,200000000.000,200000000.000,200000000.000,200000000.000,200000000.000,200000000.000
CommonStockSharesIssued,19630714.000,19630714.000,19630714.000,19630714.000,19630714.000,19630714.000,19630714.000,19630714.000,19630714.000,19630714.000,19630714.000,19630714.000,19630714.000,19630714.000,22780714.000,22780714.000
CommonStockSharesOutstanding,19630714.000,19630714.000,19630714.000,19630714.000,19630714.000,19630714.000,19630714.000,19630714.000,19630714.000,19630714.000,19630714.000,19630714.000,19630714.000,19630714.000,22780714.000,22780714.000
CommonStockValue,1964.000,1964.000,1964.000,1964.000,1964.000,1964.000,1964.000,1964.000,1964.000,1964.000,1964.000,1964.000,1964.000,1964.000,2279.000,2279.000
DebtInstrumentCarryingAmount,,,,,,,20632.000,20632.000,10462.000,10462.000,10462.000,10462.000,0.000,0.000,0.000,
DeferredIncomeTaxLiabilities,,,,,,,39560.000,,,,0.000,,,,,
DeferredRevenueCurrent,86080.000,41463.000,,69205.000,,,,,,,,,,,,
DeferredTaxAssetsGoodwillAndIntangibleAssets,,,,,,,365620.000,,,,0.000,,,,,
DeferredTaxAssetsGross,,,,,,,1756344.000,,,,1845015.000,,,,2005882.000,
DeferredTaxAssetsLiabilitiesNet,,,,,,,0.000,,,,0.000,,,,0.000,
DeferredTaxAssetsOperatingLossCarryforwards,,,,,,,1390724.000,,,,1845015.000,,,,2005882.000,
DeferredTaxAssetsOther,,,,,,,0.000,,,,,,,,,
DeferredTaxAssetsValuationAllowance,,,,,,,1716784.000,,,,1845015.000,,,,2005882.000,
DeferredTaxLiabilities,,,,,,,0.000,,,,,,,,,
DepositLiabilityCurrent,100000.000,100000.000,,,,,,,,,,,,,,
DevelopmentStageEnterpriseDeficitAccumulatedDuringDevelopmentStage,4501489.000,4548492.000,4493263.000,4604601.000,4392124.000,4488084.000,4542855.000,4617962.000,4681253.000,4743960.000,4853078.000,4918827.000,,,,
DueFromRelatedPartiesCurrent,,,27943.000,1871.000,1871.000,1871.000,1871.000,1871.000,1871.000,1871.000,1871.000,1871.000,1871.000,1871.000,126871.000,1871.000
DueToAffiliateCurrent,28865.000,6522.000,4668.000,,,0.000,0.000,,,,,,,,,
InterestReceivable,,,,,,,,,,,,,47096.000,69781.000,92466.000,114904.000
InventoryNet,580.000,,,,,,,,,,,,,,,
Liabilities,1066620.000,207862.000,93637.000,135816.000,33019.000,67735.000,44597.000,53713.000,20458.000,44180.000,30559.000,55507.000,9190.000,18720.000,51869.000,70106.000
LiabilitiesAndStockholdersEquity,3428976.000,2523215.000,2464219.000,2395060.000,2504740.000,2443496.000,2365587.000,2299596.000,2203050.000,2164065.000,2041326.000,2000525.000,1907273.000,1880705.000,2249492.000,2086688.000
LiabilitiesCurrent,1045988.000,187230.000,73005.000,115184.000,22557.000,57273.000,34135.000,43251.000,20458.000,44180.000,30559.000,,,,,
LiabilitiesNoncurrent,20632.000,20632.000,20632.000,20632.000,10462.000,10462.000,10462.000,10462.000,0.000,0.000,0.000,,,,,
LongTermDebtMaturitiesRepaymentsOfPrincipalInNextTwelveMonths,,,,,,,10170.000,,,,10462.000,,,,,
LongTermDebtMaturitiesRepaymentsOfPrincipalInYearTwo,,,,,,,10462.000,,,,,,,,,
LongTermNotesPayable,20632.000,20632.000,20632.000,20632.000,10462.000,10462.000,10462.000,10462.000,0.000,0.000,0.000,,,,,
NotesAndLoansReceivableNetNoncurrent,,,,,,,,,,,,,,,1500000.000,1750000.000
NotesPayableCurrent,9883.000,9883.000,9883.000,9883.000,10170.000,10170.000,10170.000,10170.000,10462.000,10462.000,10462.000,10462.000,0.000,0.000,0.000,
NotesPayableRelatedPartiesClassifiedCurrent,693629.000,,,,,,,,,,,,,,,
NotesReceivableGross,,,,,,,,,,,600000.000,,1500000.000,1500000.000,,
