,2011-12-31,2012-12-31
AccretionOfDiscount,,24482116.000
AmortizationOfFinancingCostsAndDiscounts,2321158.000,1590692.000
AntidilutiveSecuritiesExcludedFromComputationOfEarningsPerShareAmount,,560469.000
AssetRetirementObligationAccretionExpense,,495389.000
AssetRetirementObligationCashPaidToSettle,,385942.000
AssetRetirementObligationLiabilitiesIncurred,,418305.000
AssetRetirementObligationLiabilitiesSettled,-392861.000,787745.000
AssetRetirementObligationRevisionOfEstimate,,896488.000
CostsAndExpenses,111945265.000,214354605.000
CostsIncurredAcquisitionOfUnprovedOilAndGasProperties,,1724053.000
CostsIncurredDevelopmentCosts,,68636057.000
CostsIncurredExplorationCosts,,10139041.000
CurrentIncomeTaxExpenseBenefit,,343252.000
DeferredIncomeTaxExpenseBenefit,-8098357.000,-35062841.000
DepreciationDepletionAndAmortization,56920515.000,58764443.000
DerivativeNetHedgeIneffectivenessGainLoss,,6965808.000
DiscountedFutureNetCashFlowsRelatingToProvedOilAndGasReserves10PercentAnnualDiscountForEstimatedTimingOfCashFlows,,169123190.000
DiscountedFutureNetCashFlowsRelatingToProvedOilAndGasReservesFutureCashInflows,,895951200.000
DiscountedFutureNetCashFlowsRelatingToProvedOilAndGasReservesFutureDevelopmentCosts,,155937800.000
DiscountedFutureNetCashFlowsRelatingToProvedOilAndGasReservesFutureIncomeTaxExpense,,80702813.000
DiscountedFutureNetCashFlowsRelatingToProvedOilAndGasReservesFutureNetCashFlows,,465562787.000
DiscountedFutureNetCashFlowsRelatingToProvedOilAndGasReservesFutureProductionCosts,,193747800.000
DiscountedFutureNetCashFlowsRelatingToProvedOilAndGasReservesStandardizedMeasure,,296439597.000
EarningsPerShareBasic,-0.350,-2.080
EarningsPerShareDiluted,-0.350,-2.080
EffectiveIncomeTaxRateReconciliationAtFederalStatutoryIncomeTaxRate,,0.350
ExplorationExpense,995412.000,292651.000
ExtensionsDiscoveriesAdditionsAndImprovedRecoveryLessRelatedCosts,,98539507.000
GainLossOnSaleOfPropertyPlantEquipment,,8900.000
GeneralAndAdministrativeExpense,19068400.000,19653468.000
ImpairmentOfOilAndGasProperties,14954633.000,117890239.000
IncomeLossFromContinuingOperationsBeforeIncomeTaxesMinorityInterestAndIncomeLossFromEquityMethodInvestments,-23943739.000,-126710944.000
IncomeTaxExpenseBenefit,-8098357.000,-34719589.000
IncomeTaxReconciliationChangeInDeferredTaxAssetsValuationAllowance,,10197845.000
IncomeTaxReconciliationIncomeTaxExpenseBenefitAtFederalStatutoryIncomeTaxRate,,-44348830.000
IncomeTaxReconciliationNondeductibleExpense,,11496.000
IncomeTaxReconciliationStateAndLocalIncomeTaxes,,-580100.000
IncomeTaxesPaid,,210000.000
IncreaseDecreaseInAccountsPayableAndAccruedLiabilities,22148113.000,-27911424.000
IncreaseDecreaseInDeferredIncomeTaxes,,35062841.000
IncreaseDecreaseInEstimatedFutureDevelopmentCosts,,-1336336.000
IncreaseDecreaseInFutureIncomeTaxExpenseEstimatesOnFutureCashFlowsRelatedToProvedOilAndGasReserves,,-32496046.000
IncreaseDecreaseInPrepaidExpense,304849.000,370879.000
IncreaseDecreaseInReceivables,1534180.000,-4362084.000
InterestExpense,25104073.000,25327411.000
InterestPaid,24618488.000,24077674.000
LeaseOperatingExpense,13273760.000,15270587.000
