,2011-05-31,2012-05-31,2013-05-31,2014-05-31,2015-05-31,2016-05-31,2017-05-31
AccretionAmortizationOfDiscountsAndPremiumsInvestments,-38900000.000,-42500000.000,-56200000.000,-70300000.000,-76200000.000,-75700000.000,-72500000.000
AdjustmentsToAdditionalPaidInCapitalSharebasedCompensationRequisiteServicePeriodRecognitionValue,25000000.000,23100000.000,22900000.000,26400000.000,31500000.000,34600000.000,35400000.000
AllocatedShareBasedCompensationExpense,24800000.000,22900000.000,,,,34600000.000,35400000.000
AmortizationOfIntangibleAssets,20300000.000,23000000.000,19000000.000,15900000.000,14500000.000,15900000.000,18100000.000
AntidilutiveSecuritiesExcludedFromComputationOfEarningsPerShareAmount,11500000.000,9900000.000,6500000.000,700000.000,300000.000,500000.000,700000.000
AvailableForSaleSecuritiesContinuousUnrealizedLossPosition12MonthsOrLongerAggregateLosses,0.000,,,,,,
AvailableForSaleSecuritiesContinuousUnrealizedLossPositionAggregateLosses,100000.000,,,,,,
AvailableForSaleSecuritiesContinuousUnrealizedLossPositionLessThan12MonthsAggregateLosses,100000.000,,,,,,
AvailableForSaleSecuritiesGrossRealizedGainLossNet,1300000.000,1000000.000,900000.000,600000.000,300000.000,100000.000,100000.000
AvailableForSaleSecuritiesGrossRealizedGains,1300000.000,1000000.000,900000.000,600000.000,300000.000,100000.000,100000.000
AvailableForSaleSecuritiesGrossRealizedLosses,,,0.000,0.000,0.000,,
AvailableForSaleSecuritiesGrossUnrealizedGains,59400000.000,,,,,,
AvailableForSaleSecuritiesGrossUnrealizedLoss,100000.000,,,,,,
AvailableforsaleSecuritiesGrossRealizedGainLossExcludingOtherThanTemporaryImpairments,,,900000.000,600000.000,300000.000,100000.000,100000.000
CashAndCashEquivalentsPeriodIncreaseDecrease,-165300000.000,-10200000.000,-1500000.000,45200000.000,17500000.000,-38500000.000,53100000.000
CommonStockDividendsPerShareCashPaid,1.240,1.270,1.310,1.400,1.520,1.680,1.840
ComprehensiveIncomeNetOfTax,510400000.000,548200000.000,553300000.000,627000000.000,660900000.000,778500000.000,808100000.000
CostOfReimbursableExpense,3900000000.000,3300000000.000,3000000000.000,3400000000.000,4200000000.000,5100000000.000,5900000000.000
CostsAndExpenses,1297900000.000,1375900000.000,1421400000.000,,,,
CurrentFederalTaxExpenseBenefit,234000000.000,259800000.000,274200000.000,314500000.000,341400000.000,336400000.000,362000000.000
CurrentIncomeTaxExpenseBenefit,263300000.000,300600000.000,337100000.000,365500000.000,389200000.000,387200000.000,410100000.000
CurrentStateAndLocalTaxExpenseBenefit,29300000.000,40800000.000,62900000.000,51000000.000,47800000.000,50800000.000,48100000.000
DeferredFederalIncomeTaxExpenseBenefit,12000000.000,9300000.000,5500000.000,-3500000.000,-5100000.000,5500000.000,15900000.000
DeferredIncomeTaxExpenseBenefit,13600000.000,11700000.000,5300000.000,-4900000.000,-4100000.000,7100000.000,17400000.000
DeferredStateAndLocalIncomeTaxExpenseBenefit,1600000.000,2400000.000,-200000.000,-1400000.000,1000000.000,1600000.000,1500000.000
DefinedContributionPlanCostRecognized,,10300000.000,13100000.000,16400000.000,19600000.000,,
DefinedContributionPlanEmployerMatchingContributionPercent,,,,,0.080,,
DefinedContributionPlanMaximumAnnualContributionsPerEmployeePercent,,,,,0.500,,
Depreciation,68400000.000,74800000.000,79200000.000,89100000.000,92100000.000,99200000.000,108800000.000
DepreciationAndAmortization,88700000.000,,,,,,
DepreciationDepletionAndAmortization,,97800000.000,98200000.000,105000000.000,106600000.000,115100000.000,126900000.000
DividendsCommonStockCash,448800000.000,460500000.000,-476700000.000,510600000.000,551800000.000,606500000.000,662300000.000
EarningsPerShareBasic,1.420,1.510,1.560,1.720,1.860,2.100,2.270
EarningsPerShareDiluted,1.420,1.510,1.560,1.710,1.850,2.090,2.250
EffectiveIncomeTaxRateContinuingOperations,0.350,0.363,0.376,0.365,0.363,0.343,0.343
EffectiveIncomeTaxRateReconciliationAtFederalStatutoryIncomeTaxRate,0.350,0.350,0.350,0.350,0.350,0.350,0.350
EffectiveIncomeTaxRateReconciliationDeductionsQualifiedProductionActivities,,,,,,0.024,0.005
EffectiveIncomeTaxRateReconciliationOtherAdjustments,-0.003,-0.002,-0.002,-0.003,-0.002,0.001,-0.002
EffectiveIncomeTaxRateReconciliationStateAndLocalIncomeTaxes,0.025,0.033,0.030,0.033,0.030,0.030,0.028
EffectiveIncomeTaxRateReconciliationTaxExemptIncome,-0.022,-0.018,-0.017,0.015,0.015,0.014,0.013
EffectiveIncomeTaxRateReconciliationTaxSettlements,,,0.015,0.000,0.000,,
EmployeeServiceShareBasedCompensationNonvestedAwardsTotalCompensationCostNotYetRecognizedPeriodForRecognition,2.700,,,,,,
EmployeeServiceShareBasedCompensationTaxBenefitFromCompensationExpense,8400000.000,8300000.000,8500000.000,10100000.000,11700000.000,12900000.000,13400000.000
FiniteLivedIntangibleAssetsUsefulLifeMaximum,12.000,,,,,,
FiniteLivedIntangibleAssetsUsefulLifeMinimum,5.000,,,,,,
FutureAmortizationExpenseYearFive,6200000.000,4400000.000,,,,,
FutureAmortizationExpenseYearFour,9000000.000,6400000.000,,,,,
FutureAmortizationExpenseYearOne,22900000.000,18100000.000,,,,,
FutureAmortizationExpenseYearThree,12700000.000,9200000.000,,,,,
FutureAmortizationExpenseYearTwo,17700000.000,13000000.000,,,,,
GainLossOnSaleOfInvestments,1300000.000,1000000.000,,,,,
GoodwillImpairmentLoss,,,,,,0.000,0.000
IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,,,,,1060000000.000,1151100000.000,1244800000.000
IncomeLossFromContinuingOperationsBeforeIncomeTaxesMinorityInterestAndIncomeLossFromEquityMethodInvestments,792200000.000,860300000.000,911400000.000,988100000.000,,,
IncomeLossFromEquityMethodInvestments,,,,-400000.000,-700000.000,-2800000.000,-2200000.000
IncomeTaxExpenseBenefit,276900000.000,312300000.000,342400000.000,360600000.000,385100000.000,394300000.000,427500000.000
IncomeTaxesPaid,255600000.000,301400000.000,371000000.000,317800000.000,372800000.000,369900000.000,462600000.000
IncreaseDecreaseInAccountsPayableAndAccruedLiabilities,2200000.000,-26900000.000,-16600000.000,45100000.000,51100000.000,63300000.000,39100000.000
IncreaseDecreaseInAccountsReceivable,-23700000.000,-17600000.000,-8300000.000,18200000.000,28200000.000,37500000.000,103700000.000
IncreaseDecreaseInAccruedInterestReceivableNet,700000.000,1200000.000,1800000.000,3900000.000,1600000.000,-1800000.000,-200000.000
IncreaseDecreaseInOtherNoncurrentAssetsAndLiabilitiesNet,,,,,,-3900000.000,15400000.000
IncreaseDecreaseInOtherOperatingCapitalNet,-6500000.000,-3400000.000,21300000.000,-9300000.000,3900000.000,,
IncreaseDecreaseInPrepaidDeferredExpenseAndOtherAssets,-1800000.000,9400000.000,45600000.000,-22500000.000,8500000.000,5000000.000,34100000.000
IncrementalCommonSharesAttributableToShareBasedPaymentArrangements,,,900000.000,1600000.000,1700000.000,1800000.000,2800000.000
InterestExpense,,,,,,1100000.000,2500000.000
InterestExpenseOther,,,,1100000.000,700000.000,,
InterestIncomeExpenseNonoperatingNet,,,,5400000.000,6400000.000,4500000.000,5200000.000
InterestIncomeOperating,,43600000.000,41000000.000,40700000.000,42100000.000,46100000.000,50600000.000
InvestmentIncomeNonoperating,5800000.000,6400000.000,6600000.000,6900000.000,7800000.000,8400000.000,9900000.000
LeaseAndRentalExpense,,43000000.000,39900000.000,39100000.000,39400000.000,,
NetCashProvidedByUsedInFinancingActivities,-471100000.000,527500000.000,-858500000.000,-519600000.000,-592700000.000,-993600000.000,-482700000.000
NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,-471100000.000,527500000.000,-858500000.000,-519600000.000,-592700000.000,-993600000.000,-482700000.000
NetCashProvidedByUsedInInvestingActivities,-409500000.000,-1244300000.000,181700000.000,-316100000.000,-285000000.000,-63100000.000,-424600000.000
NetCashProvidedByUsedInInvestingActivitiesContinuingOperations,-409500000.000,-1244300000.000,181700000.000,-316100000.000,-285000000.000,-63100000.000,-424600000.000
NetCashProvidedByUsedInOperatingActivities,715300000.000,706600000.000,675300000.000,880900000.000,895200000.000,1018200000.000,960400000.000
