,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31
AccountsPayableOtherCurrent,379000000.000,396000000.000,333000000.000,403000000.000,328000000.000,302000000.000,213000000.000,171000000.000,99000000.000,118000000.000,122000000.000,113000000.000,141000000.000
AccountsPayableTradeCurrent,173000000.000,180000000.000,173000000.000,142000000.000,106000000.000,121000000.000,102000000.000,79000000.000,52000000.000,60000000.000,59000000.000,63000000.000,68000000.000
AccountsReceivableNetCurrent,278000000.000,275000000.000,255000000.000,234000000.000,206000000.000,220000000.000,209000000.000,202000000.000,107000000.000,121000000.000,125000000.000,133000000.000,137000000.000
AccrualForEnvironmentalLossContingencies,1000000.000,1000000.000,1000000.000,1000000.000,1000000.000,1000000.000,1000000.000,1000000.000,1000000.000,1000000.000,1000000.000,1000000.000,
AccrualForTaxesOtherThanIncomeTaxesCurrentAndNoncurrent,,,,,,,,,,,22000000.000,,
AccruedIncomeTaxesCurrent,,8000000.000,,,,,,,,,,,
AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment,1005000000.000,1147000000.000,1374000000.000,1589000000.000,1809000000.000,2059000000.000,2316000000.000,2555000000.000,2468000000.000,2563000000.000,2674000000.000,2781000000.000,2901000000.000
AdditionalPaidInCapital,3503000000.000,3505000000.000,3509000000.000,3510000000.000,3515000000.000,3519000000.000,3524000000.000,3529000000.000,3533000000.000,3538000000.000,3543000000.000,3546000000.000,3543000000.000
AllowanceForDoubtfulAccountsReceivableCurrent,1000000.000,1000000.000,1000000.000,1000000.000,1000000.000,1000000.000,1000000.000,1000000.000,1000000.000,1000000.000,1000000.000,1000000.000,1000000.000
AllowanceForDoubtfulOtherReceivablesCurrent,1000000.000,1000000.000,1000000.000,1000000.000,1000000.000,1000000.000,1000000.000,1000000.000,1000000.000,1000000.000,1000000.000,1000000.000,1000000.000
AssetRetirementObligation,53000000.000,37000000.000,41000000.000,42000000.000,43000000.000,44000000.000,40000000.000,41000000.000,39000000.000,40000000.000,41000000.000,41000000.000,42000000.000
AssetRetirementObligationCurrent,3000000.000,2000000.000,2000000.000,2000000.000,2000000.000,1000000.000,1000000.000,1000000.000,1000000.000,1000000.000,1000000.000,,
AssetRetirementObligationsNoncurrent,50000000.000,35000000.000,39000000.000,40000000.000,41000000.000,43000000.000,39000000.000,40000000.000,38000000.000,39000000.000,40000000.000,40000000.000,41000000.000
Assets,8601000000.000,8935000000.000,9026000000.000,10219000000.000,10313000000.000,10090000000.000,10352000000.000,5833000000.000,5674000000.000,5004000000.000,4937000000.000,4761000000.000,4851000000.000
AssetsCurrent,556000000.000,612000000.000,415000000.000,1102000000.000,1022000000.000,824000000.000,961000000.000,969000000.000,1125000000.000,491000000.000,411000000.000,248000000.000,301000000.000
AssetsNoncurrent,163000000.000,111000000.000,150000000.000,389000000.000,376000000.000,250000000.000,267000000.000,109000000.000,91000000.000,59000000.000,38000000.000,15000000.000,22000000.000
AssetsOfDisposalGroupIncludingDiscontinuedOperation,,,,,,,,,328000000.000,0.000,0.000,,
AssetsOfDisposalGroupIncludingDiscontinuedOperationCurrent,73000000.000,68000000.000,,,,,,,13000000.000,,,,
CapitalizedCostsAccumulatedDepreciationDepletionAmortizationAndValuationAllowanceForRelatingToOilAndGasProducingActivities,,,,,,,,2516000000.000,2427000000.000,2519000000.000,2626000000.000,2731000000.000,2848000000.000
CapitalizedCostsOilAndGasProducingActivitiesGross,,,,,,,,4712000000.000,151000000.000,,,4463000000.000,
CapitalizedCostsOilAndGasProducingActivitiesNet,,,,,,,,,4417000000.000,,,,
CapitalizedCostsProvedProperties,,,,,,,,7060000000.000,6693000000.000,6784000000.000,6925000000.000,7040000000.000,7222000000.000
CapitalizedCostsUnprovedProperties,,,,,,,,168000000.000,,151000000.000,153000000.000,154000000.000,122000000.000
CashAndCashEquivalentsAtCarryingValue,87000000.000,77000000.000,17000000.000,22000000.000,9000000.000,29000000.000,28000000.000,26000000.000,91000000.000,39000000.000,40000000.000,20000000.000,35000000.000
DebtCurrent,,,,,,,,,264000000.000,54000000.000,,,
DebtInstrumentRepurchaseAmount,,,,,,,,,345000000.000,737000000.000,812000000.000,812000000.000,
DebtLongtermAndShorttermCombinedAmount,,,,,,,,,4564000000.000,3929000000.000,,,
DeferredFinanceCostsNet,,,,,,,,80000000.000,70000000.000,55000000.000,73000000.000,77000000.000,66000000.000
DeferredIncomeTaxLiabilities,,,,1161000000.000,,,,277000000.000,,,,12000000.000,
DeferredTaxAssetsGross,,,,584000000.000,,,,1253000000.000,,,,997000000.000,
DeferredTaxAssetsLiabilitiesNet,,,,-578000000.000,,,,,,,,,
DeferredTaxAssetsNet,,,,583000000.000,,,,277000000.000,,,,12000000.000,
DeferredTaxAssetsNetCurrent,46000000.000,138000000.000,,,,,,,,,,,
DeferredTaxAssetsPropertyPlantAndEquipment,,,,,,,,471000000.000,,,,249000000.000,
DeferredTaxAssetsTaxCreditCarryforwards,,,,,,,,10000000.000,,,,10000000.000,
DeferredTaxAssetsTaxDeferredExpenseCompensationAndBenefitsEmployeeBenefits,,,,1000000.000,,,,4000000.000,,,,6000000.000,
DeferredTaxAssetsValuationAllowance,,,,1000000.000,,,,976000000.000,941000000.000,917000000.000,932000000.000,985000000.000,999000000.000
DeferredTaxLiabilities,,,,,,,,0.000,,,,0.000,
DeferredTaxLiabilitiesCurrent,,,12000000.000,251000000.000,250000000.000,176000000.000,233000000.000,,,,,,
DeferredTaxLiabilitiesDerivatives,,,,367000000.000,,,,277000000.000,,,,12000000.000,
DeferredTaxLiabilitiesNoncurrent,139000000.000,145000000.000,192000000.000,327000000.000,339000000.000,293000000.000,331000000.000,0.000,,,,,
DeferredTaxLiabilitiesPropertyPlantAndEquipment,,,,794000000.000,,,,0.000,,,,,
DerivativeAssetsCurrent,16000000.000,3000000.000,76000000.000,752000000.000,746000000.000,519000000.000,672000000.000,694000000.000,539000000.000,294000000.000,212000000.000,58000000.000,88000000.000
DerivativeAssetsNoncurrent,49000000.000,2000000.000,51000000.000,297000000.000,289000000.000,160000000.000,181000000.000,85000000.000,68000000.000,44000000.000,24000000.000,4000000.000,12000000.000
DerivativeLiabilitiesCurrent,66000000.000,154000000.000,2000000.000,1000000.000,1000000.000,1000000.000,1000000.000,0.000,,1000000.000,,4000000.000,0.000
DerivativeLiabilitiesNoncurrent,1000000.000,112000000.000,,,,,,8000000.000,7000000.000,0.000,0.000,1000000.000,0.000
DisposalGroupIncludingDiscontinuedOperationAccountsPayable,,,,,,,,,19000000.000,,,,
