,2011-12-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30
AccountsPayableTradeCurrent,983133.000,1198937.000,1043505.000,968164.000,934695.000,1009061.000,693698.000,768754.000,557391.000,622362.000,613356.000,579471.000,671027.000,825288.000,810328.000,672667.000,816478.000,546845.000,493195.000
AccountsReceivableNetCurrent,3310027.000,1179851.000,1367676.000,1700977.000,1338481.000,1991808.000,829418.000,621309.000,548834.000,1233714.000,1276150.000,887602.000,732931.000,463852.000,564233.000,712253.000,662265.000,474094.000,99491.000
AccruedLiabilitiesCurrent,883284.000,789110.000,750629.000,848244.000,887042.000,918413.000,868408.000,285304.000,289488.000,331532.000,401133.000,369932.000,561931.000,594767.000,677185.000,785023.000,729329.000,382742.000,356658.000
AccumulatedAmortizationDeferredFinanceCosts,,31617.000,,,,40374.000,,,,,,,,,,,,,
AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment,4641643.000,4741669.000,4795219.000,4848769.000,4903569.000,4900453.000,1885494.000,1910294.000,1935594.000,1942354.000,1961939.000,1982684.000,2010304.000,2016840.000,2034534.000,2054840.000,2076090.000,2061543.000,2082543.000
AdditionalPaidInCapitalCommonStock,2028975.000,2028975.000,2028975.000,2028975.000,2028975.000,2457975.000,2457975.000,2457975.000,2457975.000,2457975.000,2457975.000,2457975.000,2457975.000,2457975.000,2457975.000,2457975.000,2457975.000,2457975.000,2457975.000
AllowanceForDoubtfulAccountsReceivableCurrent,,15000.000,,,,15000.000,,,,,,,,,,,,,
Assets,21679846.000,19494159.000,18779719.000,18249126.000,18038032.000,16038453.000,14766080.000,5632361.000,5213400.000,5764244.000,5883368.000,5674971.000,5349223.000,4357482.000,4194426.000,4011566.000,3805437.000,2796606.000,2571609.000
AssetsCurrent,11437865.000,8604220.000,7776678.000,7188931.000,7031725.000,6112941.000,4713369.000,4373049.000,3973149.000,4519187.000,4657495.000,4470696.000,4169445.000,3063560.000,2917490.000,2755400.000,2568258.000,1620382.000,1335611.000
AssetsHeldInTrustNoncurrent,,2326926.000,2338402.000,2353294.000,2161478.000,2121009.000,,,,,,,,,,,,,
AssetsNoncurrent,7903935.000,8558366.000,8702154.000,8727148.000,8711308.000,7956389.000,8846235.000,74352.000,72320.000,68514.000,64682.000,60850.000,56373.000,182185.000,178352.000,174470.000,170502.000,119524.000,195555.000
AssetsOfDisposalGroupIncludingDiscontinuedOperationCurrent,,,,,,,1150847.000,0.000,0.000,0.000,,,,,,,,,
Cash,,,,,,,80507.000,1019436.000,519756.000,324291.000,349389.000,518415.000,98633.000,55042.000,170866.000,22395.000,64956.000,69621.000,214447.000
CashAndCashEquivalentsAtCarryingValue,355405.000,374861.000,510284.000,264826.000,495201.000,309252.000,80507.000,1019436.000,519756.000,324291.000,349389.000,518415.000,98633.000,55042.000,170866.000,22395.000,64956.000,69621.000,214447.000
CommonStockParOrStatedValuePerShare,,0.100,,,,0.100,,,,,,,,,,,,,
CommonStockSharesAuthorized,,5000000.000,,,,5000000.000,,,,,,,,,,,,,
CommonStockSharesIssued,,1431503.000,,,,1431503.000,,,,,,,,,,,,,
CommonStockSharesOutstanding,,1431503.000,,,,1431503.000,,,,,,,,,,,,,
