,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30
AllocatedShareBasedCompensationExpense,,,,,,,,,,,,,,,,,,3100000.000
AllowanceForLoanAndLeaseLossRecoveryOfBadDebts,,,,,,,,,,4591000.000,7768000.000,,6167000.000,4988000.000,7211000.000,5015000.000,4450000.000,6362000.000
AllowanceForLoanAndLeaseLossesAdjustmentsNet,,,,,,,,,-21255000.000,,,,,,,,,
AllowanceForLoanAndLeaseLossesRecoveriesOfBadDebts,2155000.000,5574000.000,2798000.000,3786000.000,5412000.000,5210000.000,-4685000.000,-26594000.000,-6132000.000,,,,,,,,,
AllowanceForLoanAndLeaseLossesWriteOffs,-23446000.000,-28551000.000,-21350000.000,170443000.000,23490000.000,23022000.000,21013000.000,19575000.000,27387000.000,20896000.000,18049000.000,21522000.000,16532000.000,15709000.000,16510000.000,11910000.000,9278000.000,11278000.000
AllowanceForLoanAndLeaseLossesWriteoffsNet,,,,,,,,,,,10281000.000,,10365000.000,10721000.000,9299000.000,6895000.000,4828000.000,4916000.000
AntidilutiveSecuritiesExcludedFromComputationOfEarningsPerShareAmount,,,,,22899976.000,24191389.000,24046905.000,-47101365.000,25733292.000,25461142.000,25351142.000,-51194434.000,21565064.000,21031224.000,21191643.000,-41428475.000,20435000.000,20422500.000
AvailableForSaleSecuritiesContinuousUnrealizedLossPosition12MonthsOrLongerAggregateLosses,,,,,,,,,,,,,,,,,5262000.000,
AvailableForSaleSecuritiesContinuousUnrealizedLossPositionAggregateLosses,,,,,,,,,,,,,,,,,6518000.000,
AvailableForSaleSecuritiesContinuousUnrealizedLossPositionLessThan12MonthsAggregateLosses,,,,,,,,,,,,,,,,,1256000.000,
AvailableForSaleSecuritiesGrossRealizedGains,100000000.000,,,,0.000,,,,,,,,,,,,,
AvailableForSaleSecuritiesGrossRealizedGainsLossesSaleProceeds,0.000,,,,,,,,,,,,0.000,,,,0.000,
CashAndCashEquivalentsPeriodIncreaseDecrease,-231402000.000,,,,76608000.000,,,,1927642000.000,,,,778310000.000,,,,-112950000.000,
CommonStockDividendsPerShareCashPaid,,,,,,,,,0.080,,,,0.040,,,,0.040,
ComprehensiveIncomeNetOfTax,,,,,88435000.000,83449000.000,84089000.000,23489000.000,46074000.000,-34975000.000,42409000.000,68074000.000,55217000.000,45729000.000,18101000.000,-17792000.000,14346000.000,37345000.000
DeferredIncomeTaxExpenseBenefit,-3163000.000,,,,27541000.000,,,,4198000.000,,,,-10081000.000,,,,-497000.000,
DefinedBenefitPlanContributionsByEmployer,0.000,,,,0.000,,,,,,,,,,,,,
DepreciationAmortizationAndAccretionNet,36850000.000,,,,29701000.000,,,,29921000.000,,,,17435000.000,,,,3472000.000,
DividendIncomeOperating,12801000.000,9632000.000,8841000.000,7546000.000,8489000.000,5536000.000,4853000.000,4592000.000,4208000.000,3516000.000,3466000.000,3499000.000,4156000.000,3338000.000,3409000.000,3331000.000,3719000.000,3243000.000
DividendsCommonStockCash,-74095000.000,,,,-39660000.000,,,,-39795000.000,,,,,,,,,
EarningsPerShareBasic,-1.130,0.190,0.170,-0.720,0.150,0.150,0.110,0.090,0.100,0.100,0.090,0.080,0.090,0.080,0.070,0.080,0.010,0.070
EarningsPerShareDiluted,-1.130,0.190,0.170,-0.720,0.150,0.150,0.110,0.090,0.100,0.100,0.090,0.080,0.090,0.080,0.070,0.080,0.010,0.070
EmployeeServiceShareBasedCompensationAllocationOfRecognizedPeriodCostsCapitalizedAmount,,,,,,405000.000,446000.000,,262000.000,406000.000,,,262000.000,10000.000,10000.000,0.000,0.000,0.000
ExcessTaxBenefitFromShareBasedCompensationFinancingActivities,89000.000,,,,1063000.000,,,,218000.000,,,,2000.000,,,,40000.000,
FederalDepositInsuranceCorporationPremiumExpense,16330000.000,33198000.000,33866000.000,37587000.000,36000000.000,27695000.000,30250000.000,29750000.000,24075000.000,19600000.000,18850000.000,10938000.000,13924000.000,13086000.000,11825000.000,11000000.000,10946000.000,7949000.000
FederalHomeLoanBankAdvancesActivityForYearAverageBalanceOfAgreementsOutstanding,,,,,,,,,,,,,5518333000.000,,,,6025000000.000,
FederalHomeLoanBankAdvancesActivityForYearAverageInterestRateForYear,,,,,,,,,,,,,0.048,,,,0.048,
FinancingReceivableModificationsPostModificationRecordedInvestment2,,,,,,,,,,,,,321041000.000,,,,336347000.000,
FinancingReceivableModificationsPreModificationRecordedInvestment2,,,,,,,,,,,,,368530000.000,,,,392949000.000,
GainLossOnInvestments,102468000.000,,,,,,,,,7183000.000,10641000.000,,15943000.000,19539000.000,22307000.000,45927000.000,7347000.000,67064000.000
GainsLossesOnExtinguishmentOfDebt,-1172092000.000,,,,,,,,,,,,,,,,,
ImpairedFinancingReceivableAverageRecordedInvestment,,,,,,,,,250464000.000,,,,345485000.000,,,,338169000.000,
ImpairedFinancingReceivableInterestIncomeAccrualMethod,,,,,,,,,1594000.000,,,,2046000.000,,,,1808000.000,
IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,,,,,,,,,,,,,,,,,,58704000.000
IncomeLossFromContinuingOperationsBeforeIncomeTaxesMinorityInterestAndIncomeLossFromEquityMethodInvestments,-918960000.000,159804000.000,139076000.000,-635229000.000,120307000.000,118606000.000,92428000.000,82441000.000,78661000.000,80320000.000,70381000.000,75903000.000,70381000.000,65758000.000,62331000.000,64523000.000,9610000.000,
IncomeTaxExpenseBenefit,-363296000.000,63796000.000,54873000.000,-274693000.000,47320000.000,46330000.000,36496000.000,34493000.000,30730000.000,31598000.000,27647000.000,30074000.000,27860000.000,26576000.000,25205000.000,25387000.000,3720000.000,23047000.000
IncomeTaxesPaid,8900000.000,,,,,,,,1439000.000,,,,4110000.000,,,,917000.000,
IncreaseDecreaseInAccruedInterestReceivableNet,-43816000.000,,,,-15579000.000,,,,-6852000.000,,,,681000.000,,,,-2749000.000,
IncreaseDecreaseInAccruedLiabilitiesAndOtherOperatingLiabilities,,,,,,,,,-453000.000,,,,-10263000.000,,,,28250000.000,
IncreaseDecreaseInDeposits,287953000.000,,,,-386219000.000,,,,-320825000.000,,,,-406747000.000,,,,-467523000.000,
IncreaseDecreaseInOtherOperatingAssets,359512000.000,,,,-11062000.000,,,,-374271000.000,,,,-40704000.000,,,,21505000.000,
InterestAndDividendIncomeOperating,617523000.000,552732000.000,524538000.000,472844000.000,448791000.000,430661000.000,405429000.000,388158000.000,366065000.000,347509000.000,326298000.000,321309000.000,312539000.000,299205000.000,287620000.000,268352000.000,250929000.000,231209000.000
InterestAndDividendIncomeSecuritiesAvailableForSale,775000.000,57000.000,55000.000,53000.000,1253000.000,2165000.000,2362000.000,2368000.000,2398000.000,2305000.000,795000.000,810000.000,794000.000,920000.000,1764000.000,2697000.000,3371000.000,4644000.000
InterestAndDividendIncomeSecuritiesHeldToMaturity,32827000.000,32708000.000,27474000.000,7187000.000,1733000.000,585000.000,585000.000,585000.000,585000.000,586000.000,585000.000,585000.000,585000.000,585000.000,585000.000,585000.000,585000.000,
InterestAndFeeIncomeLoansConsumer,4148000.000,4077000.000,3792000.000,3723000.000,3383000.000,3220000.000,3207000.000,3077000.000,2705000.000,2611000.000,2377000.000,2395000.000,2278000.000,2199000.000,2155000.000,2252000.000,2041000.000,1890000.000
InterestAndFeeIncomeLoansConsumerRealEstate,382953000.000,380375000.000,375672000.000,353989000.000,342725000.000,336026000.000,320994000.000,309823000.000,294390000.000,283857000.000,266324000.000,259269000.000,253139000.000,247124000.000,241637000.000,225184000.000,217288000.000,201401000.000
InterestExpense,361122000.000,279823000.000,279895000.000,265863000.000,214673000.000,206408000.000,202141000.000,195894000.000,188682000.000,187656000.000,186885000.000,185445000.000,180203000.000,181523000.000,182682000.000,181171000.000,175301000.000,174653000.000
InterestExpenseBorrowings,276804000.000,195463000.000,198357000.000,187565000.000,146797000.000,144766000.000,145214000.000,143655000.000,139543000.000,141052000.000,142864000.000,142818000.000,139565000.000,141350000.000,142732000.000,142780000.000,139762000.000,141282000.000
InterestExpenseDeposits,84318000.000,84360000.000,81538000.000,78298000.000,67876000.000,61642000.000,56927000.000,52239000.000,49139000.000,46604000.000,44021000.000,42627000.000,40638000.000,40173000.000,39950000.000,38391000.000,35539000.000,33371000.000
InterestExpenseSecuritiesSoldUnderAgreementsToRepurchase,102374000.000,,,,66565000.000,,,,,,,,,,,,,
InterestIncomeExpenseAfterProvisionForLoanLoss,216401000.000,242909000.000,219643000.000,181981000.000,209118000.000,199253000.000,183288000.000,167264000.000,157383000.000,147353000.000,135413000.000,135864000.000,132336000.000,117682000.000,108438000.000,87181000.000,75628000.000,56556000.000
InterestIncomeExpenseNet,256401000.000,272909000.000,244643000.000,206981000.000,234118000.000,224253000.000,203288000.000,192264000.000,177383000.000,159853000.000,139413000.000,135864000.000,132336000.000,117682000.000,104938000.000,87181000.000,75628000.000,56556000.000
InterestIncomeFederalFundsSold,711000.000,707000.000,519000.000,2455000.000,568000.000,438000.000,194000.000,243000.000,872000.000,1969000.000,1835000.000,2749000.000,2886000.000,3316000.000,3387000.000,3589000.000,3789000.000,3922000.000
InterestIncomeSecuritiesMortgageBacked,61216000.000,55761000.000,49554000.000,46680000.000,37809000.000,33651000.000,29498000.000,26903000.000,23996000.000,20614000.000,17382000.000,13703000.000,11211000.000,10128000.000,9399000.000,8970000.000,7602000.000,
InterestPaid,410252000.000,,,,214551000.000,,,,190556000.000,,,,179443000.000,,,,177416000.000,
LaborAndRelatedExpense,30884000.000,29889000.000,27201000.000,25155000.000,32142000.000,30401000.000,33883000.000,33218000.000,31601000.000,32613000.000,34802000.000,33717000.000,33611000.000,32405000.000,32669000.000,30645000.000,34431000.000,34163000.000
LoansAndLeasesReceivableGainLossOnSalesNet,540000.000,,,,,,,,,,,,,,,,,
LoansAndLeasesReceivableImpairedInterestLostOnNonaccrualLoans,12700000.000,,,,14800000.000,,,,15900000.000,,,,14400000.000,,,,12400000.000,
NetCashProvidedByUsedInFinancingActivities,-8608145000.000,,,,-1321805000.000,,,,-358995000.000,,,,-426846000.000,,,,-487671000.000,
NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,-8608145000.000,,,,-1321805000.000,,,,-358995000.000,,,,-426846000.000,,,,-487671000.000,
NetCashProvidedByUsedInInvestingActivities,8153815000.000,,,,1200474000.000,,,,1800186000.000,,,,1136300000.000,,,,358426000.000,
NetCashProvidedByUsedInInvestingActivitiesContinuingOperations,8153815000.000,,,,1200474000.000,,,,1800186000.000,,,,1136300000.000,,,,358426000.000,
NetCashProvidedByUsedInOperatingActivities,222928000.000,,,,197939000.000,,,,486451000.000,,,,68856000.000,,,,16295000.000,
NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,222928000.000,,,,197939000.000,,,,486451000.000,,,,68856000.000,,,,16295000.000,
NetIncomeLoss,-555664000.000,96008000.000,84203000.000,-360536000.000,72987000.000,72276000.000,55932000.000,47948000.000,47931000.000,48722000.000,42734000.000,45829000.000,42521000.000,39182000.000,37126000.000,39136000.000,5890000.000,35657000.000
NetIncomeLossAvailableToCommonStockholdersBasic,-555664000.000,96008000.000,84203000.000,-360536000.000,72987000.000,72276000.000,55932000.000,47948000.000,47931000.000,48722000.000,42734000.000,45829000.000,42521000.000,39006000.000,37013000.000,39035000.000,5882000.000,35657000.000
NetIncomeLossAvailableToCommonStockholdersDiluted,-555664000.000,96008000.000,84203000.000,-360536000.000,72987000.000,72276000.000,55932000.000,47948000.000,47931000.000,48722000.000,42734000.000,45829000.000,42521000.000,,,,,
NoninterestExpense,1240568000.000,85837000.000,83661000.000,820094000.000,91598000.000,83571000.000,93877000.000,87556000.000,81255000.000,76621000.000,78488000.000,73473000.000,79713000.000,73108000.000,70045000.000,70163000.000,74758000.000,66450000.000
NoninterestIncome,105207000.000,2732000.000,3094000.000,2884000.000,2787000.000,2924000.000,3017000.000,2733000.000,2533000.000,9588000.000,13456000.000,13512000.000,17758000.000,21184000.000,23938000.000,47505000.000,8740000.000,68598000.000
NoninterestIncomeOtherOperatingIncome,,,,,2787000.000,2924000.000,3017000.000,2733000.000,2533000.000,2405000.000,2815000.000,2403000.000,1815000.000,1645000.000,1631000.000,1578000.000,1393000.000,1534000.000
OccupancyNet,8425000.000,8030000.000,8711000.000,8664000.000,8657000.000,8543000.000,8586000.000,8484000.000,8810000.000,9723000.000,9383000.000,8874000.000,9711000.000,9433000.000,9068000.000,9209000.000,9551000.000,8679000.000
OtherComprehensiveIncomeAmortizationOfDefinedBenefitPlanNetPriorServiceCostRecognizedInNetPeriodicPensionCostNetOfTax,,,,,-179000.000,,,,,,,,,,,,,
OtherComprehensiveIncomeAmortizationOfDefinedBenefitPlanNetPriorServiceCostRecognizedInNetPeriodicPensionCostTax,,,,,-122000.000,125000.000,123000.000,368000.000,123000.000,,,,,,,,,
OtherComprehensiveIncomeDefinedBenefitPlansNetUnamortizedGainLossArisingDuringPeriodNetOfTax,,,,,998000.000,998000.000,998000.000,-5251000.000,1070000.000,1070000.000,1070000.000,893000.000,476000.000,475000.000,475000.000,376000.000,1285000.000,1286000.000
OtherComprehensiveIncomeDefinedBenefitPlansNetUnamortizedGainLossArisingDuringPeriodTax,,,,,690000.000,689000.000,690000.000,-510000.000,739000.000,739000.000,739000.000,615000.000,328000.000,329000.000,329000.000,259000.000,888000.000,888000.000
OtherComprehensiveIncomeLossAmortizationAdjustmentFromAOCIPensionAndOtherPostretirementBenefitPlansForNetPriorServiceCostCreditNetOfTax,,,,,,,,,,-178000.000,-178000.000,,-198000.000,-196000.000,-198000.000,-197000.000,-211000.000,-211000.000
OtherComprehensiveIncomeLossAmortizationAdjustmentFromAOCIPensionAndOtherPostretirementBenefitPlansForNetPriorServiceCostCreditTax,,,,,,,,,,123000.000,123000.000,,135000.000,137000.000,135000.000,138000.000,-145000.000,-145000.000
OtherComprehensiveIncomeLossAmortizationPensionAndOtherPostretirementBenefitPlansNetPriorServiceCostRecognizedInNetPeriodicPensionCostNetOfTax,,,,,,178000.000,178000.000,,178000.000,,,,,,,,,
