,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30
AccountsPayableCurrent,35415000.000,36395000.000,29319000.000,30545000.000,30330000.000,44705000.000,50504000.000,46408000.000,46242000.000,50229000.000,54832000.000,48628000.000,46982000.000,54554000.000,50501000.000,50705000.000,62377000.000
AccountsReceivableNetCurrent,37518000.000,39460000.000,35357000.000,36844000.000,39720000.000,47710000.000,43395000.000,49189000.000,48123000.000,46088000.000,47487000.000,51166000.000,50329000.000,50458000.000,51735000.000,49096000.000,51107000.000
AccruedLiabilitiesCurrent,5536000.000,4711000.000,4284000.000,8205000.000,9417000.000,11133000.000,8160000.000,5712000.000,6898000.000,7357000.000,8265000.000,10147000.000,10834000.000,11365000.000,14055000.000,12795000.000,12517000.000
AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment,,,,,,50513000.000,,,,54022000.000,,,,60381000.000,,,
AccumulatedOtherComprehensiveIncomeLossAvailableForSaleSecuritiesAdjustmentNetOfTax,,,,,-1537000.000,,,,,,,,,,,,
AccumulatedOtherComprehensiveIncomeLossDefinedBenefitPensionAndOtherPostretirementPlansNetOfTax,,,,,2395000.000,2241000.000,2216000.000,,,-2091000.000,2064000.000,2036000.000,2009000.000,-2103000.000,2074000.000,2045000.000,
AccumulatedOtherComprehensiveIncomeLossForeignCurrencyTranslationAdjustmentNetOfTax,,,,,3988000.000,6048000.000,6917000.000,,,4787000.000,3565000.000,778000.000,3767000.000,1051000.000,-5452000.000,-3904000.000,-2120000.000
AccumulatedOtherComprehensiveIncomeLossNetOfTax,4242000.000,-1252000.000,-608000.000,1804000.000,322000.000,2399000.000,9220000.000,9347000.000,13290000.000,9121000.000,5266000.000,-217000.000,1760000.000,-1044000.000,-7533000.000,-5970000.000,-4172000.000
AdditionalPaidInCapitalCommonStock,323248000.000,321131000.000,323158000.000,326139000.000,327732000.000,330473000.000,332043000.000,334986000.000,339528000.000,343947000.000,348132000.000,354593000.000,360293000.000,364587000.000,368382000.000,373639000.000,378009000.000
AllowanceForDoubtfulAccountsReceivable,,,,,,508000.000,,,,372000.000,,,,21000.000,,,
AllowanceForDoubtfulAccountsReceivableCurrent,,496000.000,,,,508000.000,,,,372000.000,,,,21000.000,,,
Assets,263510000.000,291987000.000,290202000.000,298256000.000,303290000.000,317071000.000,332415000.000,332017000.000,352008000.000,361869000.000,371292000.000,375317000.000,389849000.000,400342000.000,397984000.000,403120000.000,420704000.000
AssetsCurrent,195401000.000,208035000.000,203864000.000,210901000.000,216014000.000,217916000.000,219144000.000,249220000.000,269269000.000,273040000.000,278929000.000,276790000.000,291226000.000,294463000.000,288830000.000,294665000.000,286816000.000
AvailableForSaleSecurities,,,,,,,,,,53330000.000,44851000.000,37551000.000,40587000.000,43198000.000,,,
AvailableForSaleSecuritiesAccumulatedGrossUnrealizedGainBeforeTax,,,,,,,,,,,,,,0.000,,,
AvailableForSaleSecuritiesAccumulatedGrossUnrealizedLossBeforeTax,,,,,,,,,,,,,,0.000,,,
AvailableForSaleSecuritiesAmortizedCost,,,,,51519000.000,70305000.000,65389000.000,49376000.000,41800000.000,43112000.000,38902000.000,35935000.000,40587000.000,43198000.000,,,
AvailableForSaleSecuritiesEquitySecurities,,,,,,14752000.000,21719000.000,0.000,0.000,0.000,,,,,,,
AvailableForSaleSecuritiesFairValueDisclosure,,,,,49076000.000,68470000.000,70797000.000,63696000.000,61673000.000,,,,,,,,
AvailableForSaleSecuritiesGrossUnrealizedLosses1,,,,,2443000.000,1835000.000,0.000,0.000,0.000,,,,,,,,
AvailableforsaleSecuritiesGrossUnrealizedGain,,,,,0.000,0.000,5408000.000,14320000.000,19873000.000,,,,,,,,
BusinessAcquisitionContingentConsiderationPotentialCashPayment,,,,,,4200000.000,,,,,,,,,,,
BusinessCombinationRecognizedIdentifiableAssetsAcquiredAndLiabilitiesAssumedContingentLiability,,,,,,0.000,,,,,,,,,,,
CashAndCashEquivalentsAtCarryingValue,78167000.000,83863000.000,90973000.000,95384000.000,96584000.000,75497000.000,79797000.000,77052000.000,105226000.000,119997000.000,123399000.000,124779000.000,139469000.000,137534000.000,130731000.000,115003000.000,97474000.000
CommonStockParOrStatedValuePerShare,,0.000,,,,0.000,,,,0.000,,,,0.000,,,
CommonStockSharesAuthorized,,70000000.000,,,,70000000.000,,,,70000000.000,,,,70000000.000,,,
CommonStockSharesIssued,,26448000.000,,,,27594000.000,,,,29060000.000,,,,30832000.000,,,
CommonStockSharesOutstanding,,26448000.000,,,,27594000.000,,,,29060000.000,,,,30832000.000,,,
CommonStockValue,3000.000,3000.000,3000.000,3000.000,3000.000,3000.000,3000.000,3000.000,3000.000,3000.000,3000.000,3000.000,3000.000,3000.000,3000.000,3000.000,3000.000
CostMethodInvestments,,,,,,,,,,0.000,,,,,,,
CostMethodInvestmentsAggregateCarryingAmount,,,,,,4025000.000,4025000.000,4025000.000,0.000,,,,,,,,
DeferredIncomeTaxesAndOtherTaxLiabilitiesNoncurrent,,,,,,1415000.000,,,,4479000.000,,,,866000.000,,,
DeferredTaxAssetsGross,,,,,,47500000.000,,,,33861000.000,,,,33547000.000,,,
DeferredTaxAssetsInventory,,,,,,1136000.000,,,,532000.000,,,,457000.000,,,
DeferredTaxAssetsLiabilitiesNet,,,,,,21113000.000,,,,7789000.000,,,,9394000.000,,,
DeferredTaxAssetsNet,,,,,,22613000.000,,,,8933000.000,,,,10260000.000,,,
DeferredTaxAssetsNetCurrent,,10044000.000,8121000.000,11867000.000,5641000.000,8940000.000,6782000.000,4247000.000,3410000.000,2326000.000,2467000.000,2582000.000,2840000.000,1868000.000,1908000.000,1903000.000,1898000.000
DeferredTaxAssetsNetNoncurrent,,19028000.000,19366000.000,19002000.000,19876000.000,13588000.000,13736000.000,8673000.000,7533000.000,9942000.000,9772000.000,10228000.000,10338000.000,8392000.000,8508000.000,8617000.000,8768000.000
DeferredTaxAssetsOperatingLossCarryforwards,,,,,,27041000.000,,,,20388000.000,,,,12835000.000,,,
DeferredTaxAssetsOther,,,,,,2444000.000,,,,38000.000,,,,1600000.000,,,
DeferredTaxAssetsPropertyPlantAndEquipment,,,,,,215000.000,,,,217000.000,,,,0.000,,,
DeferredTaxAssetsTaxCreditCarryforwards,,,,,,7695000.000,,,,4310000.000,,,,9804000.000,,,
DeferredTaxAssetsTaxDeferredExpenseCompensationAndBenefitsShareBasedCompensationCost,,,,,,2714000.000,,,,3064000.000,,,,3106000.000,,,
DeferredTaxAssetsTaxDeferredExpenseReservesAndAccrualsAccruedLiabilities,,,,,,6255000.000,,,,5312000.000,,,,5745000.000,,,
DeferredTaxAssetsValuationAllowance,,,,,,24887000.000,,,,24928000.000,,,,23287000.000,,,
DeferredTaxLiabilitiesGoodwillAndIntangibleAssetsIntangibleAssets,,,,,,1500000.000,,,,1144000.000,,,,866000.000,,,
DeferredTaxLiabilitiesNoncurrent,,,,,,-1415000.000,,,,-4479000.000,,,,866000.000,,,
DefinedBenefitPlanAccumulatedOtherComprehensiveIncomeNetGainsLossesAfterTax,,,,,,,,,,,,,,,,,-2016000.000
DefinedBenefitPlanAccumulatedOtherComprehensiveIncomeNetTransitionAssetsObligationsAfterTax,,,,,,,,,,,,,,,,,-36000.000
DepositsAssetsNoncurrent,,,,,8645000.000,3500000.000,3500000.000,657000.000,0.000,0.000,,,,,,,
EmployeeRelatedLiabilitiesCurrent,6404000.000,6363000.000,5563000.000,4981000.000,5810000.000,9420000.000,6221000.000,6220000.000,7656000.000,8072000.000,8284000.000,7996000.000,10155000.000,9875000.000,10362000.000,10519000.000,12540000.000
EmployeeServiceShareBasedCompensationNonvestedAwardsTotalCompensationCostNotYetRecognized,,,,,,9900000.000,,,,10400000.000,,,,8100000.000,,,
EquityMethodInvestments,,,,,4025000.000,2000000.000,1921000.000,1840000.000,1778000.000,1684000.000,1584000.000,1545000.000,1469000.000,1436000.000,1406000.000,1382000.000,1358000.000
FiniteLivedIntangibleAssetsAccumulatedAmortization,,,,,3093000.000,,,,,,2903000.000,3312000.000,3680000.000,4027000.000,4374000.000,4721000.000,5069000.000
FiniteLivedIntangibleAssetsAmortizationExpenseAfterYearFive,,,,,2066000.000,1122000.000,1122000.000,1122000.000,1234000.000,39000.000,39000.000,39000.000,39000.000,0.000,0.000,0.000,0.000
FiniteLivedIntangibleAssetsAmortizationExpenseNextRollingTwelveMonths,,,,,,1579000.000,,,,1533000.000,,,,,,,
