,2011-06-30,2011-09-30,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2017-03-31
CashAndCashEquivalentsPeriodIncreaseDecrease,,,1622.000,,,,-1391.000,,8144.000,,,,2813.000,,,,-14009.000,,-25.000
Communication,220.000,203.000,215.000,214.000,215.000,213.000,1340.000,262.000,240.000,183.000,247.000,201.000,,,,,,,
DebtInstrumentConvertibleBeneficialConversionFeature,,,0.000,,,,,,,,,,,,,,,,
DepreciationAndAmortization,,0.000,0.000,0.000,0.000,,,,,,,,,,,,,,
EarningsPerShareDiluted,0.000,0.000,0.000,0.000,-0.000,-0.020,-0.050,-0.010,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-0.010,0.000,0.000,0.000
ForeignCurrencyTransactionGainBeforeTax,,,,,,,,,-2707.000,,,,-2868.000,,,,698.000,,899.000
ForeignCurrencyTransactionGainLossBeforeTax,-1769.000,17506.000,-9023.000,8233.000,-9256.000,8239.000,-547.000,13088.000,8826.000,-8826.000,9459.000,5888.000,11077.000,-2868.000,3271.000,1284.000,-2581.000,-605.000,-1402.000
GainLossOnDispositionOfAssets,,0.000,0.000,0.000,0.000,,,,,,,,,,,,,,
GainsLossesOnExtinguishmentOfDebt,,0.000,0.000,0.000,0.000,,-1364757.000,,,,,,,,,,,,
GeneralAndAdministrativeExpense,40.000,1739.000,48.000,67.000,108.000,46.000,256.000,492.000,142.000,252.000,355.000,456.000,262.000,6064.000,332.000,279.000,157.000,43.000,60.000
GeneralContractorCosts,,0.000,0.000,0.000,0.000,235720.000,103530.000,131670.000,,,,,,,,,,,
ImpairmentOfInvestments,,0.000,0.000,0.000,0.000,,,,,,,,,,,,,,
IncreaseDecreaseInAccountsPayable,,,,,,,,,-4898.000,,,,9272.000,,,,5999.000,,4948.000
IncreaseDecreaseInAccountsPayableRelatedParties,,,,,,,,,,,,,-55616.000,,,,6310.000,,2000.000
IncreaseDecreaseInAccountsPayableTrade,,,-8053.000,,,,-28395.000,,,,,,,,,,,,
IncreaseDecreaseInAccruedInterestReceivableNet,,,,,,,,,19658.000,,,,1396.000,,,,1498.000,,1637.000
IncreaseDecreaseInOtherAccountsPayable,,,,,,,,,-5054.000,,,,,,,,,,
IncreaseDecreaseInPrepaidExpense,,,0.000,,,,,,,,,,,,,,,,
InformationTechnologyAndDataProcessing,375.000,375.000,375.000,375.000,375.000,375.000,680.000,470.000,375.000,375.000,375.000,375.000,570.000,515.000,430.000,375.000,375.000,375.000,600.000
InterestExpense,14694.000,15229.000,15836.000,16233.000,16823.000,17251.000,17303.000,17928.000,19658.000,21007.000,-21827.000,88861.000,22502.000,23262.000,24106.000,24717.000,25068.000,25697.000,27390.000
InterestExpenseOther,,,15836.000,,,,17303.000,,,,,,,,,,,,
InterestPaid,,,0.000,,,,,,,,,,,,,,,,
LaborAndRelatedExpense,,0.000,0.000,0.000,1000.000,222408.000,45650.000,27500.000,6302.000,6000.000,1000.000,1000.000,6000.000,42000.000,4000.000,1000.000,1000.000,1000.000,2000.000
LeaseAndRentalExpense,,0.000,0.000,0.000,0.000,,,,,,,,,2913.000,2913.000,,,,
LegalFees,,0.000,0.000,0.000,2975.000,557.000,50.000,756.000,344.000,,,,256.000,255.000,-5761.000,,276.000,197.000,
MarketingExpense,,0.000,0.000,0.000,0.000,,,,,,,,,,,,,,
NetCashProvidedByUsedInFinancingActivities,,,50484.000,,,,44409.000,,33546.000,,,,73934.000,,,,,,4516.000
NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,,,50484.000,,,,44409.000,,33546.000,,,,73934.000,,,,,,4516.000
NetCashProvidedByUsedInInvestingActivities,,,0.000,,,,,,,,,,,,,,,,
NetCashProvidedByUsedInInvestingActivitiesContinuingOperations,,,0.000,,,,,,,,,,,,,,,,
NetCashProvidedByUsedInOperatingActivities,,,-48862.000,,,,-45800.000,,-25402.000,,,,-71121.000,,,,-14009.000,,-4541.000
NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,,,-48862.000,,,,-45800.000,,-25402.000,,,,-71121.000,,,,-14009.000,,-4541.000
NetIncomeLoss,-51267.000,-14292.000,-56645.000,-29034.000,-44758.000,738966.000,1537394.000,206474.000,-32401.000,-53624.000,-32941.000,-49997.000,-44411.000,-95615.000,-55575.000,-33317.000,-52084.000,-35320.000,-39778.000
OfficersCompensation,,,0.000,,,,34400.000,,,,,,,,,,,,
OperatingIncomeLoss,-49498.000,-31798.000,-47622.000,-37267.000,-35502.000,-486331.000,-172090.000,219562.000,-41227.000,-44798.000,-20573.000,29987.000,-32986.000,-69485.000,-34740.000,-9884.000,-24435.000,-9018.000,-10986.000
OtherGeneralAndAdministrativeExpense,4573.000,4618.000,5828.000,1536.000,4609.000,1985.000,1914.000,7369.000,666.000,682.000,8952.000,2194.000,5370.000,2054.000,2104.000,2221.000,2729.000,1732.000,551.000
PaymentsForAdvanceToAffiliate,,,0.000,,,,,,,,,,,,,,,,
PaymentsOfStockIssuanceCosts,,,0.000,,,,,,,,,,,,,,,,
PaymentsToAcquirePropertyPlantAndEquipment,,,0.000,,,,,,,,,,,,,,,,
PaymentsToFundLongtermLoansToRelatedParties,,,,,,,,,50000.000,,,,,,,,,,
ProceedsFromContributedCapital,,,0.000,,,,,,,,,,80000.000,,,,,,
ProceedsFromIssuanceOfCommonStock,,,0.000,,,,,,,,,,80000.000,,,,,,
ProceedsFromLoans,,,50484.000,,,,44409.000,,,,,,,,,,,,
ProceedsFromPaymentsForLongTermLoansForRelatedParties,,,,,,,,,-16454.000,,,,,,,,,,
ProceedsFromRelatedPartyDebt,,,0.000,,,,,,,,,,,,,,,,4516.000
ProfessionalFees,29596.000,9634.000,25320.000,18842.000,9397.000,7776.000,1367.000,33115.000,13500.000,16299.000,9644.000,5898.000,20528.000,6684.000,5722.000,759.000,19898.000,5671.000,7775.000
ProfitLoss,,,,,,,,,-32401.000,,,,-44411.000,,,,-52084.000,,-39778.000
ProvisionForDoubtfulAccounts,,0.000,0.000,0.000,0.000,,,,,,,,,,,,,,
RepaymentsOfRelatedPartyDebt,,,,,,,,,,,,,-6066.000,,,,,,
ShareBasedCompensation,,,0.000,,,,,,,,,,,,,,,,
