,2012-02-29,2012-05-31,2012-08-31,2013-02-28,2013-05-31,2013-08-31,2013-11-30,2014-02-28,2014-05-31,2014-08-31,2014-11-30,2015-02-28,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31
AccountsPayableAndAccruedLiabilitiesCurrent,600.000,600.000,600.000,2000.000,14312.000,27680.000,11114.000,18194.000,12483.000,11627.000,7357.000,5332.000,618642.000,997102.000,1292080.000,,,,,,
AccountsPayableAndOtherAccruedLiabilitiesCurrent,,,,,,,,,,,,,,,,1474331.000,1786833.000,1574396.000,2247798.000,2562728.000,2948468.000
AccountsPayableOtherCurrent,,,,,,,,,,,,,,,,18063.000,30788.000,58020.000,67530.000,53594.000,11183.000
AccruedInsuranceCurrent,,,,,,,,,,,,,,,,,,,,,232100.000
AccruedProfessionalFeesCurrent,,,,,,,,,,,,,,,,50947.000,35056.000,12843.000,60007.000,80908.000,60317.000
AccruedSalariesCurrent,,,,,,,,,,,,,,10000.000,54847.000,,,,,,
AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment,,,,,,,,,,,,,,,,8585.000,9647.000,10709.000,,,13928.000
AdditionalPaidInCapital,,,,,,,,,,,,,,,,18911110.000,23188471.000,27303562.000,28638031.000,31220530.000,
AdditionalPaidInCapitalCommonStock,8100.000,42300.000,42300.000,42300.000,42300.000,42300.000,42300.000,42300.000,42300.000,38300.000,38300.000,38300.000,14979545.000,15128400.000,15434398.000,,,,,,41419714.000
Assets,6210.000,30513.000,17421.000,8698.000,68.000,68.000,,,,,,,3726701.000,3768868.000,2020769.000,4489946.000,6424247.000,4388368.000,3211484.000,3054187.000,10718874.000
AssetsCurrent,6210.000,30513.000,17421.000,8698.000,68.000,68.000,,,,,,,3710605.000,3753846.000,2006821.000,4477068.000,6412431.000,4377614.000,3201804.000,3045581.000,10711339.000
CashAndCashEquivalentsAtCarryingValue,6210.000,30513.000,17421.000,8698.000,68.000,68.000,,,,,,,3326380.000,2977469.000,1894966.000,4446284.000,6186333.000,4209381.000,3079796.000,2985450.000,10482977.000
CashFDICInsuredAmount,,,,,,,,,,,,,250000.000,250000.000,250000.000,3946284.000,,,,,10232977.000
CashUninsuredAmount,,,,,,,,,,,,,3100000.000,2727000.000,1651000.000,,,,,,
ClassOfWarrantOrRightOutstanding,,,,,0.000,,,,,,,,,,,,,,,,
CommonStockParOrStatedValuePerShare,0.000,0.000,,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
CommonStockShareSubscribedButUnissuedSubscriptionsReceivable,,,,,,,,,,,,,2500000.000,1250000.000,1250000.000,,,,,,174998.000
CommonStockSharesAuthorized,100000000.000,250000000.000,,250000000.000,250000000.000,250000000.000,250000000.000,250000000.000,250000000.000,300000000.000,300000000.000,300000000.000,300000000.000,300000000.000,300000000.000,300000000.000,300000000.000,300000000.000,300000000.000,300000000.000,300000000.000
CommonStockSharesIssued,9000000.000,12000000.000,12000000.000,12000000.000,12000000.000,12000000.000,12000000.000,12000000.000,12000000.000,52000800.000,52000000.000,52000800.000,86007248.000,86013132.000,86026371.000,86836370.000,87611370.000,87627838.000,87677838.000,88130152.000,91692641.000
CommonStockSharesOutstanding,9000000.000,12000000.000,12000000.000,12000000.000,12000000.000,12000000.000,12000000.000,12000000.000,12000000.000,52000800.000,52000000.000,52000800.000,86007248.000,86013132.000,86026371.000,86836370.000,87611370.000,87627838.000,87677838.000,88130152.000,88192641.000
CommonStockSharesSubscribedButUnissued,,,,,,,,,,,,,,,,,,,,,58823.000
CommonStockSharesSubscriptions,,,,,,,,,,,,,,,,,,,,,6.000
CommonStockValue,900.000,1200.000,1200.000,1200.000,1200.000,1200.000,1200.000,1200.000,1200.000,5200.000,5200.000,5200.000,8601.000,8601.000,8603.000,8685.000,8763.000,8765.000,8770.000,8815.000,9172.000
DeferredTaxAssetsGross,,,,,,,,,,,,,2185000.000,2885000.000,,4577528.000,,,,,10046312.000
DeferredTaxAssetsInProcessResearchAndDevelopment,,,,,,,,,,,,,,,,198490.000,,,,,310727.000
DeferredTaxAssetsOperatingLossCarryforwards,,,,,,,,,,,,,,,,4316110.000,,,,,5747394.000
DeferredTaxAssetsOperatingLossCarryforwardsDomestic,,,,,,,,,,,,,,,,10005274.000,,,,,16904097.000
DeferredTaxAssetsOperatingLossCarryforwardsStateAndLocal,,,,,,,,,,,,,,,,17467895.000,,,,,
DeferredTaxAssetsOther,,,,,,,,,,,,,,,,62928.000,,,,,6568.000
DeferredTaxAssetsTaxCreditCarryforwardsResearch,,,,,,,,,,,,,,,,,,,,,310727.000
DeferredTaxAssetsTaxDeferredExpenseReservesAndAccruals,,,,,,,,,,,,,,,,,,,,,803242.000
DeferredTaxAssetsValuationAllowance,,,,,,,,,,,,,2185000.000,2885000.000,,4577528.000,,,,,10046312.000
DerivativeLiabilitiesCurrent,,,,,,,,,,,,,376300.000,376300.000,,,,,,,378600.000
DerivativeLiabilitiesNoncurrent,,,,,,,,,,,,,,,376300.000,,,,,,
DevelopmentStageEnterpriseDeficitAccumulatedDuringDevelopmentStage,,,,,60791.000,74159.000,,101033.000,112642.000,126117.000,,,,,,,,,,,
DueToOfficersOrStockholdersCurrent,,,,,3047.000,3047.000,31501.000,39339.000,56659.000,70990.000,89171.000,103673.000,17623.000,32761.000,,,,,,,
EmployeeServiceShareBasedCompensationNonvestedAwardsTotalCompensationCostNotYetRecognizedStockOptions,,,,,,,,,,,,,,668845.000,475343.000,,,,,,13375000.000
Liabilities,600.000,600.000,600.000,2000.000,17359.000,30727.000,42615.000,57533.000,69142.000,82617.000,96528.000,109005.000,1012565.000,1406163.000,1668380.000,1474331.000,2018933.000,1742674.000,2352255.000,2603363.000,3327068.000
LiabilitiesAndStockholdersEquity,6210.000,30513.000,17421.000,8698.000,68.000,68.000,,,,,,,3726701.000,3768868.000,2020769.000,4489946.000,6424247.000,4388368.000,3211484.000,3054187.000,10718874.000
