,2011-09-30,2012-03-31,2012-09-30,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30
AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipmentPeriodIncreaseDecrease,,3228.000,,1499.000,,,,1518.000,,
AdjustmentsToAdditionalPaidInCapitalWarrantIssued,,0.000,,,,,,,,
AmortizationOfDebtDiscountPremium,,,,26520.000,,,,9050.000,,
CashAndCashEquivalentsPeriodIncreaseDecrease,,0.000,,0.000,,,,0.000,,
Communication,163.000,478.000,1055.000,,785.000,435.000,,456.000,99.000,118.000
DebtConversionOriginalDebtAmount1,,138461.000,,16500.000,,,,,,
DepreciationAndAmortization,2635.000,3228.000,1009.000,1499.000,1499.000,1499.000,1518.000,1518.000,1517.000,1518.000
DerivativeGainLossOnDerivativeNet,,,,-27604.000,-58551.000,14129.000,105389.000,683.000,0.000,18208.000
DerivativeInstrumentsLossRecognizedInIncome,,,-32268.000,,,,,,,
EarningsPerShareBasic,-0.040,0.000,-0.000,-0.000,-0.000,,,,,
FairValueAssumptionsWeightedAverageVolatilityRate,,,,0.500,0.500,0.500,,,,
FinancialServicesCosts,242.000,393.000,366.000,61.000,193.000,633.000,687.000,1292.000,574.000,583.000
IncomeTaxesPaid,,0.000,,,,,,,,
IncreaseDecreaseInAccountsPayableAndAccruedLiabilities,,-27002.000,,6380.000,,,,64334.000,,
IncreaseDecreaseInAccountsPayableAndOtherOperatingLiabilities,,107514.000,,136439.000,,,,523894.000,,
IncreaseDecreaseInDeferredCompensation,,,,,,,,,,30000.000
IncreaseDecreaseInDerivativeLiabilities,,,,128150.000,89527.000,62600.000,,18891.000,,
IncreaseDecreaseInDueFromRelatedParties,,-804.000,,-805.000,,,,-805.000,,
IncreaseDecreaseInOtherOperatingAssets,,0.000,,-15593.000,,,,5962.000,,
InterestAndOtherIncome,1241.000,804.000,804.000,264318.000,264318.000,267393.000,272908.000,263555.000,266474.000,269394.000
InterestExpense,1269.000,-16784.000,-98975.000,-61099.000,-36792.000,-161330.000,-76121.000,-46671.000,-47148.000,80043.000
InterestIncomeExpenseNet,,,,-263514.000,-263514.000,-233589.000,-271982.000,-262751.000,-265669.000,-268590.000
InterestPaid,,16784.000,,,,,,,,
LeaseAndRentalExpense,3010.000,5098.000,4426.000,5892.000,7949.000,7321.000,11737.000,9991.000,3350.000,
LicenseCosts,0.000,6920.000,,1100.000,,11.000,,,,
MarketingExpense,,54275.000,8658.000,,,5107.000,,12727.000,10634.000,1565.000
NetCashProvidedByUsedInFinancingActivities,,159196.000,,46611.000,,,,46342.000,,
NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,,159196.000,,46611.000,,,,46342.000,,
NetCashProvidedByUsedInInvestingActivities,,-4446.000,,-3095.000,,,,-607.000,,
NetCashProvidedByUsedInInvestingActivitiesContinuingOperations,,-4446.000,,-3095.000,,,,-607.000,,
NetCashProvidedByUsedInOperatingActivities,,-154750.000,,-54908.000,,,,-45736.000,,
NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,,-154750.000,,-54908.000,,,,-45736.000,,
NetIncomeLoss,-1028108.000,243480.000,-307019.000,-237757.000,-275796.000,-227877.000,-200751.000,774106.000,-195630.000,-29115.000
NetRealizedOrUnrealizedGainLossOnTradingSecurities,,,,,,33000.000,,,,
NoninterestExpensePrintingAndFulfillment,307.000,160.000,458.000,450.000,450.000,,,,,
OperatingCostsAndExpenses,,,,,,4443.000,,265.000,216.000,235.000
OperatingExpenses,1030618.000,227501.000,176580.000,149858.000,181257.000,147480.000,197945.000,172835.000,149287.000,128170.000
OtherExpenses,329.000,551.000,103.000,3264.000,3264.000,358.000,-4712.000,538.000,311.000,773.000
OtherGeneralExpense,1152.000,0.000,,,,1149.000,,318.000,8.000,0.000
