,2011-09-30,2012-03-31,2012-06-30,2012-09-30,2012-12-31
CashAndCashEquivalentsPeriodIncreaseDecrease,0.000,500.000,,,
EarningsPerShareBasic,0.000,,,,
GeneralAndAdministrativeExpense,14549.000,2025.000,1099.000,625.000,2539.000
IncreaseDecreaseInAccruedLiabilities,126.000,125.000,,,
IncreaseDecreaseInOtherOperatingLiabilities,-337.000,1000.000,,,
InterestExpenseRelatedParty,126.000,125.000,126.000,128.000,128.000
NetCashProvidedByUsedInFinancingActivities,14886.000,10175.000,,,
NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,14886.000,10175.000,,,
NetCashProvidedByUsedInOperatingActivities,-14886.000,-9675.000,,,
NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,-14886.000,-9675.000,,,
NetIncomeLoss,-14675.000,-10800.000,-5425.000,-4953.000,-6867.000
NonoperatingIncomeExpense,-126.000,-125.000,-126.000,-128.000,-128.000
OperatingExpenses,,10675.000,5299.000,4825.000,
OperatingIncomeLoss,-14549.000,-10675.000,-5299.000,-4825.000,-6739.000
ProceedsFromContributionsFromAffiliates,14886.000,9675.000,,,
ProceedsFromIssuanceOfCommonStock,0.000,500.000,,,
ProceedsFromRelatedPartyDebt,0.000,,,,
ProfessionalFees,,8650.000,4200.000,4200.000,4200.000
Revenues,0.000,,,,
SalesRevenueNet,0.000,,,,
WeightedAverageNumberOfSharesOutstandingBasic,5000000.000,5000000.000,5000000.000,5000000.000,-10000000.000
