,2016-09-30,2016-12-31,2017-03-31
AccountsPayableCurrent,8246000.000,,
AccountsPayableOtherCurrent,,589000000.000,699000000.000
AccountsReceivableNetCurrent,352000.000,1345000000.000,1582000000.000
AccruedIncomeTaxes,,73000000.000,
AccruedIncomeTaxesNoncurrent,73296000.000,,
AccruedLiabilitiesCurrent,12243000.000,1114000000.000,1058000000.000
AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment,30196000.000,54000000.000,109000000.000
AccumulatedOtherComprehensiveIncomeLossNetOfTax,-34818000.000,-32000000.000,-18000000.000
AdditionalPaidInCapital,621532000.000,423000000.000,414000000.000
Assets,1101474000.000,33982000000.000,35620000000.000
AssetsCurrent,48593000.000,3535000000.000,5404000000.000
CapitalLeaseObligations,3023000.000,,
CashAndCashEquivalentsAtCarryingValue,409000.000,1851000000.000,2564000000.000
CommonStockSharesIssued,,56946673.000,
ContractualObligation,,476000000.000,
ContractualObligationDueInFourthAndFifthYear,,1000000.000,
ContractualObligationDueInNextTwelveMonths,,441000000.000,
ContractualObligationDueInSecondAndThirdYear,,34000000.000,
CustomerAdvancesCurrent,,2590000000.000,4425000000.000
DebtInstrumentFaceAmount,,3560000000.000,3566000000.000
DeferredCompensationShareBasedArrangementsLiabilityCurrent,3604000.000,,
DeferredFinanceCostsNet,69000.000,,
DeferredIncomeTaxLiabilities,,4084000000.000,
DeferredRevenueCurrent,4544000.000,248000000.000,358000000.000
DeferredTaxAssetsGross,,673000000.000,
DeferredTaxAssetsNet,,607000000.000,
DeferredTaxAssetsOther,,280000000.000,
DeferredTaxAssetsTaxDeferredExpenseCompensationAndBenefitsShareBasedCompensationCost,,175000000.000,
DeferredTaxAssetsTaxDeferredExpenseReservesAndAccrualsOther,,101000000.000,
DeferredTaxAssetsValuationAllowance,,66000000.000,
DeferredTaxLiabilities,,3477000000.000,
DeferredTaxLiabilitiesGoodwillAndIntangibleAssetsIntangibleAssets,,3909000000.000,
DeferredTaxLiabilitiesNoncurrent,300188000.000,3477000000.000,3386000000.000
DeferredTaxLiabilitiesOther,,175000000.000,
EmployeeServiceShareBasedCompensationNonvestedAwardsTotalCompensationCostNotYetRecognized,,,49000.000
EquityMethodInvestments,921852000.000,,
FiniteLivedIntangibleAssetsAccumulatedAmortization,,467000000.000,
FiniteLivedIntangibleAssetsAmortizationExpenseNextTwelveMonths,,1903000000.000,1560000000.000
FiniteLivedIntangibleAssetsAmortizationExpenseYearFive,,473000000.000,473000000.000
FiniteLivedIntangibleAssetsAmortizationExpenseYearFour,,591000000.000,600000000.000
FiniteLivedIntangibleAssetsAmortizationExpenseYearThree,,1003000000.000,1044000000.000
FiniteLivedIntangibleAssetsAmortizationExpenseYearTwo,,1411000000.000,1452000000.000
FiniteLivedIntangibleAssetsGross,,6830000000.000,
FiniteLivedIntangibleAssetsNet,23844000.000,6363000000.000,6014000000.000
Goodwill,57462000.000,16617000000.000,16701000000.000
IndefiniteLivedTradeNames,19902000.000,6123000000.000,6139000000.000
InventoryNet,41116000.000,40000000.000,
Liabilities,428938000.000,13690000000.000,15532000000.000
LiabilitiesAndStockholdersEquity,1101474000.000,33982000000.000,35620000000.000
LiabilitiesCurrent,33395000.000,6093000000.000,8036000000.000
LongTermDebtAndCapitalLeaseObligations,22059000.000,3788000000.000,3772000000.000
LongTermDebtAndCapitalLeaseObligationsCurrent,4758000.000,7000000.000,14000000.000
LongTermDebtAndCapitalLeaseObligationsIncludingCurrentMaturities,26817000.000,3795000000.000,3786000000.000
LongTermDebtMaturitiesRepaymentsOfPrincipalInNextTwelveMonths,,7000000.000,
LongTermDebtMaturitiesRepaymentsOfPrincipalInYearFour,,762000000.000,
LongTermDebtMaturitiesRepaymentsOfPrincipalInYearThree,,7000000.000,
LongTermDebtMaturitiesRepaymentsOfPrincipalInYearTwo,,851000000.000,
MarketableSecuritiesCurrent,,,851000000.000
MinorityInterest,,17529000000.000,17378000000.000
NoncurrentAssets,,844000000.000,
OperatingLeasesFutureMinimumPaymentsDue,,518000000.000,
OperatingLeasesFutureMinimumPaymentsDueCurrent,,122000000.000,
OperatingLeasesFutureMinimumPaymentsDueInFiveYears,,37000000.000,
OperatingLeasesFutureMinimumPaymentsDueInFourYears,,54000000.000,
OperatingLeasesFutureMinimumPaymentsDueInThreeYears,,97000000.000,
OperatingLeasesFutureMinimumPaymentsDueInTwoYears,,118000000.000,
OperatingLeasesFutureMinimumPaymentsDueThereafter,,90000000.000,
OtherAssetsCurrent,2776000.000,98000000.000,179000000.000
OtherAssetsNoncurrent,3393000.000,500000000.000,511000000.000
OtherLiabilitiesCurrent,,43000000.000,72000000.000
OtherLiabilitiesNoncurrent,,332000000.000,338000000.000
PreferredStockParOrStatedValuePerShare,,0.010,0.010
PreferredStockSharesAuthorized,,50000000.000,50000000.000
PreferredStockSharesIssued,,0.000,0.000
PrepaidExpenseCurrent,3940000.000,201000000.000,228000000.000
PropertyPlantAndEquipmentGross,56624000.000,898000000.000,960000000.000
PropertyPlantAndEquipmentNet,26428000.000,844000000.000,851000000.000
RetainedEarningsAccumulatedDeficit,85822000.000,2371000000.000,2313000000.000
ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsOutstandingNumber,,,659000.000
ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsOutstandingWeightedAverageExercisePrice,,,38.480
StockholdersEquity,672536000.000,2763000000.000,2710000000.000
StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,672536000.000,20292000000.000,20088000000.000
UndistributedEarningsOfForeignSubsidiaries,,1800000000.000,
UnrecognizedTaxBenefits,,221000000.000,
UnrecognizedTaxBenefitsIncomeTaxPenaltiesAndInterestAccrued,,15000000.000,
