,2012-03-31
AdvertisingExpense,2384.000
CashPeriodIncreaseDecrease,48427.000
CostOfGoodsAndServicesSold,298589.000
CostsAndExpenses,504959.000
EarningsPerShareBasicAndDiluted,-0.010
GeneralAndAdministrativeExpense,52593.000
GrossProfit,67561.000
IncomeLossFromContinuingOperations,-59278.000
IncomeLossFromContinuingOperationsBeforeIncomeTaxesDomestic,-59278.000
IncreaseDecreaseInAccountsPayableAndAccruedLiabilities,-14190.000
IncreaseDecreaseInAccountsReceivable,5618.000
IncreaseDecreaseInInventories,59277.000
InterestExpense,-1232.000
InterestIncomeOperating,11115.000
NetCashProvidedByUsedInFinancingActivities,50000.000
NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,50000.000
NetCashProvidedByUsedInOperatingActivities,-1573.000
NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,-59278.000
OperatingExpenses,125607.000
OperatingIncomeLoss,-58046.000
OtherExpenses,-1232.000
ProceedsFromRelatedPartyDebt,50000.000
ProfessionalFees,25762.000
Revenues,572520.000
SalariesAndWages,37368.000
SalesRevenueNet,328145.000
