,2011-08-31,2011-11-30,2012-02-29,2012-05-31,2012-08-31,2012-11-30,2013-02-28,2013-05-31,2013-08-31,2013-11-30,2014-02-28,2014-05-31,2014-08-31,2014-11-30,2015-02-28,2015-05-31,2015-08-31,2015-11-30,2016-02-29,2016-05-31,2016-08-31,2016-11-30,2017-02-28
AccountsPayableAndAccruedLiabilitiesCurrent,,,,,,,,2389006.000,2246618.000,1810862.000,1993353.000,2221158.000,2193744.000,2168976.000,2197559.000,2383842.000,2713197.000,2516871.000,2524063.000,2634110.000,2723585.000,2379379.000,2241703.000
AccountsPayableAndOtherAccruedLiabilities,,,,,,,,,,,,,,,,-34000.000,,,,-50000.000,,,
AccountsPayableCurrent,1121924.000,1299265.000,1177034.000,1121509.000,1204797.000,1241306.000,1051867.000,852228.000,857889.000,865644.000,1115562.000,929404.000,1284409.000,1205230.000,1107069.000,1129105.000,970535.000,898020.000,981603.000,723705.000,617747.000,544869.000,415764.000
AccountsPayableOtherCurrent,,,,,,,,83805.000,,,,96487.000,,,,146214.000,,,,152674.000,,,
AccountsReceivableNet,,,,,,,,9151299.000,,,,8799668.000,,,,8757242.000,,,,7714533.000,,,
AccountsReceivableNetCurrent,8711799.000,9123421.000,8917945.000,8728669.000,8589671.000,8725517.000,8042952.000,9146283.000,9238264.000,9070966.000,8800481.000,8790338.000,7829021.000,8507411.000,9357590.000,8754784.000,9205610.000,7585270.000,8551427.000,7703680.000,7820156.000,7065679.000,6742094.000
AccountsReceivableUnapprovedContractClaims,,,,,,,,1920000.000,,,,2100000.000,,,,2109000.000,,,,3735000.000,,,
AccruedLiabilitiesCurrent,1982647.000,1775544.000,1741392.000,2041111.000,2131000.000,1780982.000,1733724.000,,,,,,,,,,,,,,,,
AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment,277255.000,279943.000,282366.000,244268.000,246965.000,249661.000,253199.000,244868.000,248245.000,251622.000,257561.000,245482.000,250291.000,254967.000,258707.000,254732.000,260271.000,265859.000,271651.000,262076.000,267435.000,272795.000,276447.000
AdditionalPaidInCapital,5102868.000,5102868.000,5102868.000,5102868.000,5102868.000,5102868.000,5102868.000,5102868.000,5102868.000,5102868.000,5102868.000,5102868.000,5102868.000,5102868.000,5102868.000,5102868.000,5102868.000,5102868.000,5102868.000,5102868.000,5102868.000,5102868.000,5102868.000
