,2011-06-30,2011-09-30,2011-12-31
AccumulatedOtherComprehensiveIncomeLossNetOfTax,-58573.000,489610.000,80253.000
AdditionalPaidInCapitalCommonStock,42281013.000,42306663.000,42332313.000
Assets,521399241.000,515828481.000,502646368.000
AvailableForSaleSecurities,87450781.000,84860770.000,95030090.000
BankOwnedLifeInsurance,11971699.000,12073444.000,12174133.000
CashAndCashEquivalentsAtCarryingValue,34274548.000,43099103.000,42768278.000
CashAndDueFromBanks,27037257.000,29757337.000,39887487.000
CashCashEquivalentsAndFederalFundsSold,34274548.000,43099103.000,42768278.000
CommonStockParOrStatedValuePerShare,1.000,1.000,1.000
CommonStockSharesAuthorized,10000000.000,10000000.000,10000000.000
CommonStockSharesIssued,2631611.000,2631611.000,2631611.000
CommonStockSharesOutstanding,2631611.000,2631611.000,2631611.000
CommonStockValue,2631611.000,2631611.000,2631611.000
Deposits,437896492.000,434557339.000,432137949.000
DepositsMoneyMarketDeposits,49966061.000,53116932.000,51805651.000
DepositsNegotiableOrderOfWithdrawalNOW,53608086.000,49566341.000,58367583.000
DepositsSavingsDeposits,23230999.000,22863231.000,22364377.000
EquityMethodInvestments,4344720.000,4387805.000,4429922.000
FederalFundsSold,7237291.000,13341766.000,2880791.000
FederalHomeLoanBankAdvancesLongTerm,55200000.000,55200000.000,55200000.000
HeldToMaturitySecurities,1348823.000,1364529.000,1380418.000
HeldToMaturitySecuritiesFairValue,1441590.000,1536740.000,1565860.000
InterestPayableCurrentAndNoncurrent,737968.000,738387.000,813604.000
InterestReceivable,1383074.000,1318568.000,1328765.000
Liabilities,509901302.000,506977655.000,504983036.000
LiabilitiesAndStockholdersEquity,521399241.000,515828481.000,502646368.000
LoansAndLeasesReceivableAllowance,14189651.000,14871902.000,14862876.000
LoansAndLeasesReceivableNetReportedAmount,330433752.000,319863462.000,295932770.000
NoninterestBearingDepositLiabilities,50657932.000,48774381.000,50761144.000
OtherAssets,4500872.000,4538234.000,3779256.000
OtherLiabilities,1513598.000,2236904.000,2577601.000
PreferredStockParOrStatedValuePerShare,0.000,,
PreferredStockSharesAuthorized,1000000.000,1000000.000,1000000.000
PreferredStockSharesIssued,0.000,0.000,0.000
PreferredStockSharesOutstanding,0.000,0.000,0.000
PreferredStockValue,0.000,,
PropertyPlantAndEquipmentNet,31973618.000,31787333.000,31548063.000
RealEstateAcquiredThroughForeclosure,9870404.000,8688283.000,11023123.000
RestrictedInvestments,3846950.000,3846950.000,3251550.000
RetainedEarningsAccumulatedDeficit,-33356112.000,-36577058.000,-47380845.000
SecuritiesSoldUnderAgreementsToRepurchase,1150244.000,842025.000,850882.000
StockholdersEquity,11497939.000,8850826.000,-2336668.000
StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,11497939.000,8850826.000,-2336668.000
SubordinatedDebt,13403000.000,13403000.000,13403000.000
TimeDeposits,260433414.000,260236454.000,248839194.000
