,2011-12-31,2012-12-31
AccretionAmortizationOfDiscountsAndPremiumsInvestments,-523261000.000,-1069760.000
AdjustmentsToAdditionalPaidInCapitalSharebasedCompensationRequisiteServicePeriodRecognitionValue,,81270.000
AdvertisingExpense,,27271.000
AllowanceForLoanAndLeaseLossesLoansAcquired,,0.000
AllowanceForLoanAndLeaseLossesProvisionForLossGross,,1600000.000
AllowanceForLoanAndLeaseLossesRecoveriesOfBadDebts,,1020192.000
AllowanceForLoanAndLeaseLossesWriteOffs,,4176139.000
AmortizationOfDeferredLoanOriginationFeesNet,248398000.000,176529.000
AntidilutiveSecuritiesExcludedFromComputationOfEarningsPerShareAmount,,0.000
AvailableForSaleSecuritiesChangeInNetUnrealizedHoldingGainLossNetOfTax,1942532000.000,613076.000
AvailableForSaleSecuritiesGrossRealizedGains,,392367.000
AvailableForSaleSecuritiesGrossRealizedLosses,,2515.000
BankOwnedLifeInsuranceIncome,123667000.000,122618.000
CashAndCashEquivalentsPeriodIncreaseDecrease,11444087000.000,-7295489.000
ComprehensiveIncomeNetOfTax,1196284000.000,1977089.000
CurrentIncomeTaxExpenseBenefit,,0.000
DeferredIncomeTaxExpenseBenefit,,370730.000
DefinedContributionPlanCostRecognized,,131243.000
DefinedContributionPlanMaximumAnnualContributionPerEmployeePercent,,0.030
DepreciationAndAmortization,1200804000.000,1177498.000
DividendsPreferredStockCash,,572250.000
DividendsPreferredStockStock,572250000.000,
EarningsPerShareBasic,-0.460,0.220
EarningsPerShareDiluted,-0.460,0.220
EffectiveIncomeTaxRateReconciliationAtFederalStatutoryIncomeTaxRate,,0.340
EffectiveIncomeTaxRateReconciliationStateAndLocalIncomeTaxes,,0.074
FederalDepositInsuranceCorporationPremiumExpense,580123000.000,499655.000
FeesAndCommissionsDepositorAccounts,1488830000.000,1275686.000
ForeclosedRealEstateExpense,355097000.000,1248390.000
GainLossOnSaleOfPropertyPlantEquipment,-5416000.000,-443.000
GainLossOnSaleOfSecuritiesNet,263832000.000,379771.000
GainLossOnSalesOfLoansNet,896812000.000,1568593.000
ImpairedFinancingReceivableAverageRecordedInvestment,,27445955.000
ImpairedFinancingReceivableInterestIncomeCashBasisMethod,,1094736.000
IncomeLossFromContinuingOperationsBeforeIncomeTaxesMinorityInterestAndIncomeLossFromEquityMethodInvestments,-1539062000.000,1734743.000
IncomeTaxExpenseBenefit,-792814000.000,370730.000
IncomeTaxReconciliationIncomeTaxExpenseBenefitAtFederalStatutoryIncomeTaxRate,,584815.000
IncomeTaxReconciliationNondeductibleExpenseOther,,16206.000
IncomeTaxReconciliationOtherReconcilingItems,,4447.000
IncomeTaxReconciliationStateAndLocalIncomeTaxes,,-414.000
IncomeTaxReconciliationTaxExemptIncome,,242932.000
IncomeTaxesPaid,329298000.000,370730.000
IncreaseDecreaseInAccruedInterestReceivableNet,-50714000.000,-35844.000
IncreaseDecreaseInDeferredIncomeTaxes,-563192000.000,
IncreaseDecreaseInDeposits,-14102804000.000,970422.000
IncreaseDecreaseInInterestPayableNet,43418000.000,132740.000
IncreaseDecreaseInOtherOperatingAssets,545540000.000,-634784.000
IncreaseDecreaseInOtherOperatingLiabilities,379282000.000,8840558.000
IncrementalCommonSharesAttributableToShareBasedPaymentArrangements,,50456.000
InformationTechnologyAndDataProcessing,,317946.000
InterestAndDividendIncomeOperating,19370528000.000,16948717.000
InterestAndDividendIncomeSecurities,2281862000.000,1996906.000
InterestAndFeeIncomeLoansAndLeases,17071350000.000,14910543.000
InterestExpense,4123371000.000,2749303.000
InterestExpenseBorrowings,342798000.000,382167.000
InterestExpenseDeposits,3780573000.000,2367136.000
InterestExpenseOther,,3000278.000
InterestIncomeExpenseAfterProvisionForLoanLoss,8373157000.000,12599414.000
InterestIncomeExpenseNet,15247157000.000,14199414.000
InterestPaid,4079953000.000,2616563.000
IssuanceOfStockAndWarrantsForServicesOrClaims,33187000.000,
LaborAndRelatedExpense,6478021000.000,6781215.000
LeaseAndRentalExpense,,467108.000
LegalFees,,311708.000
LoansAndLeasesReceivableImpairedInterestLostOnNonaccrualLoans,,411871.000
LoansAndLeasesReceivableRelatedPartiesAdditions,,74217.000
LoansAndLeasesReceivableRelatedPartiesCollections,,33252.000
LongTermPurchaseCommitmentAmount,,150000.000
MarketingAndAdvertisingExpense,302973000.000,315074.000
NetCashProvidedByUsedInFinancingActivities,-10548872000.000,2073946.000
NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,-10548872000.000,2073946.000
NetCashProvidedByUsedInInvestingActivities,14194204000.000,-21520579.000
NetCashProvidedByUsedInInvestingActivitiesContinuingOperations,14194204000.000,-21520579.000
NetCashProvidedByUsedInOperatingActivities,7798755000.000,12151144.000
NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,7798755000.000,12151144.000
NetIncomeLoss,-746248000.000,1364013.000
NetIncomeLossAvailableToCommonStockholdersBasic,-1423498000.000,686763.000
NoninterestExpense,13964790000.000,16431074.000
NoninterestIncome,4052571000.000,5566403.000
NoninterestIncomeOther,1403097000.000,1485773.000
NoninterestIncomeOtherOperatingIncome,,2342353.000
OccupancyNet,1326737000.000,
OtherComprehensiveIncomeLossNetOfTax,,613076.000
OtherComprehensiveIncomeLossReclassificationAdjustmentForSaleOfSecuritiesIncludedInNetIncomeNetOfTax,,250649.000
OtherComprehensiveIncomeOtherNetOfTax,1942532000.000,
