,2014-09-30,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30
AdjustmentsToAdditionalPaidInCapitalStockIssuedIssuanceCosts,,99000.000,,,,,,
AdvertisingBarterTransactionsAdvertisingBarterCosts,,,,,,3080000.000,,
AdvertisingBarterTransactionsAdvertisingBarterRevenue,,,,,,4217000.000,,
AmortizationOfDebtDiscountPremium,,-424000.000,,,,0.000,,
AmortizationOfFinancingCosts,,575000.000,,,,380000.000,,
AmortizationOfIntangibleAssets,500000.000,600000.000,600000.000,800000.000,0.000,1200000.000,1100000.000,900000.000
BasicEarningsPerShareProForma,-2.360,0.010,,,,,,
BusinessAcquisitionsProFormaNetIncomeLoss,-33584000.000,,,23210000.000,,,,
BusinessAcquisitionsProFormaRevenue,94747000.000,,,166048000.000,,,,
BusinessCombinationAcquisitionRelatedCosts,63000.000,47000.000,125000.000,1125000.000,442000.000,169000.000,181000.000,256000.000
CashPeriodIncreaseDecrease,,13751000.000,,,,-2478000.000,,
ComprehensiveIncomeNetOfTaxAttributableToNoncontrollingInterest,,,,,,,151000.000,47000.000
ComprehensiveIncomeNetOfTaxIncludingPortionAttributableToNoncontrollingInterest,,,,16412000.000,,-1740000.000,5461000.000,15709000.000
CostsAndExpenses,110209000.000,70280000.000,94062000.000,,,88640000.000,119374000.000,126818000.000
CurrentIncomeTaxExpenseBenefit,6379000.000,,,,,,,
DeferredIncomeTaxExpenseBenefit,,98000.000,,,,-907000.000,,
Depreciation,3700000.000,3100000.000,3000000.000,3900000.000,4700000.000,4900000.000,5000000.000,4800000.000
DepreciationDepletionAndAmortization,,,3613000.000,4784000.000,,6123000.000,6003000.000,5686000.000
DilutedEarningsPerShareProForma,-2.360,0.000,,,,,,
EarningsPerShareBasic,,,-0.500,0.940,,-0.080,0.310,0.860
EarningsPerShareDiluted,,,-0.500,0.600,,-0.080,0.200,0.580
EffectOfExchangeRateOnCashAndCashEquivalents,,,,,,-499000.000,,
EffectiveIncomeTaxRateContinuingOperations,,0.430,,,,0.396,,
EffectiveIncomeTaxRateReconciliationAtFederalStatutoryIncomeTaxRate,,0.350,,,,0.350,,
GainLossOnDispositionOfAssets1,-222000.000,7000.000,-21000.000,11909000.000,134000.000,366000.000,-1079000.000,426000.000
GainsLossesOnExtinguishmentOfDebt,,,-30017000.000,-288000.000,,,427000.000,0.000
GeneralAndAdministrativeExpense,6487000.000,5240000.000,6603000.000,6106000.000,7462000.000,5557000.000,6313000.000,6450000.000
GoodwillAcquiredDuringPeriod,,3173000.000,,,,,,
GoodwillImpairmentLoss,,,,,,,0.000,0.000
IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,-27205000.000,229000.000,-14845000.000,27998000.000,4788000.000,-2290000.000,9285000.000,26356000.000
IncomeTaxExpenseBenefit,6379000.000,98000.000,-6111000.000,11543000.000,2394000.000,-907000.000,3683000.000,10493000.000
IncomeTaxesPaidNet,,182000.000,,,,435000.000,,
IncreaseDecreaseInAccountsPayable,,329000.000,,,,-2871000.000,,
IncreaseDecreaseInAccountsReceivable,,-8584000.000,,,,-6353000.000,,
IncreaseDecreaseInAccruedLiabilities,,-830000.000,,,,-1460000.000,,
IncreaseDecreaseInInterestPayableNet,,9678000.000,,,,4853000.000,,
IncreaseDecreaseInOtherNoncurrentLiabilities,,10000.000,,,,-277000.000,,
IncreaseDecreaseInPrepaidDeferredExpenseAndOtherAssets,,1474000.000,,,,7332000.000,,
InterestExpense,11708000.000,10561000.000,8246000.000,8527000.000,8645000.000,8565000.000,8881000.000,8294000.000
InterestPaid,,719000.000,,,,3323000.000,,
MinorityInterestDecreaseFromDistributionsToNoncontrollingInterestHolders,,23000.000,,,,29000.000,,
NetCashProvidedByUsedInFinancingActivities,,-445000.000,,,,-717000.000,,
NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,,-445000.000,,,,-717000.000,,
NetCashProvidedByUsedInInvestingActivities,,-5785000.000,,,,-5203000.000,,
NetCashProvidedByUsedInInvestingActivitiesContinuingOperations,,-5785000.000,,,,-5203000.000,,
NetCashProvidedByUsedInOperatingActivities,,19981000.000,,,,3941000.000,,
NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,,19981000.000,,,,3941000.000,,
NetIncomeLoss,,96000.000,-9132000.000,16454000.000,2412000.000,-1461000.000,5451000.000,15816000.000
NetIncomeLossAttributableToNoncontrollingInterest,,35000.000,398000.000,1000.000,-850000.000,78000.000,151000.000,47000.000
OperatingIncomeLoss,-15462000.000,10838000.000,23454000.000,36846000.000,13593000.000,5792000.000,17783000.000,38938000.000
OperatingLeasesRentExpenseNet,3800000.000,4000000.000,4800000.000,5900000.000,4500000.000,4800000.000,5600000.000,8100000.000
OtherComprehensiveIncomeLossForeignCurrencyTransactionAndTranslationAdjustmentBeforeTax,,,,-74000.000,,,,
OtherComprehensiveIncomeLossForeignCurrencyTransactionAndTranslationAdjustmentNetOfTax,,,,,,-357000.000,10000.000,-107000.000
OtherComprehensiveIncomeLossNetOfTax,,,,-43000.000,,-357000.000,5612000.000,15756000.000
OtherComprehensiveIncomeLossTax,,,,-31000.000,,,,
OtherNonoperatingExpense,35000.000,48000.000,36000.000,33000.000,160000.000,-483000.000,,
OtherNonoperatingIncomeExpense,,,,,,,-44000.000,-52000.000
PaidInKindInterest,,0.000,,,,-34000.000,,
PaymentsOfCapitalDistribution,,23000.000,,,,29000.000,,
PaymentsOfFinancingCosts,,0.000,,,,,,
PaymentsOfStockIssuanceCosts,,99000.000,,,,0.000,,
PaymentsToAcquireBusinessesNetOfCashAcquired,,2673000.000,,,,0.000,,
PaymentsToAcquireIntangibleAssets,,32000.000,,,,0.000,,
PaymentsToAcquirePropertyPlantAndEquipment,,3133000.000,,,,6496000.000,,
ProFormaWeightedAverageSharesOutstandingDiluted,14209000.000,33767000.000,,,,,,
ProceedsFromInsuranceSettlementInvestingActivities,,,,,,451000.000,,
ProceedsFromSalesOfAssetsInvestingActivities,,53000.000,,,,842000.000,,
ProfitLoss,-33584000.000,131000.000,-8734000.000,16455000.000,2394000.000,-1383000.000,5602000.000,15863000.000
ProvisionForDoubtfulAccounts,,-360000.000,,,,610000.000,,
RepaymentsOfBankDebt,,284000.000,,,,646000.000,,
RepaymentsOfLongTermCapitalLeaseObligations,,39000.000,,,,42000.000,,
Revenues,94747000.000,81118000.000,117516000.000,129568000.000,113020000.000,94432000.000,137157000.000,165756000.000
SalesRevenueNet,94747000.000,81118000.000,117516000.000,129568000.000,113020000.000,94432000.000,137157000.000,165756000.000
ShareBasedCompensation,37580000.000,0.000,1403000.000,2875000.000,,252000.000,,
ShareBasedCompensationArrangementByShareBasedPaymentAwardFairValueAssumptionsExpectedDividendRate,,0.000,,,,0.000,,
ShareBasedCompensationArrangementByShareBasedPaymentAwardFairValueAssumptionsExpectedVolatilityRate,,0.400,,,,0.300,,
ShareBasedCompensationArrangementByShareBasedPaymentAwardFairValueAssumptionsRiskFreeInterestRate,,0.020,,,,,,
ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsForfeituresInPeriod,,40412.000,,,,157620.000,,
ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsGrantsInPeriodGross,,0.000,,,,1600000.000,,
ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsGrantsInPeriodWeightedAverageGrantDateFairValue,,,,,,2.980,,
ShareBasedCompensationArrangementsByShareBasedPaymentAwardOptionsExercisesInPeriodWeightedAverageExercisePrice,,,,,,0.000,,
ShareBasedCompensationArrangementsByShareBasedPaymentAwardOptionsForfeituresInPeriodWeightedAverageExercisePrice,,11.000,,,,11.000,,
ShareBasedCompensationArrangementsByShareBasedPaymentAwardOptionsGrantsInPeriodWeightedAverageExercisePrice,,0.000,,,,8.960,,
StockIssuedDuringPeriodSharesStockOptionsExercised,,,,,,0.000,,
StockIssuedDuringPeriodValueShareBasedCompensation,,,,,,252000.000,,
WeightedAverageBasicSharesOutstandingProForma,14209000.000,17374000.000,,,,,,
WeightedAverageNumberDilutedSharesOutstandingAdjustment,0.000,,0.000,10078000.000,,0.000,9073000.000,8977000.000
WeightedAverageNumberOfDilutedSharesOutstanding,,,17374000.000,27610000.000,,17863000.000,27438000.000,27372000.000
WeightedAverageNumberOfSharesOutstandingBasic,,,17374000.000,17532000.000,,17863000.000,18365000.000,18395000.000
