,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30
AccountsPayableCurrentAndNoncurrent,25957225.000,29523570.000,44275965.000,35389393.000,44364975.000,55142928.000,44578699.000,52640327.000,45033491.000,59400262.000,42182920.000,58336793.000,60086286.000,75845987.000,61863875.000,64718728.000,55911226.000
AccountsReceivableGross,,,,,,27475671.000,,,,41753380.000,41520801.000,39655946.000,36818113.000,33621250.000,23925973.000,17969476.000,11585972.000
AccountsReceivableGrossCurrent,,,,,,,36390609.000,50723887.000,38001926.000,,,,,,,,
AccountsReceivableNet,11645849.000,13910436.000,20253706.000,21275060.000,15338313.000,26897958.000,35811101.000,50137448.000,37413820.000,41158998.000,40941976.000,39075926.000,36231894.000,33041324.000,23345523.000,17389120.000,11019825.000
AccountsReceivableNetCurrent,,,,,,,35811101.000,50137448.000,37413820.000,,,,,,,,
AccrualForTaxesOtherThanIncomeTaxesCurrentAndNoncurrent,,,,,,,,,,7139870.000,7931818.000,9751086.000,10727679.000,9318119.000,10920606.000,12102802.000,12052931.000
AccruedIncomeTaxes,,,,,,,,,,24534095.000,23331748.000,23310900.000,23945300.000,24280260.000,23238664.000,23679325.000,22850472.000
AccruedLiabilitiesAndOtherLiabilities,,,,,,,,,,17439541.000,15675466.000,16544275.000,14831813.000,21842922.000,23709953.000,26076029.000,30254562.000
AccruedLiabilitiesCurrentAndNoncurrent,3025094.000,2307947.000,8380041.000,7688639.000,11973368.000,22229514.000,27886201.000,17467815.000,13985716.000,14071352.000,10734928.000,11741647.000,11357420.000,18625788.000,16443867.000,19872554.000,21941739.000
AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment,,,,,7687947.000,6488730.000,6992923.000,7899951.000,8555240.000,8368976.000,8101763.000,8723818.000,9453676.000,10007276.000,10654024.000,11236725.000,11430015.000
AccumulatedOtherComprehensiveIncomeLossNetOfTax,17542687.000,19650021.000,22121194.000,22014781.000,22555106.000,24552233.000,25372281.000,28421330.000,25637239.000,28107889.000,21596226.000,22109624.000,24892176.000,22236176.000,22850341.000,22876550.000,17809625.000
