,2011-02-27,2011-05-29,2011-08-28
AdjustmentForAmortization,10000.000,,
AllocatedShareBasedCompensationExpense,,,324000.000
AntidilutiveSecuritiesExcludedFromComputationOfEarningsPerShareAmount,,,3802.000
CashAndCashEquivalentsPeriodIncreaseDecrease,-44533000.000,,
CommonStockDividendsPerShareDeclared,0.300,0.300,0.300
ComprehensiveIncomeNetOfTaxIncludingPortionAttributableToNoncontrollingInterest,,,5821000.000
CostOfGoodsSold,89474000.000,109247000.000,117502000.000
Depreciation,6656000.000,,
EarningsPerShareBasic,-0.470,0.110,0.440
EarningsPerShareDiluted,-0.470,0.110,0.440
EffectOfExchangeRateOnCashAndCashEquivalents,2644000.000,,
EmployeeServiceShareBasedCompensationAllocationOfRecognizedPeriodCostsCapitalizedAmount,,,0.000
EmployeeServiceShareBasedCompensationTaxBenefitFromCompensationExpense,,,126000.000
GainLossOnSaleOfPropertyPlantEquipment,-39000.000,,
GrossProfit,20345000.000,25479000.000,28966000.000
IncomeLossFromContinuingOperationsBeforeIncomeTaxesMinorityInterestAndIncomeLossFromEquityMethodInvestments,-5510000.000,1360000.000,2254000.000
IncomeLossFromContinuingOperationsIncludingPortionAttributableToNoncontrollingInterest,-4329000.000,989000.000,3997000.000
IncomeLossFromEquityMethodInvestments,0.000,0.000,0.000
IncomeLossFromEquityMethodInvestmentsNetOfDividendsOrDistributions,0.000,,
IncomeTaxExpenseBenefit,-1181000.000,371000.000,-1743000.000
IncreaseDecreaseInAccountsPayable,1304000.000,,
IncreaseDecreaseInInventories,3070000.000,,
IncreaseDecreaseInOtherOperatingAssets,-1704000.000,,
IncreaseDecreaseInPrepaidDeferredExpenseAndOtherAssets,4694000.000,,
IncreaseDecreaseInReceivables,-6007000.000,,
NetCashProvidedByUsedInFinancingActivities,-12844000.000,,
NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,-12844000.000,,
NetCashProvidedByUsedInInvestingActivities,-6204000.000,,
NetCashProvidedByUsedInInvestingActivitiesContinuingOperations,-6204000.000,,
NetCashProvidedByUsedInOperatingActivities,-28129000.000,,
NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,-28129000.000,,
NetIncomeLossAvailableToCommonStockholdersBasic,,,3984000.000
NetIncomeLossAvailableToCommonStockholdersDiluted,,,3982000.000
OperatingIncomeLoss,-5165000.000,1633000.000,2490000.000
OtherComprehensiveIncomeForeignCurrencyTransactionAndTranslationAdjustmentNetOfTaxPeriodIncreaseDecrease,,,1824000.000
OtherOperatingIncome,270000.000,3980000.000,1631000.000
PaymentsForRepurchaseOfCommonStock,10280000.000,,
PaymentsOfDividendsCommonStock,2775000.000,,
PaymentsToAcquirePropertyPlantAndEquipment,6227000.000,,
ProceedsFromIssuanceOfCommonStock,41000.000,,
ProceedsFromIssuanceOfLongTermDebt,170000.000,,
ProceedsFromPaymentsForLongTermLoansForRelatedParties,0.000,,
ProceedsFromSaleOfPropertyPlantAndEquipment,23000.000,,
ProfitLoss,-4329000.000,989000.000,3997000.000
SalesRevenueGoodsNet,109819000.000,134726000.000,146468000.000
SellingGeneralAndAdministrativeExpense,25780000.000,27826000.000,28107000.000
ShareBasedCompensation,232000.000,,
WeightedAverageNumberDilutedSharesOutstandingAdjustment,,,17244.000
WeightedAverageNumberOfDilutedSharesOutstanding,9199329.000,9066207.000,9042321.000
WeightedAverageNumberOfSharesOutstandingBasic,9199329.000,9056284.000,9025077.000
