,2014-09-30
AccountsPayableAndAccruedLiabilitiesCurrentAndNoncurrent,17670000.000
AccountsReceivableNet,10776000.000
AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment,11896000.000
AdditionalPaidInCapital,61988000.000
AllowanceForDoubtfulAccountsReceivableCurrent,1307000.000
Assets,203186000.000
AssetsFairValueDisclosureNonrecurring,1731000.000
CapitalLeaseObligations,467000.000
CashAndCashEquivalentsAtCarryingValue,4402000.000
CommonStockParOrStatedValuePerShare,0.020
CommonStockSharesAuthorized,54000000.000
CommonStockSharesHeldInEmployeeTrustShares,17000.000
CommonStockSharesIssued,7551000.000
CommonStockSharesOutstanding,7489000.000
CommonStockValue,151000.000
DeferredFinanceCostsNet,279000.000
DeferredRevenue,1347000.000
DeferredTaxAssetsLiabilitiesNet,4487000.000
FinancingReceivableAllowanceForCreditLossesCollectivelyEvaluatedForImpairment,194000.000
FinancingReceivableAllowanceForCreditLossesIndividuallyEvaluatedForImpairment1,835000.000
FinancingReceivableCollectivelyEvaluatedForImpairment,8624000.000
FinancingReceivableIndividuallyEvaluatedForImpairment,2015000.000
FinancingReceivableRecordedInvestmentNonaccrualStatus,9667000.000
FiniteLivedIntangibleAssetsAccumulatedAmortization,2317000.000
Goodwill,12092000.000
HeldToMaturitySecurities,8944000.000
HeldToMaturitySecuritiesFairValue,102828000.000
ImpairedFinancingReceivableRelatedAllowance,835000.000
IntangibleAssetsNetExcludingGoodwill,1330000.000
Liabilities,119953000.000
LiabilitiesAndStockholdersEquity,203186000.000
LoansAndLeasesReceivableAllowance,1029000.000
LoansAndLeasesReceivableGrossCarryingAmount,10639000.000
LoansReceivableHeldForSaleNet,3426000.000
LongtermDebtWeightedAverageInterestRate,0.017
MinorityInterest,1537000.000
NotesAndLoansPayable,97909000.000
NotesPayable,52319000.000
NotesPayableToBank,45590000.000
NotesReceivableNet,10639000.000
PayablesToCustomers,673000.000
PreferredStockParOrStatedValuePerShare,0.020
PreferredStockSharesAuthorized,1000000.000
PreferredStockSharesIssued,0.000
PreferredStockSharesOutstanding,0.000
PrepaidExpenseAndOtherAssets,14417000.000
PrincipalAmountOutstandingOnLoansManagedAndSecuritized,499965000.000
PropertyPlantAndEquipmentNet,3437000.000
ReceivablesFromBrokersDealersAndClearingOrganizations,10727000.000
RestrictedCashAndCashEquivalentsAtCarryingValue,15465000.000
RetainedEarningsAccumulatedDeficit,19967000.000
ServicingAssetAtAmortizedValue,8295000.000
ServicingAssetAtAmortizedValueFairValue,9657000.000
StockholdersEquity,81696000.000
StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,83233000.000
TreasuryStockShares,62000.000
TreasuryStockValue,410000.000
