,2011-06-30,2011-09-30,2012-03-31,2012-09-30,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30
AllowanceForDoubtfulAccountsReceivablePeriodIncreaseDecrease,,,,,-22300.000,,,,,,,,,,,,,,
AmortizationOfFinancingCosts,,,,11300.000,11300.000,11300.000,33800.000,-11400.000,11300.000,11300.000,11300.000,11100.000,11300.000,,,,11300.000,,
CashAndCashEquivalentsPeriodIncreaseDecrease,,,-156600.000,,-86900.000,,,,-279800.000,,,,-108500.000,,,,-76700.000,,
ComprehensiveIncomeNetOfTax,207900.000,471400.000,-141400.000,29700.000,-201600.000,-73300.000,-138600.000,-456100.000,-480000.000,-165900.000,137200.000,-990300.000,-646800.000,-115700.000,7600.000,-375400.000,-632400.000,-222600.000,-469100.000
CostOfGoodsAndServicesSold,7560900.000,7496400.000,6805100.000,,,,,,,,,,,,,,,,
CostOfGoodsSold,,,,7315200.000,5967900.000,6954200.000,6595700.000,6252500.000,5521700.000,6121900.000,6240300.000,5551200.000,4598500.000,5649200.000,5620700.000,5539100.000,4878800.000,5170600.000,4638500.000
DebtInstrumentConvertibleInterestExpense,,,,22900.000,,,,,,,,,,,,,,,
DepreciationAndAmortization,,,,,259500.000,,,,272900.000,,,,284700.000,,,,283600.000,,
DepreciationDepletionAndAmortization,,,259300.000,,259500.000,,,,272900.000,,,,284700.000,,,,283600.000,,
EarningsPerShareBasic,,0.030,,0.010,-0.030,-0.010,0.000,-0.030,-0.040,-0.010,0.010,-0.080,-0.050,-0.010,0.000,-0.030,-0.050,-0.020,-0.040
EarningsPerShareBasicAndDiluted,0.020,,0.000,,-0.030,,0.000,,-0.040,,0.010,,-0.050,,,,-0.050,,
EarningsPerShareDiluted,,0.030,,0.010,-0.030,-0.010,0.000,-0.030,-0.040,-0.010,0.010,-0.080,-0.050,-0.010,0.000,-0.030,-0.050,-0.020,-0.040
EffectOfExchangeRateOnCashAndCashEquivalents,,,-20700.000,,35400.000,,,,-7100.000,,,,19000.000,,,,5200.000,,
EffectiveIncomeTaxRateReconciliationAtFederalStatutoryIncomeTaxRate,,,,,,,,,0.350,,,,,,,,,,
ExciseAndSalesTaxes,,,,236100.000,162600.000,204200.000,224500.000,191000.000,136700.000,166500.000,179800.000,132700.000,113200.000,126200.000,140100.000,128700.000,110100.000,127600.000,136300.000
GainLossOnSaleOfOtherAssets,,,,,,,,,-11100.000,,,,,,,,,,
GainLossOnSaleOfPropertyPlantEquipment,0.000,0.000,4300.000,,,,,,11100.000,5200.000,600.000,2700.000,,,,,,,
GeneralAndAdministrativeExpense,1051900.000,1022000.000,1081200.000,1088200.000,1267200.000,1104700.000,1076500.000,1250800.000,1120300.000,1145100.000,1202200.000,2168500.000,1211600.000,1003700.000,1111600.000,1213300.000,1217000.000,1275900.000,1220700.000
GrossProfit,2871000.000,2935200.000,2624800.000,2726400.000,2266900.000,2557400.000,2595300.000,2446000.000,2328300.000,2790800.000,2919800.000,2565200.000,2095600.000,2489400.000,2778500.000,2412700.000,1922100.000,2482300.000,2193400.000
IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,205400.000,390500.000,-46000.000,104700.000,-349200.000,-69100.000,-19700.000,-434800.000,-468600.000,-137000.000,82800.000,-1016700.000,-670100.000,-85700.000,9600.000,-398500.000,-637100.000,-224300.000,-472000.000
IncomeTaxExpenseBenefit,0.000,0.000,800.000,900.000,5000.000,,,,,,,,3800.000,,,,,1600.000,
IncomeTaxesPaid,,,800.000,,,,,,,,,,,,,,,,
IncomeTaxesPaidNet,,,,,5000.000,,,,,,,,3800.000,,,,,,
IncreaseDecreaseInAccountsPayable,,,-683600.000,,-279500.000,,,,-563400.000,,,,-345400.000,,,,-35000.000,,
IncreaseDecreaseInAccountsReceivable,,,-360800.000,,834700.000,,,,238400.000,,,,-643200.000,,,,-442400.000,,
IncreaseDecreaseInAccruedInterestReceivableNet,,,,,,,,,,,,,,,,,-49600.000,,
IncreaseDecreaseInAccruedLiabilities,,,-138700.000,,1000.000,,,,239200.000,,,,-365300.000,,,,186100.000,,
IncreaseDecreaseInDepositOtherAssets,,,,,-46800.000,,,,57700.000,,,,131400.000,,,,96900.000,,
IncreaseDecreaseInInventories,,,139000.000,,-185700.000,,,,-56100.000,,,,-330400.000,,,,-80800.000,,
IncreaseDecreaseInNotesPayableRelatedParties,,,,,,,,,,,,,37800.000,,,,,,
IncreaseDecreaseInPrepaidExpense,,,-120100.000,,49200.000,,,,14100.000,,,,257900.000,,,,-118600.000,,
IncrementalCommonSharesAttributableToConversionOfDebtSecurities,,,,2272681.000,,,,,,,2395043.000,,,,2456224.000,,,,
InterestExpense,114300.000,115500.000,116300.000,112200.000,111200.000,120100.000,135500.000,210300.000,161700.000,189400.000,177500.000,158100.000,154300.000,154800.000,153200.000,142700.000,143100.000,145800.000,159200.000
InterestExpenseDebt,,,,,,,,,,,22900.000,,,,22900.000,,,,
InterestExpenseRelatedParty,,,22700.000,,22400.000,,,,27000.000,,,,,,,,,,
InterestPaid,,,93600.000,,88800.000,,,,134700.000,,,,116500.000,,,,93500.000,,
MarketingAndAdvertisingExpense,,,,1425200.000,1241000.000,1410300.000,1409400.000,1371300.000,1527900.000,1607300.000,1479300.000,1272700.000,1402900.000,1457100.000,1511500.000,1517100.000,1202800.000,1293000.000,1286900.000
MarketingExpense,1504700.000,1416200.000,1481100.000,,,,,,,,,,,,,,,,
NetCashProvidedByUsedInFinancingActivities,,,247500.000,,-116400.000,,,,131500.000,,,,421800.000,,,,-405800.000,,
NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,,,247500.000,,-116400.000,,,,131500.000,,,,421800.000,,,,-405800.000,,
NetCashProvidedByUsedInInvestingActivities,,,-121600.000,,-284200.000,,,,-145700.000,,,,-70800.000,,,,-82200.000,,
NetCashProvidedByUsedInInvestingActivitiesContinuingOperations,,,-121600.000,,-284200.000,,,,-145700.000,,,,-70800.000,,,,-82200.000,,
NetCashProvidedByUsedInOperatingActivities,,,-261800.000,,278300.000,,,,-258500.000,,,,-478500.000,,,,406100.000,,
NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,,,-261800.000,,278300.000,,,,-258500.000,,,,-478500.000,,,,406100.000,,
NetIncomeLoss,205400.000,390500.000,-46800.000,103800.000,-354200.000,-69100.000,-19700.000,-433900.000,-468600.000,-137000.000,82800.000,-1016700.000,-673900.000,-85700.000,9600.000,-398500.000,-637100.000,-225900.000,-472000.000
NonoperatingIncomeExpense,,,-108500.000,,,,,,,,,,,,,,,,
OperatingExpenses,2556600.000,2438200.000,2562300.000,2513400.000,2508200.000,2515000.000,2485900.000,2622100.000,2648200.000,2752400.000,2681500.000,3441200.000,2614500.000,2460800.000,2623100.000,2730400.000,2419800.000,2568900.000,2507600.000
OperatingIncomeLoss,314400.000,497000.000,62500.000,213000.000,-241300.000,42400.000,109400.000,-176100.000,-319900.000,38400.000,238300.000,-876000.000,-518900.000,28600.000,155400.000,-317700.000,-497700.000,-86600.000,-314200.000
OtherComprehensiveIncomeForeignCurrencyTransactionAndTranslationAdjustmentNetOfTaxPeriodIncreaseDecrease,,,-94600.000,,,,,,,,,,,,,,,,
OtherComprehensiveIncomeForeignCurrencyTransactionAndTranslationAdjustmentNetOfTaxPortionAttributableToParent,2500.000,80900.000,,,,,,,,,,,,,,,,,
OtherComprehensiveIncomeLossForeignCurrencyTransactionAndTranslationAdjustmentNetOfTax,,,,-74100.000,152600.000,-4200.000,-118900.000,-22200.000,-11400.000,-28900.000,54400.000,26400.000,27100.000,-30000.000,-2000.000,23100.000,4700.000,3300.000,2900.000
OtherIncome,,,,3900.000,,,,,,,,,,,,,,,
OtherNonoperatingIncome,5300.000,9000.000,3500.000,,3300.000,8600.000,6400.000,26200.000,1900.000,8800.000,21400.000,14700.000,3100.000,40500.000,7400.000,61900.000,3700.000,8100.000,1400.000
OtherNonoperatingIncomeExpense,,,,-108300.000,-107900.000,-111500.000,-129100.000,-258700.000,-148700.000,-175400.000,-155500.000,-140700.000,-151200.000,-114300.000,-145800.000,-80800.000,-139400.000,-137700.000,-157800.000
OtherOperatingIncomeExpenseNet,,,,,,,,,,,,,,,,,-3700.000,8100.000,1400.000
PaymentsForLegalSettlements,,,,,,,,,,,,,500000.000,,,,500000.000,,
PaymentsToAcquirePropertyPlantAndEquipment,,,128800.000,,284200.000,,,,156800.000,,,,70800.000,,,,82200.000,,
ProceedsFromLongTermLinesOfCredit,,,,,539700.000,,,,500000.000,,,,,,,,,,
ProceedsFromNotesPayable,,,,,,,,,,,,,,,,,400000.000,,
ProceedsFromRelatedPartyDebt,,,,,,,,,,,,,500000.000,,,,1000000.000,,
ProceedsFromRepaymentsOfLinesOfCredit,,,371300.000,,-529900.000,,,,-95600.000,,,,183000.000,,,,-547600.000,,
ProceedsFromSaleOfPropertyPlantAndEquipment,,,7200.000,,,,,,11100.000,,,,,,,,,,
ProceedsFromShortTermDebt,,,,,,,,,,,,,,,,,400000.000,,
ProvisionForDoubtfulAccounts,,,16100.000,,,,,,-8600.000,,,,-700.000,,,,-1700.000,,
RelatedPartyTransactionPurchasesFromRelatedParty,,,,,3213600.000,,,,,,,,,,,,,,
RepaymentOfNotesReceivableFromRelatedParties,,,,,,,,,-137900.000,,,,-126200.000,,,,-119300.000,,
RepaymentsOfLongTermCapitalLeaseObligations,,,17900.000,,3100.000,,,,1300.000,,,,1300.000,,,,5200.000,,
RepaymentsOfLongTermDebt,,,,,123100.000,,,,133700.000,,,,133700.000,,,,133700.000,,
RepaymentsOfMediumTermNotes,,,105900.000,,,,,,,,,,,,,,,,
Revenues,10431900.000,10431600.000,9429900.000,,8234800.000,,,,7850000.000,,,,6694100.000,,,,2592300.000,2953000.000,2746700.000
SalesRevenueGoodsGross,,,,10277700.000,8397400.000,9715800.000,9415500.000,8889500.000,7986700.000,9079200.000,9339900.000,8249100.000,6807300.000,8264800.000,8539300.000,8080500.000,6911000.000,7780500.000,6968200.000
SalesRevenueGoodsNet,,,,10041600.000,8234800.000,9511600.000,9191000.000,8698500.000,7850000.000,8912700.000,9160100.000,8116400.000,6694100.000,8138600.000,8399200.000,7951800.000,6800900.000,7652900.000,6831900.000
SalesRevenueNet,10431900.000,10431600.000,9429900.000,,8234800.000,,,,7850000.000,,,,6694100.000,,,,6911000.000,2953000.000,2746700.000
WeightedAverageNumberDilutedSharesOutstandingAdjustment,,,,14883814.000,12611133.000,12611133.000,12611133.000,-25222266.000,12611133.000,12611133.000,15006176.000,-27617309.000,12611133.000,12611133.000,15067357.000,-27678490.000,12611133.000,12611133.000,12611133.000
WeightedAverageNumberOfDilutedSharesOutstanding,14607173.000,14673325.000,,14883814.000,,12611133.000,12611133.000,,,12611133.000,15006176.000,,,12611133.000,15067357.000,,,12611133.000,12611133.000
WeightedAverageNumberOfShareOutstandingBasicAndDiluted,,,,,12611133.000,,,,12611133.000,,,,12611133.000,,,,12611133.000,,
WeightedAverageNumberOfSharesOutstandingBasic,12427262.000,12461993.000,,12611133.000,12611133.000,12611133.000,12611133.000,-25222266.000,12611133.000,12611133.000,12611133.000,-25222266.000,12611133.000,12611133.000,12611133.000,-25222266.000,12611133.000,12611133.000,12611133.000
