,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30
AccountsAndNotesReceivableNet,,,,,,,1343000.000,,,,,,,,,,,
AccountsPayableCurrent,175000.000,192000.000,243000.000,129000.000,84000.000,221000.000,76000.000,244000.000,188000.000,191000.000,190000.000,188000.000,227000.000,188000.000,229000.000,279000.000,323000.000,326000.000
AccountsPayableRelatedPartiesCurrent,,,0.000,,,,,,,,,,,,88000.000,,,
AccountsReceivableNetCurrent,108000.000,41000.000,54000.000,12000.000,13000.000,11000.000,28000.000,21000.000,,8000.000,,,,,,,,
AccruedLiabilitiesCurrent,633000.000,1442000.000,560000.000,481000.000,527000.000,575000.000,630000.000,695000.000,458000.000,447000.000,527000.000,692000.000,638000.000,728000.000,837000.000,872000.000,936000.000,1030000.000
AdditionalPaidInCapital,62317000.000,11462000.000,11811000.000,11814000.000,11818000.000,11821000.000,11823000.000,11825000.000,11826000.000,11828000.000,11828000.000,11829000.000,11830000.000,11830000.000,11830000.000,11830000.000,11830000.000,11830000.000
AllowanceForDoubtfulAccountsReceivableCurrent,5000.000,,,,,,,,,,,,,,,,,
Assets,276000.000,1604000.000,644000.000,457000.000,433000.000,387000.000,356000.000,318000.000,161000.000,208000.000,155000.000,142000.000,73000.000,70000.000,106000.000,86000.000,49000.000,39000.000
AssetsCurrent,274000.000,1371000.000,416000.000,234000.000,215000.000,174000.000,148000.000,114000.000,123000.000,171000.000,119000.000,107000.000,39000.000,37000.000,73000.000,54000.000,18000.000,9000.000
BusinessAcquisitionPercentageOfVotingInterestsAcquired,,,,,,,1.000,,,,,,,,,,,
BusinessAcquisitionPurchasePriceAllocationCurrentAssetsInventory,,,,,76000.000,76000.000,76000.000,,,,,,,,,,,
BusinessAcquisitionPurchasePriceAllocationCurrentAssetsReceivables,,,,,101000.000,101000.000,101000.000,,,,,,,,,,,
BusinessAcquisitionPurchasePriceAllocationGoodwillAmount,,,,,8127000.000,8127000.000,8127000.000,,,,,,,,,,,
BusinessAcquisitionPurchasePriceAllocationLiabilitiesAssumed,,,,,2321000.000,2321000.000,2321000.000,,,,,,,,,,,
BusinessAcquisitionPurchasePriceAllocationOtherNoncurrentAssets,,,,,37000.000,37000.000,37000.000,,,,,,,,,,,
BusinessAcquisitionSharePrice,,,,,,,0.050,,,,0.050,,,,,,,
BusinessCombinationConsiderationTransferredIncludingEquityInterestInAcquireeHeldPriorToCombination,,,,,6020000.000,6020000.000,,,,,,,,,,,,
BusinessCombinationRecognizedIdentifiableAssetsAcquiredAndLiabilitiesAssumedNet,,,,,-2107000.000,-2107000.000,-2107000.000,,,,,,,,,,,
BusinessCombinationRecognizedIdentifiableAssetsAcquiredGoodwillAndLiabilitiesAssumedNet,,,,,6020000.000,6020000.000,6020000.000,,,,,,,,,,,
Cash,,,196000.000,64000.000,96000.000,15000.000,9000.000,3000.000,68000.000,51000.000,44000.000,66000.000,,,26000.000,,,
CashAndCashEquivalentsAtCarryingValue,54000.000,956000.000,196000.000,64000.000,96000.000,15000.000,9000.000,3000.000,68000.000,51000.000,44000.000,66000.000,21000.000,23000.000,26000.000,21000.000,,4000.000
CashFDICInsuredAmount,,,,,,,,,,,,,,250000.000,250000.000,250000.000,250000.000,250000.000
ClassOfWarrantOrRightExercisePriceOfWarrantsOrRights1,,,,,,,,,,,,,,0.055,,0.055,0.055,0.055
CommonStockCapitalSharesReservedForFutureIssuance,,,,,25000000.000,25000000.000,,,,,,,,,,,,
CommonStockParOrStatedValuePerShare,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
CommonStockSharesAuthorized,150000000.000,1000000000.000,1000000.000,1000000000.000,1000000.000,1000000.000,1000000.000,1000000.000,1000000.000,1000000000.000,1000000.000,1000000.000,1000000.000,1000000000.000,1000000.000,1000000000.000,1000000000.000,1000000000.000
CommonStockSharesIssued,110840000.000,662161.000,667161.000,667161000.000,667161.000,667161.000,667162.000,667162.000,667162.000,667162000.000,667162.000,667162.000,667162.000,667162000.000,667161.000,667161000.000,667161000.000,667161000.000
CommonStockSharesOutstanding,110840000.000,662161.000,667161.000,667161000.000,667161.000,667161.000,667162.000,667162.000,667162.000,667162000.000,667162.000,667162.000,667162.000,667162000.000,667161.000,667161000.000,667161000.000,667161000.000
