,2011-12-31,2013-12-31,2014-12-31,2015-12-31,2016-12-31
AmortizationOfDebtDiscountPremium,,,,,1007000.000
AmortizationOfFinancingCosts,4086000.000,3874000.000,5376000.000,9075000.000,21041000.000
AmortizationOfIntangibleAssets,42107000.000,34651000.000,42695000.000,101435000.000,65425000.000
AntidilutiveSecuritiesExcludedFromComputationOfEarningsPerShareAmount,,,,4619253.000,4177097.000
CapitalExpendituresIncurredButNotYetPaid,767000.000,13950000.000,8122000.000,23396000.000,28288000.000
CapitalLeaseObligationsIncurred,2663000.000,1320000.000,3744000.000,398000.000,0.000
CashAndCashEquivalentsPeriodIncreaseDecrease,-1777000.000,91997000.000,-185359000.000,-25620000.000,22373000.000
CommonStockDividendsPerShareDeclared,0.800,3.350,3.888,4.460,5.050
ComprehensiveIncomeNetOfTax,25743000.000,43610000.000,1028923000.000,-110282000.000,155305000.000
ComprehensiveIncomeNetOfTaxAttributableToNoncontrollingInterest,2709000.000,-2743000.000,-4633000.000,-9147000.000,-78000.000
ComprehensiveIncomeNetOfTaxIncludingPortionAttributableToNoncontrollingInterest,28452000.000,40867000.000,1024290000.000,-119429000.000,155227000.000
CostOfGoodsSold,437049000.000,454761000.000,192881000.000,168954000.000,142731000.000
CostOfServices,52744000.000,47760000.000,546609000.000,551029000.000,524423000.000
CostsAndExpenses,901611000.000,995380000.000,1316611000.000,1698575000.000,1330590000.000
CurrentFederalTaxExpenseBenefit,,150000.000,463000.000,-6884000.000,0.000
CurrentIncomeTaxExpenseBenefit,,4734000.000,2597000.000,-6427000.000,7310000.000
CurrentStateAndLocalTaxExpenseBenefit,,4584000.000,2134000.000,457000.000,7310000.000
DebtConversionOriginalDebtAmount1,,,60360000.000,0.000,0.000
DebtIssuanceCostsIncurredDuringNoncashOrPartialNoncashTransaction,,479000.000,112000.000,3000.000,3000.000
DeferredFederalIncomeTaxExpenseBenefit,,12900000.000,-23339000.000,-46744000.000,79796000.000
DeferredIncomeTaxExpenseBenefit,19209000.000,13295000.000,-27942000.000,-58734000.000,63947000.000
DeferredStateAndLocalIncomeTaxExpenseBenefit,,-2638000.000,-1435000.000,-14348000.000,-1185000.000
DefinedBenefitPlanActualReturnOnPlanAssets,,,,-772000.000,8022000.000
DefinedBenefitPlanActuarialGainLoss,,,,-17486000.000,-11826000.000
DefinedBenefitPlanAmortizationOfGainsLosses,,,,318000.000,-945000.000
DefinedBenefitPlanAmortizationOfPriorServiceCostCredit,,,,-83000.000,-15000.000
