,2014-09-30,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30
AccretionAmortizationOfDiscountsAndPremiumsInvestments,,-160000.000,,,,-176000.000,,,,-644000.000,
AdjustmentsToAdditionalPaidInCapitalSharebasedCompensationRequisiteServicePeriodRecognitionValue,,696000.000,,,,353000.000,,,,702000.000,
AllowanceForLoanAndLeaseLossRecoveryOfBadDebts,85000.000,156000.000,176000.000,115000.000,137000.000,104000.000,519000.000,293000.000,381000.000,325000.000,340000.000
AllowanceForLoanAndLeaseLossesWriteOffs,393000.000,358000.000,541000.000,198000.000,292000.000,67000.000,779000.000,1972000.000,2334000.000,4315000.000,1083000.000
AmortizationOfDebtDiscountPremium,,64000.000,,,,67000.000,,,,100000.000,
AmortizationOfFinancingCosts,,,,,,,,,,23000.000,
AmortizationOfIntangibleAssets,746000.000,764000.000,895000.000,1179000.000,1141000.000,977000.000,717000.000,958000.000,1130000.000,1111000.000,911000.000
AssetManagementFees1,374000.000,958000.000,1274000.000,1744000.000,1670000.000,1629000.000,1605000.000,1553000.000,1787000.000,1717000.000,0.000
AvailableForSaleSecuritiesGrossRealizedGains,10000.000,,242000.000,15000.000,,5000.000,,5000.000,,,
AvailableForSaleSecuritiesGrossRealizedLosses,0.000,,0.000,0.000,,0.000,,73000.000,,,
AvailableForSaleSecuritiesGrossUnrealizedGains,,2517000.000,,,,,,,,,
AvailableForSaleSecuritiesGrossUnrealizedLoss,,44000.000,,,,,,,,,
BusinessCombinationBargainPurchaseGainRecognizedAmount,,12509000.000,,1708000.000,,,,,,,
CashAndCashEquivalentsPeriodIncreaseDecrease,,17554000.000,,,,18438000.000,,,,11570000.000,
CertainLoansAcquiredInTransferNotAccountedForAsDebtSecuritiesAccretableYieldAccretion,1910000.000,429000.000,1031000.000,1056000.000,1507000.000,517000.000,1518000.000,417000.000,640000.000,472000.000,2234000.000
CertainLoansAcquiredInTransferNotAccountedForAsDebtSecuritiesAccretableYieldAdditions,,,,,,,,4124000.000,,,
CertainLoansAcquiredInTransferNotAccountedForAsDebtSecuritiesAccretableYieldDisposalsOfLoans,10000.000,52000.000,147000.000,,,13000.000,,,,440000.000,
CertainLoansAcquiredInTransferNotAccountedForAsDebtSecuritiesAccretableYieldReclassificationsFromNonaccretableDifference,,,585000.000,195000.000,,,646000.000,,,83000.000,1928000.000
CommunicationsAndInformationTechnology,954000.000,886000.000,927000.000,951000.000,1596000.000,1432000.000,1263000.000,1966000.000,1830000.000,2174000.000,2233000.000
ComprehensiveIncomeNetOfTax,9490000.000,14664000.000,4145000.000,5790000.000,3860000.000,,,,,,
ComprehensiveIncomeNetOfTaxAttributableToNoncontrollingInterest,779000.000,,,,,,,,,,
ComprehensiveIncomeNetOfTaxIncludingPortionAttributableToNoncontrollingInterest,10269000.000,14664000.000,4145000.000,5790000.000,3860000.000,5917000.000,4963000.000,4474000.000,4793000.000,10683000.000,9884000.000
ConvertiblePreferredDividendsNetOfTax,,,,196000.000,,,,,,192000.000,193000.000
DeferredIncomeTaxesAndTaxCredits,,-58000.000,,,,-133000.000,,,,3023000.000,
Depreciation,,528000.000,,,,572000.000,,,,958000.000,
DividendsPreferredStock,,192000.000,,,,,,,,,
EarningsPerShareBasic,0.960,0.780,0.250,0.320,0.250,0.270,0.250,0.250,0.340,0.570,0.530
EarningsPerShareDiluted,0.910,0.760,0.250,0.320,0.240,0.270,0.250,0.250,0.330,0.550,0.510
FederalDepositInsuranceCorporationPremiumExpense,280000.000,263000.000,271000.000,252000.000,300000.000,224000.000,281000.000,143000.000,265000.000,226000.000,270000.000
FeesAndCommissions,448000.000,422000.000,502000.000,542000.000,465000.000,534000.000,504000.000,655000.000,547000.000,583000.000,637000.000
FeesAndCommissionsCreditCards,544000.000,523000.000,578000.000,574000.000,559000.000,546000.000,577000.000,767000.000,842000.000,827000.000,917000.000
FeesAndCommissionsDepositorAccounts,838000.000,612000.000,666000.000,710000.000,744000.000,659000.000,695000.000,984000.000,1109000.000,980000.000,977000.000
FinancingReceivableModificationsSubsequentDefaultRecordedInvestment1,,,,,,,,,,2987000.000,
FinitelivedIntangibleAssetsAcquired1,,1918000.000,858000.000,,,,,9618000.000,,152000.000,
ForeclosedRealEstateExpense,73000.000,,,,,,,,,,
GainLossOnSaleOfBusiness,12619000.000,,,,,,,,,,
GainLossOnSaleOfSecuritiesNet,,,242000.000,15000.000,,5000.000,,-68000.000,,,
GainLossOnSalesOfLoansNet,484000.000,542000.000,491000.000,363000.000,234000.000,12000.000,4000.000,,,-46000.000,
GainOrLossOnSaleOfStockInSubsidiary,,,,,,,,,,20860000.000,
GainsLossesOnSalesOfOtherRealEstate,-11000.000,26000.000,52000.000,-58000.000,-128000.000,-11000.000,-1204000.000,63000.000,-275000.000,11000.000,-112000.000
GoodwillAcquiredDuringPeriod,,,,,,,,12629000.000,,,
ImpairedFinancingReceivableAverageRecordedInvestment,,11382000.000,9870000.000,6922000.000,-16060000.000,16629000.000,19929000.000,28630000.000,-38058000.000,39050000.000,34907000.000
ImpairedFinancingReceivableInterestIncomeAccrualMethod,,205000.000,90000.000,86000.000,-152000.000,101000.000,73000.000,164000.000,760000.000,132000.000,125000.000
IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,,,,8819000.000,,7903000.000,7305000.000,7906000.000,10395000.000,16589000.000,14991000.000
IncomeLossFromContinuingOperationsBeforeIncomeTaxesMinorityInterestAndIncomeLossFromEquityMethodInvestments,16363000.000,14956000.000,7238000.000,,,,,,,,
IncomeLossFromEquityMethodInvestments,,,,,,,,,,964000.000,
IncomeTaxExpenseBenefit,6089000.000,912000.000,2586000.000,2891000.000,2032000.000,2897000.000,2679000.000,3099000.000,4134000.000,6116000.000,5331000.000
IncomeTaxesPaid,,528000.000,,,,1123000.000,,,,,
IncomeTaxesPaidNet,,,,,,,,,,-917000.000,
IncreaseDecreaseInDeposits,,8530000.000,,,,11496000.000,,,,8503000.000,
IncreaseDecreaseInOtherOperatingAssets,,172000.000,,,,-1272000.000,,,,-509000.000,
IncreaseDecreaseInOtherOperatingLiabilities,,1493000.000,,,,-1428000.000,,,,1262000.000,
InterestAndDividendIncomeOperating,22118000.000,21579000.000,26597000.000,25303000.000,25281000.000,24893000.000,28354000.000,33471000.000,37774000.000,36332000.000,43538000.000
InterestAndDividendIncomeSecurities,666000.000,678000.000,659000.000,649000.000,669000.000,768000.000,965000.000,1154000.000,1317000.000,1611000.000,1738000.000
InterestAndFeeIncomeLoansAndLeases,13706000.000,13239000.000,17158000.000,15716000.000,15524000.000,16088000.000,18547000.000,23123000.000,26486000.000,25185000.000,30663000.000
InterestExpense,1723000.000,1854000.000,1952000.000,2072000.000,2231000.000,2404000.000,2447000.000,3053000.000,4230000.000,4513000.000,4981000.000
InterestExpenseDomesticDeposits,1289000.000,1570000.000,1667000.000,1764000.000,1905000.000,1993000.000,2020000.000,2408000.000,2735000.000,2869000.000,3057000.000
InterestExpenseFederalHomeLoanBankAndFederalReserveBankAdvancesShortTerm,19000.000,,,,,,,,,,
InterestExpenseJuniorSubordinatedDebentures,276000.000,272000.000,278000.000,283000.000,288000.000,302000.000,312000.000,382000.000,431000.000,465000.000,475000.000
InterestExpenseOther,5000.000,12000.000,7000.000,25000.000,38000.000,109000.000,115000.000,263000.000,229000.000,344000.000,613000.000
InterestExpenseOtherLongTermDebt,134000.000,,,,,,,,,,
InterestExpenseSubordinatedNotesAndDebentures,,,,,,,,,,835000.000,836000.000
InterestIncomeDomesticDeposits,50000.000,141000.000,110000.000,92000.000,122000.000,208000.000,197000.000,93000.000,155000.000,327000.000,289000.000
InterestIncomeExpenseAfterProvisionForLoanLoss,19020000.000,19080000.000,22104000.000,23066000.000,21872000.000,23000000.000,23968000.000,27599000.000,31098000.000,24141000.000,37110000.000
InterestIncomeExpenseNet,20395000.000,19725000.000,24645000.000,23231000.000,23050000.000,22489000.000,25907000.000,30418000.000,33544000.000,31819000.000,38557000.000
InterestIncomePurchasedReceivables,7681000.000,7509000.000,8654000.000,8829000.000,8952000.000,7822000.000,8639000.000,9021000.000,9731000.000,9167000.000,10812000.000
InterestIncomeSecuritiesTaxExempt,15000.000,12000.000,16000.000,17000.000,14000.000,7000.000,6000.000,80000.000,85000.000,,
InterestPaid,,1856000.000,,,,2348000.000,,,,5269000.000,
LaborAndRelatedExpense,11032000.000,13269000.000,12042000.000,12416000.000,12448000.000,12252000.000,12229000.000,14699000.000,15351000.000,21958000.000,16012000.000
MarketingAndAdvertisingExpense,1102000.000,543000.000,526000.000,618000.000,374000.000,519000.000,628000.000,779000.000,790000.000,938000.000,911000.000
NetCashProvidedByUsedInFinancingActivities,,103038000.000,,,,-8374000.000,,,,-21824000.000,
NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,,103038000.000,,,,-8374000.000,,,,-21824000.000,
NetCashProvidedByUsedInInvestingActivities,,-126571000.000,,,,20542000.000,,,,29780000.000,
NetCashProvidedByUsedInInvestingActivitiesContinuingOperations,,-126571000.000,,,,20542000.000,,,,29780000.000,
NetCashProvidedByUsedInOperatingActivities,,41087000.000,,,,6270000.000,,,,3614000.000,
NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,,41087000.000,,,,6270000.000,,,,3614000.000,
NetIncomeLoss,10274000.000,14044000.000,4652000.000,5928000.000,4509000.000,5006000.000,4626000.000,4807000.000,6261000.000,10473000.000,9660000.000
NetIncomeLossAvailableToCommonStockholdersBasic,9495000.000,13852000.000,4457000.000,5732000.000,4312000.000,4812000.000,4431000.000,4506000.000,6064000.000,10281000.000,9467000.000
