,2011-06-30,2011-09-30,2012-03-31,2012-09-30,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30
AccretionAmortizationOfDiscountsAndPremiumsInvestments,,,-21000.000,,,,,,,
AllocatedShareBasedCompensationExpenseNetOfTax,,,,366000.000,,,,,,
AntidilutiveSecuritiesExcludedFromComputationOfEarningsPerShareAmount,,,,5095000.000,5293000.000,3652000.000,2174000.000,-5596000.000,5313000.000,5624000.000
CapitalizedComputerSoftwareAmortization,,,285000.000,,317000.000,326000.000,336000.000,369000.000,406000.000,445000.000
CashAndCashEquivalentsPeriodIncreaseDecrease,,,-1564000.000,,-1954000.000,,,,-3264000.000,
ComprehensiveIncomeNetOfTax,,,-3054000.000,-4940000.000,-2168000.000,324000.000,94000.000,-3686000.000,-2896000.000,-1911000.000
CostOfRevenue,12862000.000,12950000.000,8336000.000,11171000.000,8703000.000,12392000.000,12742000.000,9837000.000,7243000.000,9757000.000
CostsAndExpenses,24562000.000,24160000.000,19137000.000,24713000.000,17546000.000,21323000.000,21712000.000,20655000.000,16459000.000,19252000.000
DepreciationAndAmortization,,,437000.000,,478000.000,469000.000,482000.000,518000.000,572000.000,606000.000
EarningsPerShareBasic,,,,,,0.020,0.000,,,-0.090
EarningsPerShareBasicAndDiluted,-0.050,-0.040,-0.150,-0.240,-0.100,,,,-0.130,
EarningsPerShareDiluted,,,,,,0.010,0.000,,,-0.090
GainLossOnSaleOfPropertyPlantEquipment,,,-6000.000,,,,,,,
GeneralAndAdministrativeExpense,2450000.000,2752000.000,2106000.000,1743000.000,1835000.000,1716000.000,1600000.000,1562000.000,2049000.000,2157000.000
IncomeLossFromContinuingOperationsBeforeIncomeTaxesMinorityInterestAndIncomeLossFromEquityMethodInvestments,-972000.000,-845000.000,-3057000.000,-4940000.000,,,,,,
IncomeTaxExpenseBenefit,,,,,16000.000,19000.000,12000.000,12000.000,13000.000,19000.000
IncreaseDecreaseInAccountsPayable,,,-412000.000,,-261000.000,,,,-66000.000,
IncreaseDecreaseInAccountsReceivable,,,207000.000,,-151000.000,,,,141000.000,
IncreaseDecreaseInAccruedLiabilitiesAndOtherOperatingLiabilities,,,-709000.000,,-56000.000,,,,-535000.000,
IncreaseDecreaseInOtherOperatingAssets,,,-62000.000,,-21000.000,,,,-8000.000,
IncreaseDecreaseInOtherOperatingLiabilities,,,-59000.000,,-18000.000,,,,-38000.000,
IncreaseDecreaseInPrepaidDeferredExpenseAndOtherAssets,,,-226000.000,,-147000.000,,,,-58000.000,
IncreaseDecreaseInRestructuringReserve,,,276000.000,,-73000.000,,,,-13000.000,
InvestmentIncomeInterest,15000.000,8000.000,7000.000,6000.000,2000.000,1000.000,2000.000,1000.000,3000.000,1000.000
LossContingencyAccrualCarryingValuePeriodIncreaseDecrease,,,,,100000.000,,,,,
NetCashProvidedByUsedInFinancingActivities,,,62000.000,,303000.000,,,,108000.000,
NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,,,62000.000,,303000.000,,,,108000.000,
NetCashProvidedByUsedInInvestingActivities,,,1571000.000,,-752000.000,,,,-667000.000,
NetCashProvidedByUsedInInvestingActivitiesContinuingOperations,,,1571000.000,,-752000.000,,,,-667000.000,
NetCashProvidedByUsedInOperatingActivities,,,-3197000.000,,-1505000.000,,,,-2705000.000,
