,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31
AccountsPayableCurrent,2900000.000,2499000.000,2224000.000,2740000.000,2180000.000,2615000.000,3087000.000,2255000.000,2446000.000,2838000.000,2254000.000,2269000.000,2949000.000,3897000.000,2311000.000,2742000.000,2205000.000,4911000.000,8383000.000,2781000.000,3413000.000,4114000.000,6129000.000,2282000.000,2474000.000
AccruedIncomeTaxesCurrent,,676000.000,8870000.000,,520000.000,,1702000.000,,,,,,,,,,3170000.000,,,,,,,,
AccumulatedOtherComprehensiveIncomeLossAvailableForSaleSecuritiesAdjustmentNetOfTax,,54000.000,-5250000.000,-12208000.000,-8303000.000,-13763000.000,-8716000.000,-10289000.000,-113000.000,-4572000.000,-3441000.000,-6860000.000,-6987000.000,-160000.000,-1500000.000,-1980000.000,-4149000.000,-3292000.000,-3741000.000,-1154000.000,553000.000,,,,
AccumulatedOtherComprehensiveIncomeLossNetOfTax,73000.000,,,,,,,,,,,,,,,,,,,,,,,822000.000,1183000.000
AdditionalPaidInCapital,1289942000.000,1319697000.000,1330012000.000,1334192000.000,1604019000.000,1656357000.000,1660001000.000,2138153000.000,2140410000.000,2142173000.000,2143761000.000,2144250000.000,2138899000.000,2147650000.000,2149996000.000,2151335000.000,2168675000.000,2170643000.000,2174720000.000,2175845000.000,2178011000.000,2179781000.000,2180815000.000,2182521000.000,2182496000.000
Assets,1912727000.000,1902702000.000,1892479000.000,1994379000.000,2108956000.000,2373045000.000,2403359000.000,2887047000.000,2893860000.000,2905341000.000,2902493000.000,2889198000.000,2882831000.000,2891544000.000,2892863000.000,2862588000.000,2910027000.000,2925432000.000,3228695000.000,3223268000.000,3099242000.000,3066552000.000,3148591000.000,3160244000.000,3128782000.000
AssetsCurrent,184996000.000,169273000.000,184522000.000,166128000.000,251513000.000,445208000.000,371847000.000,781050000.000,748985000.000,744497000.000,715400000.000,729012000.000,712437000.000,735977000.000,757378000.000,751868000.000,759625000.000,790750000.000,152311000.000,162860000.000,175180000.000,164769000.000,191986000.000,136197000.000,134174000.000
AvailableForSaleSecurities,,,,,,,,,,,10826000.000,7408000.000,7280000.000,9608000.000,8268000.000,7788000.000,5619000.000,6273000.000,5824000.000,8411000.000,3861000.000,,,,
AvailableForSaleSecuritiesAccumulatedGrossUnrealizedGainBeforeTax,,,,,,,,,,,,,,,,,,,,,554000.000,,,,
AvailableForSaleSecuritiesAccumulatedGrossUnrealizedLossBeforeTax,,,,,,,,,,,,,,,1500000.000,1980000.000,4149000.000,3292000.000,3741000.000,1154000.000,,,,,
AvailableForSaleSecuritiesAmortizedCost,,28777000.000,28777000.000,28777000.000,28777000.000,28777000.000,28777000.000,28777000.000,14267000.000,14267000.000,14267000.000,14267000.000,14267000.000,9768000.000,9768000.000,9768000.000,9768000.000,9565000.000,9565000.000,9565000.000,3307000.000,,,,
AvailableForSaleSecuritiesCurrent,,,,,,,,,,,,,,,,,,,,,3861000.000,,,,
AvailableForSaleSecuritiesFairValueDisclosure,,28876000.000,23528000.000,16570000.000,20474000.000,15015000.000,20044000.000,18489000.000,14154000.000,9695000.000,,,,,,,,,,,,,,,
AvailableForSaleSecuritiesGrossUnrealizedLosses1,,28000.000,5249000.000,12207000.000,8303000.000,13762000.000,8733000.000,10288000.000,113000.000,4572000.000,,,,,,,,,,,,,,,
AvailableForSaleSecuritiesNoncurrent,,28876000.000,23528000.000,16570000.000,20474000.000,15015000.000,20044000.000,18489000.000,14154000.000,9695000.000,10826000.000,7408000.000,7280000.000,9608000.000,8268000.000,7788000.000,5619000.000,6273000.000,5824000.000,8411000.000,,,,,
AvailableforsaleSecuritiesGrossUnrealizedGain,,127000.000,,,,,,,,,,,,,,,,,,,,,,,
CashAndCashEquivalentsAtCarryingValue,125771000.000,114155000.000,123401000.000,95802000.000,183338000.000,375456000.000,302037000.000,680731000.000,673103000.000,664035000.000,637899000.000,659289000.000,646112000.000,659536000.000,691411000.000,675128000.000,715228000.000,742849000.000,104310000.000,117600000.000,122863000.000,116633000.000,133042000.000,83988000.000,88090000.000
CommonStockOtherValueOutstanding,,39864000.000,35849000.000,35848000.000,35816000.000,35156000.000,33616000.000,29722000.000,29367000.000,29365000.000,29361000.000,29348000.000,23344000.000,16718000.000,16718000.000,16705000.000,197000.000,,,,,,,,
CommonStockParOrStatedValuePerShare,0.010,0.010,0.010,0.010,0.010,0.010,0.010,0.010,0.010,0.010,0.010,0.010,0.010,0.010,0.010,0.010,0.010,0.010,0.010,0.010,0.010,0.010,0.010,0.010,0.010
CommonStockSharesAuthorized,100000000.000,100000000.000,100000000.000,100000000.000,100000000.000,100000000.000,100000000.000,100000000.000,100000000.000,100000000.000,100000000.000,100000000.000,100000000.000,100000000.000,100000000.000,100000000.000,100000000.000,100000000.000,100000000.000,100000000.000,100000000.000,100000000.000,100000000.000,200000000.000,200000000.000
CommonStockSharesOutstanding,53545038.000,54231787.000,54450165.000,54558253.000,58596101.000,58614221.000,58755634.000,64162252.000,64170310.000,64184036.000,64200607.000,64258261.000,64409078.000,64578401.000,64594419.000,64653967.000,65029065.000,65033547.000,65065461.000,65082861.000,65089008.000,65093950.000,65142812.000,65168023.000,65173796.000
CommonStockValue,536000.000,543000.000,545000.000,546000.000,586000.000,586000.000,588000.000,642000.000,642000.000,642000.000,642000.000,643000.000,644000.000,646000.000,646000.000,647000.000,650000.000,650000.000,651000.000,651000.000,651000.000,651000.000,652000.000,652000.000,652000.000
DebtInstrumentCarryingAmount,,,,,,,,,,,,,,,,,,,,,,645000000.000,715000000.000,715000000.000,670000000.000
DebtInstrumentConvertibleConversionPrice1,,,,,,105.310,105.310,105.310,105.310,105.310,105.310,105.310,105.310,105.310,105.310,105.310,105.310,105.310,105.310,105.310,105.310,105.310,103.520,103.520,103.140
DebtInstrumentUnamortizedDiscount,,,,,,,,,,,,,,,,,,,,,,36943000.000,34092000.000,31194000.000,28246000.000
DeferredIncomeTaxLiabilities,,,,,,,,,,,,,,,,,,150752000.000,,,,141373000.000,,,
DeferredTaxAssetsGross,,40460000.000,,,,30414000.000,,,,34256000.000,,,,29901000.000,,,,24384000.000,,,,22686000.000,,,
DeferredTaxAssetsLiabilitiesNet,,-150997000.000,,,,-177889000.000,,,,-166812000.000,,,,-158646000.000,,,,,,,,,,,
DeferredTaxAssetsLiabilitiesNetNoncurrent,,,-153028000.000,-151673000.000,-151806000.000,-178716000.000,,,,,,,,,,,,,,,,,,,
DeferredTaxAssetsNet,,37391000.000,,,,29914000.000,,,,29650000.000,,,,24968000.000,,,,20122000.000,,,,20586000.000,,,
DeferredTaxAssetsOperatingLossCarryforwards,,32157000.000,,,,23815000.000,,,,25943000.000,,,,19322000.000,,,,16087000.000,,,,12385000.000,,,
DeferredTaxAssetsOther,,5028000.000,,,,2615000.000,,,,4460000.000,,,,7068000.000,,,,3904000.000,,,,4610000.000,,,
DeferredTaxAssetsTaxDeferredExpenseCompensationAndBenefitsShareBasedCompensationCost,,3275000.000,,,,3984000.000,,,,3853000.000,,,,3511000.000,,,,4393000.000,,,,5691000.000,,,
DeferredTaxAssetsUnrealizedCurrencyLosses,,,,,,,,,,,,,,,,,,936000.000,,,,,,,
DeferredTaxAssetsValuationAllowance,,3069000.000,,,,500000.000,,,,4606000.000,,,,4933000.000,,,,4262000.000,,,,2100000.000,,,
DeferredTaxLiabilities,,188388000.000,,,,207803000.000,,,,196462000.000,,,,183614000.000,,,,130630000.000,,,,120787000.000,,,
DeferredTaxLiabilitiesFinancingArrangements,,,,,,27126000.000,,,,23281000.000,,,,20002000.000,,,,16384000.000,,,,12639000.000,,,
DeferredTaxLiabilitiesNoncurrent,156480000.000,152564000.000,,,,,179769000.000,175875000.000,172209000.000,174267000.000,171422000.000,166241000.000,161277000.000,169865000.000,164490000.000,152762000.000,135666000.000,146603000.000,145256000.000,140614000.000,139861000.000,133867000.000,120672000.000,120773000.000,120895000.000
DeferredTaxLiabilitiesOther,,3112000.000,,,,4117000.000,,,,3561000.000,,,,2239000.000,,,,1658000.000,,,,124000.000,,,
DeferredTaxLiabilitiesOtherFiniteLivedAssets,,179344000.000,,,,172146000.000,,,,165936000.000,,,,158301000.000,,,,133646000.000,,,,127337000.000,,,
DeferredTaxLiabilitiesUnrealizedCurrencyTransactionGains,,5932000.000,,,,4414000.000,,,,3684000.000,,,,3072000.000,,,,,,,,1273000.000,,,
DividendsPayableCurrent,6086000.000,6093000.000,6112000.000,8343000.000,8947000.000,8947000.000,8966000.000,13010000.000,13009000.000,13009000.000,13022000.000,13674000.000,13673000.000,13678000.000,13691000.000,14342000.000,14342000.000,14341000.000,14357000.000,15010000.000,15011000.000,15012000.000,15023000.000,15680000.000,15681000.000
IncomeTaxReceivable,,,,,,,,,8700000.000,,,,,,,,,,,,,,,,
IncomeTaxesReceivable,5459000.000,,,463000.000,,11046000.000,,7204000.000,10379000.000,15158000.000,24137000.000,22989000.000,20026000.000,21947000.000,16271000.000,23800000.000,,6422000.000,13550000.000,12828000.000,21578000.000,20043000.000,21028000.000,16821000.000,16006000.000
InventoryGross,,,,,,,,,,,,,,,,,,,,8289000.000,5402000.000,9489000.000,12615000.000,10179000.000,6624000.000
Liabilities,442575000.000,415007000.000,388793000.000,478916000.000,303280000.000,509616000.000,517305000.000,514299000.000,516001000.000,534705000.000,527557000.000,520445000.000,522009000.000,518987000.000,514523000.000,504554000.000,497011000.000,509505000.000,868873000.000,861050000.000,817884000.000,780667000.000,850047000.000,849979000.000,812281000.000
LiabilitiesAndStockholdersEquity,1912727000.000,1902702000.000,1892479000.000,1994379000.000,2108956000.000,2373045000.000,2403359000.000,2887047000.000,2893860000.000,2905341000.000,2902493000.000,2889198000.000,2882831000.000,2891544000.000,2892863000.000,2862588000.000,2910027000.000,2925432000.000,3228695000.000,3223268000.000,3099242000.000,3066552000.000,3148591000.000,3160244000.000,3128782000.000
LiabilitiesCurrent,33938000.000,28861000.000,36010000.000,30201000.000,31185000.000,15209000.000,19327000.000,18553000.000,21643000.000,35085000.000,28047000.000,24210000.000,25544000.000,22504000.000,20785000.000,19466000.000,25706000.000,24973000.000,27120000.000,20518000.000,24202000.000,22680000.000,25585000.000,22338000.000,24777000.000
LiabilityForUncertainTaxPositionsNoncurrent,,18836000.000,19140000.000,20576000.000,17653000.000,19469000.000,20095000.000,19821000.000,20172000.000,21166000.000,21906000.000,22450000.000,23590000.000,13725000.000,14208000.000,14752000.000,15461000.000,15130000.000,15207000.000,15935000.000,17080000.000,16996000.000,23370000.000,23048000.000,24337000.000
LineOfCreditFacilityRemainingBorrowingCapacity,,,,,225000000.000,,,,,,,,,,,,,,,,,,,,
LoansPayableToBankCurrent,,15600000.000,15600000.000,15600000.000,15600000.000,,,,,,,,,,,,,,,,,,,,
LongTermDebtCurrent,,,15600000.000,15600000.000,15600000.000,,,,,,,,,,,,,,,,,,,,
LongTermDebtMaturitiesRepaymentsOfPrincipalInNextTwelveMonths,,15600000.000,,,,,,,,,,,,,,,,,,,,,,,
LongTermDebtMaturitiesRepaymentsOfPrincipalInYearThree,,194900000.000,,,,,,,,,,,,,,,,,,,,,,,
LongTermDebtMaturitiesRepaymentsOfPrincipalInYearTwo,,15600000.000,,,,,,,,,,,,,,,,,,,,,,,
LongTermDebtNoncurrent,,,176600000.000,272700000.000,98800000.000,293248000.000,295440000.000,297697000.000,299961000.000,302263000.000,304604000.000,306983000.000,309401000.000,311860000.000,314333000.000,316874000.000,319484000.000,322110000.000,674780000.000,677494000.000,630252000.000,600685000.000,674029000.000,677429000.000,635881000.000
LongTermLineOfCredit,,100000000.000,70000000.000,170000000.000,,,,,,,,,,,,,,,,,,,,,
LongTermLoansFromBank,,110500000.000,106600000.000,102700000.000,98800000.000,,,,,,,,,,,,,,,,,,,,
LongTermNotesAndLoans,229400000.000,210500000.000,,,,,,,,,,,,,,,,,,,,,,,
MineralPropertiesAccumulatedDepletion,,191747000.000,208915000.000,230277000.000,249955000.000,266554000.000,288012000.000,309098000.000,330717000.000,351439000.000,373806000.000,396450000.000,418025000.000,442660000.000,464463000.000,485091000.000,509846000.000,536029000.000,493494000.000,533873000.000,572007000.000,607370000.000,612763000.000,652264000.000,692408000.000
MineralPropertiesAccumulatedImpairment,,,1328000.000,1328000.000,1328000.000,1328000.000,,,,,,,,,,28339000.000,28339000.000,28339000.000,,,96118000.000,96118000.000,,,
MineralPropertiesGross,,1882186000.000,1882186000.000,2030598000.000,2075848000.000,2158870000.000,2277704000.000,2372702000.000,2434760000.000,2471707000.000,2519735000.000,2519797000.000,2551400000.000,2551727000.000,2555786000.000,2580582000.000,2647887000.000,2647976000.000,3506446000.000,3530294000.000,3531565000.000,3551575000.000,3510857000.000,3613592000.000,3624495000.000
MineralPropertiesNet,,1690439000.000,1671943000.000,1798993000.000,1824565000.000,1890988000.000,1989692000.000,2063604000.000,2104043000.000,2120268000.000,2145929000.000,2123347000.000,2133375000.000,2109067000.000,2091323000.000,2067152000.000,2109702000.000,2083608000.000,3012952000.000,2996421000.000,2863440000.000,2848087000.000,2898094000.000,2961328000.000,2932087000.000
MinorityInterest,27529000.000,27533000.000,26145000.000,25634000.000,25058000.000,24970000.000,24640000.000,24389000.000,23967000.000,21749000.000,21160000.000,20926000.000,18007000.000,17832000.000,17621000.000,17355000.000,62999000.000,62805000.000,62475000.000,61055000.000,58990000.000,56869000.000,53728000.000,50538000.000,48460000.000
NotesAndLoansPayableCurrent,15600000.000,15600000.000,,,,,,,,,,,,,,,,,,,,,,,
OperatingLossCarryforwards,,127000000.000,,,,95000000.000,,,,108000000.000,,,,77000000.000,,,,55000000.000,,,,59500000.000,,,
OtherAssetsNoncurrent,11911000.000,14114000.000,12486000.000,12688000.000,12404000.000,21834000.000,21776000.000,23904000.000,26678000.000,30881000.000,30338000.000,29431000.000,29739000.000,36892000.000,35894000.000,35780000.000,35081000.000,44801000.000,57608000.000,55576000.000,60622000.000,53696000.000,58511000.000,62719000.000,62521000.000
OtherLiabilitiesCurrent,9352000.000,3993000.000,3204000.000,3518000.000,3938000.000,3647000.000,5572000.000,3288000.000,6188000.000,3720000.000,5509000.000,2857000.000,4938000.000,2730000.000,3904000.000,2182000.000,5791000.000,5522000.000,4380000.000,2727000.000,5778000.000,3554000.000,4433000.000,4376000.000,6622000.000
OtherLiabilitiesNoncurrent,22757000.000,4246000.000,4015000.000,3766000.000,3836000.000,2974000.000,2674000.000,2353000.000,2016000.000,1924000.000,1578000.000,561000.000,2197000.000,1033000.000,707000.000,700000.000,694000.000,689000.000,6510000.000,6489000.000,6489000.000,6439000.000,6391000.000,6391000.000,6391000.000
PreferredStockParOrStatedValuePerShare,0.010,0.010,0.010,0.010,0.010,0.010,0.010,0.010,0.010,0.010,0.010,0.010,0.010,0.010,0.010,0.010,0.010,0.010,0.010,0.010,0.010,0.010,0.010,0.010,0.010
PreferredStockSharesAuthorized,10000000.000,10000000.000,10000000.000,10000000.000,10000000.000,10000000.000,10000000.000,10000000.000,10000000.000,10000000.000,10000000.000,10000000.000,10000000.000,10000000.000,10000000.000,10000000.000,10000000.000,10000000.000,10000000.000,10000000.000,10000000.000,10000000.000,10000000.000,10000000.000,10000000.000
PreferredStockSharesIssued,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
PrepaidExpenseAndOtherAssetsCurrent,,6290000.000,6343000.000,5342000.000,6089000.000,4760000.000,5075000.000,22361000.000,6484000.000,14919000.000,5173000.000,3679000.000,4090000.000,7840000.000,6469000.000,15626000.000,4911000.000,3798000.000,9912000.000,1230000.000,1243000.000,614000.000,1350000.000,1720000.000,663000.000
RetainedEarningsAccumulatedDeficit,84411000.000,100004000.000,116385000.000,131451000.000,148500000.000,160123000.000,175925000.000,190131000.000,183586000.000,181279000.000,183453000.000,180446000.000,186915000.000,189871000.000,194859000.000,173972000.000,184644000.000,185121000.000,125717000.000,125821000.000,43153000.000,48584000.000,63349000.000,75732000.000,83710000.000
ShareBasedCompensationArrangementByShareBasedPaymentAwardNumberOfSharesAvailableForGrant,,1217553.000,,,,1070120.000,,,,932615.000,,,,,,,,,,,,,,,
SignificantChangeInUnrecognizedTaxBenefitsIsReasonablyPossibleEstimatedRangeOfChangeLowerBound,,,,,,1000000.000,,,,0.000,5000000.000,5000000.000,4000000.000,,,,,,,,,,,,
SignificantChangeInUnrecognizedTaxBenefitsIsReasonablyPossibleEstimatedRangeOfChangeUpperBound,,1600000.000,,,,1500000.000,,,,300000.000,5500000.000,5500000.000,4500000.000,,,,,,,,,,,,
StockholdersEquity,1442623000.000,1460162000.000,1477541000.000,1489829000.000,1780618000.000,1838459000.000,1861414000.000,2348359000.000,2353892000.000,2348887000.000,2353776000.000,2347827000.000,2342815000.000,2354725000.000,2360719000.000,2340679000.000,2350017000.000,2353122000.000,2297347000.000,2301163000.000,2222368000.000,2229016000.000,2244816000.000,2259727000.000,2268041000.000
StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,1470152000.000,1487695000.000,1503686000.000,1515463000.000,1805676000.000,1863429000.000,1886054000.000,2372748000.000,2377859000.000,2370636000.000,2374936000.000,2368753000.000,2360822000.000,2372557000.000,2378340000.000,2358034000.000,2413016000.000,2415927000.000,2359822000.000,2362218000.000,2281358000.000,2285885000.000,2298544000.000,2310265000.000,2316501000.000
TreasuryStockShares,,0.000,,,,,,,,,,,,,,,,,,,,,,,
