,2011-09-30,2011-12-31,2012-03-31,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31
AccountsAndOtherReceivablesNetCurrent,12174000.000,,,,,,,,,,,,,,,,,,,,,
AccountsPayableCurrent,2357000.000,2814000.000,1830000.000,1411000.000,2302000.000,3912000.000,3031000.000,3632000.000,2730000.000,3324000.000,2580000.000,2852000.000,3057000.000,3854000.000,3033000.000,2494000.000,2815000.000,4195000.000,2097000.000,3587000.000,3545000.000,4907000.000
AccountsReceivableNetCurrent,,8457000.000,7100000.000,7667000.000,8388000.000,7927000.000,8439000.000,8442000.000,9378000.000,8849000.000,10187000.000,9658000.000,9916000.000,8593000.000,8557000.000,9346000.000,8692000.000,8133000.000,9282000.000,8483000.000,7461000.000,7303000.000
AccruedIncomeTaxesCurrent,,,,304000.000,,,,,,,,,,,,,,,,,,
AccruedLiabilitiesCurrent,3774000.000,2534000.000,2753000.000,2568000.000,2143000.000,2005000.000,2009000.000,2305000.000,1761000.000,2627000.000,2567000.000,4452000.000,2694000.000,2508000.000,2908000.000,3036000.000,2243000.000,2144000.000,2251000.000,2085000.000,1894000.000,2045000.000
AccruedMarketingCostsCurrent,,,,,,,,,,,,,,,,,,,,,319000.000,
AccruedSalariesCurrent,,,,,,,,,,,,,,,,,,,,,1098000.000,
AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment,,,,,11930000.000,,,,8961000.000,,,,9692000.000,,,,6794000.000,,,,7354000.000,
AccumulatedOtherComprehensiveIncomeLossNetOfTax,,,,,,,-87000.000,-33000.000,23000.000,96000.000,161000.000,83000.000,-8000.000,-133000.000,-81000.000,-72000.000,-166000.000,-12000.000,64000.000,32000.000,-205000.000,-155000.000
AdditionalPaidInCapital,39935000.000,,,,,,,,,,,,,,,,,,,,,
AdditionalPaidInCapitalCommonStock,,40073000.000,40124000.000,40550000.000,40430000.000,39991000.000,39729000.000,38955000.000,41311000.000,44182000.000,44513000.000,44645000.000,44939000.000,45204000.000,45513000.000,45828000.000,46291000.000,45568000.000,45987000.000,46455000.000,46669000.000,46868000.000
AllowanceForDoubtfulAccountsReceivable,,,,,60000.000,,,,129000.000,,,,58000.000,,,,54000.000,,,,187000.000,
AllowanceForDoubtfulAccountsReceivableCurrent,,,,64000.000,60000.000,60000.000,55000.000,94000.000,129000.000,102000.000,107000.000,71000.000,58000.000,79000.000,52000.000,51000.000,54000.000,77000.000,86000.000,49000.000,187000.000,187000.000
Assets,49033000.000,49559000.000,49751000.000,50506000.000,91939000.000,79499000.000,79388000.000,80995000.000,81061000.000,86436000.000,87147000.000,89807000.000,88860000.000,89681000.000,90783000.000,93141000.000,93529000.000,94353000.000,90335000.000,91280000.000,88124000.000,88059000.000
AssetsCurrent,40915000.000,41432000.000,37023000.000,38464000.000,79287000.000,67052000.000,58399000.000,45912000.000,48066000.000,44248000.000,40650000.000,44263000.000,44781000.000,47272000.000,48153000.000,49524000.000,46146000.000,46278000.000,42409000.000,43561000.000,40140000.000,40705000.000
AssetsNoncurrent,,41000.000,,,,,,,,,,,,,,,,,,,,
AvailableForSaleDebtSecuritiesAccumulatedGrossUnrealizedGainBeforeTax,,,,,,,,,,,259000.000,170000.000,117000.000,198000.000,115000.000,124000.000,68000.000,177000.000,,,,
AvailableForSaleDebtSecuritiesAccumulatedGrossUnrealizedLossBeforeTax,,,,,,,,,,,3000.000,39000.000,,50000.000,92000.000,73000.000,,53000.000,,,,
AvailableForSaleDebtSecuritiesAmortizedCostBasis,,,,,,,,,,,,,,,,,,,27149000.000,27563000.000,26491000.000,26999000.000
AvailableForSaleSecurities,,,,,,,,,25526000.000,26379000.000,25976000.000,25451000.000,26156000.000,25447000.000,25141000.000,27036000.000,26365000.000,26237000.000,27428000.000,27781000.000,26395000.000,26964000.000
AvailableForSaleSecuritiesAccumulatedGrossUnrealizedGainBeforeTax,,,,,,,,,,,,,,,,,,,298000.000,240000.000,70000.000,82000.000
AvailableForSaleSecuritiesAccumulatedGrossUnrealizedLossBeforeTax,,,,,,,,,,,,,57000.000,,,,138000.000,,19000.000,22000.000,166000.000,117000.000
AvailableForSaleSecuritiesAmortizedCost,,,,,,,9297000.000,25409000.000,25490000.000,26225000.000,25720000.000,25320000.000,26096000.000,25299000.000,25118000.000,26985000.000,26435000.000,26113000.000,27149000.000,27563000.000,26491000.000,26999000.000
AvailableForSaleSecuritiesContinuousUnrealizedLossPosition12MonthsOrLongerAccumulatedLoss,,,,,,,,,,,,,,,19000.000,46000.000,46000.000,,12000.000,8000.000,9000.000,10000.000
AvailableForSaleSecuritiesContinuousUnrealizedLossPositionAccumulatedLoss,,,,,,,,,,,,,,,92000.000,73000.000,138000.000,,19000.000,22000.000,166000.000,117000.000
AvailableForSaleSecuritiesContinuousUnrealizedLossPositionFairValue,,,,,,,,,8371000.000,,,,,,8814000.000,8029000.000,15868000.000,,4121000.000,5947000.000,15233000.000,17094000.000
AvailableForSaleSecuritiesContinuousUnrealizedLossPositionLessThan12MonthsAccumulatedLoss,,,,,,,,,,,,,,,73000.000,27000.000,92000.000,,7000.000,14000.000,157000.000,107000.000
AvailableForSaleSecuritiesContinuousUnrealizedLossPositionLessThanTwelveMonthsFairValue,,,,,,,,,,,,,,,8186000.000,5338000.000,11930000.000,,2697000.000,3791000.000,14204000.000,15645000.000
AvailableForSaleSecuritiesContinuousUnrealizedLossPositionTwelveMonthsOrLongerFairValue,,,,,,,,,,,,,,,628000.000,2691000.000,3938000.000,,1424000.000,2156000.000,1029000.000,1449000.000
AvailableForSaleSecuritiesDebtMaturitiesAfterFiveThroughTenYearsAmortizedCost,,,,,,,432000.000,2043000.000,1581000.000,1574000.000,1108000.000,685000.000,365000.000,361000.000,358000.000,417000.000,0.000,985000.000,,,,
