,2014-09-30,2014-12-31,2015-03-31
AccountsPayableAndAccruedLiabilitiesCurrent,24559.000,48238.000,48238.000
AccountsPayableCurrent,2499.000,16042.000,16042.000
AccruedProfessionalFeesCurrent,18308.000,27358.000,27358.000
AdditionalPaidInCapital,233655.000,268008.000,404628.000
Assets,167320.000,179251.000,177481.000
AssetsCurrent,2320.000,1785.000,15.000
Cash,2320.000,1785.000,15.000
CashAndCashEquivalentsAtCarryingValue,2320.000,1785.000,15.000
CommonStockParOrStatedValuePerShare,0.001,0.001,0.001
CommonStockSharesAuthorized,60000000.000,60000000.000,60000000.000
CommonStockSharesIssued,24245000.000,24592000.000,26172000.000
CommonStockSharesOutstanding,24245000.000,24592000.000,26172000.000
CommonStockValue,24245.000,24592.000,26172.000
DueToRelatedPartiesCurrent,8234.000,9666.000,9666.000
InterestPayableCurrent,3752.000,4838.000,4838.000
Liabilities,170793.000,195904.000,57904.000
LiabilitiesAndStockholdersEquity,167320.000,179251.000,177481.000
LiabilitiesCurrent,99793.000,195904.000,57904.000
LiabilitiesNoncurrent,71000.000,0.000,
MineralRights,165000.000,165000.000,165000.000
NotesPayableCurrent,67000.000,67000.000,0.000
NotesPayableRelatedPartiesClassifiedCurrent,,71000.000,0.000
NotesPayableRelatedPartiesNoncurrent,71000.000,0.000,
NotesReceivableRelatedPartiesCurrent,0.000,12466.000,12466.000
PreferredStockParOrStatedValuePerShare,0.001,0.001,0.001
PreferredStockSharesAuthorized,10000000.000,10000000.000,10000000.000
PreferredStockSharesIssued,0.000,0.000,0.000
PreferredStockSharesOutstanding,0.000,0.000,0.000
PreferredStockValue,0.000,0.000,
RetainedEarningsAccumulatedDeficit,-259873.000,-309253.000,-311223.000
SaleOfStockPricePerShare,,0.100,0.100
SharesIssuedPricePerShare,0.100,,
StockholdersEquity,-3473.000,-16653.000,119577.000
StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,-3473.000,-16653.000,119577.000
StockholdersEquityNoteSubscriptionsReceivable,1500.000,,
