,2011-09-30,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-09-30,2015-03-31,2015-06-30,2015-09-30,2015-12-31
AccretionAmortizationOfDiscountsAndPremiumsInvestments,,-888000.000,,,,-1073000.000,,,,-136000.000,,-375000.000,,,
AllocatedShareBasedCompensationExpense,,943000.000,1101000.000,,,811000.000,822000.000,809000.000,867000.000,1014000.000,1072000.000,1204000.000,1330000.000,1328000.000,1383000.000
AllowanceForLoanAndLeaseLossesProvisionForLossGross,0.000,2000000.000,2000000.000,2000000.000,,,,,,,,,,,
AllowanceForLoanAndLeaseLossesRecoveriesOfBadDebts,1538000.000,1534000.000,1105000.000,,,,,,,,,,,,
AllowanceForLoanAndLeaseLossesWriteOffs,-8374000.000,8722000.000,7907000.000,-5993000.000,-39134000.000,-6382000.000,-5314000.000,-5774000.000,-7523000.000,-5018000.000,3097000.000,3074000.000,7789000.000,4418000.000,3131000.000
AntidilutiveSecuritiesExcludedFromComputationOfEarningsPerShareAmount,,,,,,4252874.000,3721383.000,3351751.000,-7896215.000,3213261.000,2014419.000,1746196.000,1562739.000,1367774.000,-3370620.000
AssetManagementFees,6227000.000,6161000.000,6005000.000,6239000.000,6224000.000,6831000.000,,,,,,,,,
AvailableForSaleSecuritiesContinuousUnrealizedLossPosition12MonthsOrLongerAggregateLosses,,,,,,,,,,-6863000.000,,-5801000.000,,,
AvailableForSaleSecuritiesContinuousUnrealizedLossPositionAggregateLosses,,,,,,,,,,-17041000.000,,-6495000.000,,,
AvailableForSaleSecuritiesContinuousUnrealizedLossPositionLessThan12MonthsAggregateLosses,,,,,,,,,,-10178000.000,,-694000.000,,,
AvailableForSaleSecuritiesGrossRealizedGains,,,0.000,0.000,,25000.000,22000.000,7000.000,0.000,8000.000,0.000,0.000,0.000,0.000,0.000
AvailableforsaleSecuritiesGrossRealizedGainLossExcludingOtherThanTemporaryImpairments,,,-123000.000,0.000,,25000.000,22000.000,7000.000,0.000,8000.000,0.000,0.000,0.000,0.000,0.000
AvailableforsaleSecuritiesGrossRealizedLossesExcludingOtherThanTemporaryImpairments,,,123000.000,0.000,,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
BankOwnedLifeInsuranceIncome,1733000.000,1209000.000,1255000.000,1319000.000,1326000.000,1228000.000,1239000.000,1260000.000,1389000.000,1198000.000,1238000.000,1374000.000,1563000.000,2746000.000,1750000.000
BusinessCombinationIntegrationRelatedCosts,,,,,,,,,,,,,,1840000.000,
CashAndCashEquivalentsPeriodIncreaseDecrease,,1657000.000,,,,-247516000.000,,,,-99197000.000,,-180173000.000,,,
CommonStockDividendsPerShareCashPaid,0.030,0.050,0.070,0.090,0.200,0.000,0.100,0.100,0.100,0.100,0.100,0.110,0.110,0.110,0.110
CommonStockDividendsPerShareDeclared,,,0.070,0.090,,,0.100,0.100,,0.100,,,,,
ComprehensiveIncomeNetOfTax,34203000.000,26178000.000,,,,-25752000.000,,,,38572000.000,,33729000.000,,,
DefinedBenefitPlanAmortizationOfGainsLosses,,,,,,-158000.000,,,,-77000.000,,-63000.000,-187000.000,-188000.000,
DefinedBenefitPlanAssumptionsUsedCalculatingNetPeriodicBenefitCostExpectedLongTermReturnOnAssets,,0.072,,,,0.072,,,,0.070,,0.072,,,
DefinedBenefitPlanExpectedReturnOnPlanAssets,,,,,,734000.000,,,,735000.000,,425000.000,1273000.000,1135000.000,
DefinedBenefitPlanInterestCost,,,,,,558000.000,,,,603000.000,,297000.000,893000.000,814000.000,
DefinedBenefitPlanNetPeriodicBenefitCost,,,,,,23000.000,,,,0.000,,-33000.000,-97000.000,-18000.000,
DefinedBenefitPlanRecognizedNetGainLossDueToCurtailments,0.000,,,,,,,,,,,,,,
DefinedBenefitPlanServiceCost,,,,,,41000.000,,,,55000.000,,32000.000,96000.000,93000.000,
DefinedBenefitPlanSettlementsBenefitObligation,,,,,,,,,,,,,,22000.000,
DepreciationAmortizationAndAccretionNet,,3420000.000,,,,3892000.000,,,,2690000.000,,3379000.000,,,
DividendsCash,,,,,,,,,,,13900000.000,16166000.000,15400000.000,15400000.000,
DividendsCommonStockCash,,7610000.000,,,,,,,,-13911000.000,,-16221000.000,,,
EarningsPerShareBasic,0.160,0.170,0.150,0.170,0.170,-0.120,0.170,0.170,0.150,0.160,0.180,0.190,0.190,0.200,0.210
EarningsPerShareDiluted,0.160,0.170,0.150,0.170,0.170,-0.120,0.170,0.170,0.150,0.160,0.180,0.190,0.190,0.200,0.200
EmployeeServiceShareBasedCompensationCashReceivedFromExerciseOfStockOptions,,,34000.000,106000.000,,398000.000,69000.000,289000.000,,191000.000,103000.000,155000.000,248000.000,163000.000,
EmployeeServiceShareBasedCompensationNonvestedAwardsTotalCompensationCostNotYetRecognizedPeriodForRecognition,,5.000,,,,,,,,,,,,,
ExcessTaxBenefitFromShareBasedCompensationFinancingActivities,,40000.000,,,,60000.000,,,,97000.000,,-74000.000,,,
FairValueMeasurementWithUnobservableInputsReconciliationRecurringBasisAssetGainLossIncludedInEarnings,,0.000,,,,,,,,,,,,,
FairValueMeasurementWithUnobservableInputsReconciliationRecurringBasisAssetGainLossIncludedInOtherComprehensiveIncome,,-136000.000,,,,,,,,,,,,,
FairValueMeasurementWithUnobservableInputsReconciliationRecurringBasisAssetPurchases,,0.000,,,,,,,,,,,,,
FairValueMeasurementWithUnobservableInputsReconciliationRecurringBasisAssetSales,,0.000,,,,,,,,,,,,,
