,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31
AdjustmentsRelatedToTaxWithholdingForShareBasedCompensation,,,,,2326000.000,,,,,,,
AdjustmentsToAdditionalPaidInCapitalIncreaseInCarryingAmountOfRedeemablePreferredStock,,,,,-3789000.000,,,,,,,
AdjustmentsToAdditionalPaidInCapitalOther,,,,,-64000.000,,,,,,,
AdjustmentsToAdditionalPaidInCapitalSharebasedCompensationAndExerciseOfStockOptions,,,,,2368000.000,,,,,,,
AdjustmentsToAdditionalPaidInCapitalSharebasedCompensationRequisiteServicePeriodRecognitionValue,,,,,2178000.000,,,,,,,
AmortizationOfFinancingCosts,,,,,,,,,806000.000,,,
AssetImpairmentCharges,,,,,0.000,,15000000.000,,,,,
CashAndCashEquivalentsPeriodIncreaseDecrease,749000.000,,,,-2320000.000,,,,-40561000.000,,,
CommonStockDividendsPerShareCashPaid,0.375,0.375,0.375,0.375,0.385,0.385,0.385,,0.395,0.395,0.395,0.395
ConstructionInProgressExpendituresIncurredButNotYetPaid,-611000.000,,,,-1332000.000,,,,5563000.000,,,
CostOfRealEstateRevenue,29390000.000,30069000.000,31535000.000,28218000.000,30970000.000,30875000.000,31690000.000,29461000.000,32056000.000,30622000.000,32592000.000,29034000.000
CostsAndExpenses,78916000.000,82014000.000,81667000.000,76323000.000,79067000.000,78208000.000,93878000.000,78676000.000,81597000.000,79323000.000,81723000.000,79922000.000
DebtConversionConvertedInstrumentAmount1,,,,,35000000.000,,,,,,,
Depreciation,24401000.000,27936000.000,25931000.000,24306000.000,25032000.000,24850000.000,25097000.000,25539000.000,25827000.000,26090000.000,27543000.000,25911000.000
DepreciationAndAmortizationDiscontinuedOperations,,,,,,19000.000,,,,91000.000,,
DiscontinuedOperationGainLossOnDisposalOfDiscontinuedOperationNetOfTax,,,,,,8279000.000,,,,17394000.000,,
DiscontinuedOperationIncomeLossFromDiscontinuedOperationDuringPhaseOutPeriodNetOfTax,,,,,,84000.000,,,,585000.000,,
DisposalGroupIncludingDiscontinuedOperationOperatingExpense,,,,,,,,,,359000.000,,
DisposalGroupIncludingDiscontinuedOperationRentalIncome,,,,,,,,,,1035000.000,,
DividendsCommonStockCash,,,,,29632000.000,,,,,,,
DividendsPreferredStock,,2653000.000,1138000.000,,911000.000,911000.000,911000.000,912000.000,911000.000,911000.000,911000.000,912000.000
DividendsPreferredStockCash,,,,,911000.000,,,,,,,
EarningsPerShareBasic,0.150,0.090,0.230,0.460,0.240,0.370,0.170,0.960,0.440,0.560,0.290,1.030
