,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30
AccountsPayableCurrent,2290000.000,1583000.000,2961000.000,3646000.000,2616000.000,1459000.000,1874000.000,1694000.000,2367000.000,1302000.000,1047000.000,3467000.000,2463000.000,1216000.000,1837000.000,1131000.000,2397000.000
AccountsReceivableGrossCurrent,,,,8336000.000,8116000.000,7488000.000,6997000.000,8466000.000,8176000.000,8539000.000,7810000.000,7619000.000,8922000.000,9477000.000,7602000.000,7624000.000,7962000.000
AccountsReceivableNetCurrent,5288000.000,4859000.000,5011000.000,6394000.000,6125000.000,5611000.000,5007000.000,6455000.000,6057000.000,6543000.000,5622000.000,5316000.000,6529000.000,7171000.000,5385000.000,5353000.000,5571000.000
AccruedIncomeTaxesCurrent,,8000.000,13000.000,12000.000,,,,,,,,,,,,,
AccruedLiabilitiesAndOtherLiabilities,,,,,,2604000.000,,,,3069000.000,,,,3910000.000,,,
AccruedLiabilitiesCurrent,3314000.000,2679000.000,2835000.000,2568000.000,3807000.000,2604000.000,2696000.000,2941000.000,3239000.000,3069000.000,3655000.000,2866000.000,4197000.000,3910000.000,2701000.000,4524000.000,3812000.000
AccruedRoyaltiesCurrentAndNoncurrent,,,,,,300000.000,,,,,,,,,,,
AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment,,,,,,-2896000.000,,,,-2740000.000,,,,2661000.000,,,
AccumulatedOtherComprehensiveIncomeLossCumulativeChangesInNetGainLossFromCashFlowHedgesEffectNetOfTax,,,,,,,,,,,,,,,-1153000.000,-1036000.000,-965000.000
AccumulatedOtherComprehensiveIncomeLossForeignCurrencyTranslationAdjustmentNetOfTax,,,,783000.000,658000.000,51000.000,691000.000,607000.000,382000.000,275000.000,422000.000,421000.000,421000.000,977000.000,1556000.000,1445000.000,1378000.000
AccumulatedOtherComprehensiveIncomeLossNetOfTax,538000.000,471000.000,501000.000,444000.000,460000.000,494000.000,476000.000,488000.000,509000.000,520000.000,519000.000,514000.000,472000.000,450000.000,403000.000,409000.000,413000.000
AdditionalPaidInCapital,43187000.000,43492000.000,43750000.000,43952000.000,44183000.000,44403000.000,44595000.000,44946000.000,45132000.000,45331000.000,45597000.000,45780000.000,45927000.000,46043000.000,46146000.000,46244000.000,46339000.000
AllowanceForDoubtfulAccountsReceivableCurrent,,,,277000.000,298000.000,305000.000,300000.000,305000.000,338000.000,369000.000,332000.000,368000.000,327000.000,290000.000,259000.000,268000.000,284000.000
Assets,15057000.000,13041000.000,13020000.000,16263000.000,15931000.000,14147000.000,13880000.000,14354000.000,14197000.000,14357000.000,11846000.000,14053000.000,16123000.000,16605000.000,13864000.000,15414000.000,15860000.000
AssetsCurrent,14185000.000,12196000.000,12236000.000,15507000.000,15240000.000,13489000.000,13196000.000,13670000.000,13597000.000,13784000.000,11345000.000,13564000.000,15622000.000,16015000.000,13227000.000,14700000.000,15201000.000
CapitalLeaseObligationsCurrent,57000.000,65000.000,66000.000,62000.000,56000.000,49000.000,79000.000,77000.000,78000.000,77000.000,71000.000,71000.000,72000.000,73000.000,34000.000,25000.000,16000.000
