,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30
AccretionExpense,35000.000,,,,36000.000,,,,36000.000
AdjustmentsToAdditionalPaidInCapitalTaxEffectFromShareBasedCompensation,4201000.000,,,,370000.000,,,,
AdvertisingExpense,300000.000,100000.000,200000.000,300000.000,400000.000,400000.000,400000.000,300000.000,100000.000
AmortizationOfFinancingCosts,5000.000,,,,3000.000,,,,
AmortizationOfIntangibleAssets,15000.000,15000.000,15000.000,15000.000,15000.000,15000.000,15000.000,16000.000,15000.000
AntidilutiveSecuritiesExcludedFromComputationOfEarningsPerShareAmount,2562.000,8818.000,2562.000,77297.000,140377.000,90480.000,110298.000,-273419.000,1102005.000
BusinessCombinationProFormaInformationEarningsOrLossOfAcquireeSinceAcquisitionDateActual,,,,,,,,,100000.000
BusinessCombinationProFormaInformationRevenueOfAcquireeSinceAcquisitionDateActual,,,,,,,,,2000000.000
CashAndCashEquivalentsPeriodIncreaseDecrease,4540000.000,,,,-3368000.000,,,,-15664000.000
CommonStockDividendsPerShareCashPaid,,0.000,0.000,,,,,,
CommonStockDividendsPerShareDeclared,0.000,0.000,0.000,0.000,,,,,
ConversionOfStockSharesConverted1,80560.000,,,,80560.000,,,,
CostOfRevenue,20486000.000,28786000.000,23267000.000,32027000.000,24278000.000,36749000.000,27951000.000,39497000.000,31069000.000
DeferredIncomeTaxExpenseBenefit,146000.000,,,,31000.000,,,,-1242000.000
DefinedContributionPlanMaximumAnnualContributionPerEmployeeAmount,,,4000.000,,,,,,
Depreciation,185000.000,248000.000,271000.000,296000.000,294000.000,313000.000,383000.000,410000.000,500000.000
DepreciationAndAmortization,200000.000,,,,309000.000,,,,546000.000
DividendsPreferredStockCash,,0.000,,,,,,,
EarningsPerShareBasic,0.130,0.220,0.080,0.240,0.120,0.330,0.160,0.290,-0.070
EarningsPerShareDiluted,0.120,0.210,0.080,0.240,0.120,0.320,0.160,0.280,-0.070
EffectiveIncomeTaxRateContinuingOperations,,,,,0.402,0.402,0.413,-0.809,0.397
EntityWideDisclosureOnGeographicAreasRevenueFromExternalCustomersAttributedToEntitysCountryOfDomicile,33148000.000,44423000.000,34413000.000,50765000.000,,,,,
EntityWideDisclosureOnGeographicAreasRevenueFromExternalCustomersAttributedToForeignCountries,1145000.000,2263000.000,1870000.000,1950000.000,,,,,
ExcessTaxBenefitFromShareBasedCompensationFinancingActivities,4201000.000,,,,370000.000,,,,321000.000
ExcessTaxBenefitFromShareBasedCompensationOperatingActivities,4201000.000,,,,370000.000,,,,321000.000
GrossProfit,13807000.000,17900000.000,13016000.000,20688000.000,14762000.000,21901000.000,18226000.000,20740000.000,12228000.000
IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,3605000.000,6357000.000,2320000.000,7587000.000,3390000.000,9291000.000,4755000.000,8390000.000,-2024000.000
IncomeTaxExpenseBenefit,1474000.000,2572000.000,919000.000,3353000.000,1361000.000,3739000.000,1966000.000,3471000.000,-804000.000
IncreaseDecreaseInAccountsPayable,284000.000,,,,-1867000.000,,,,385000.000
IncreaseDecreaseInAccountsPayableRelatedParties,-1305000.000,,,,,,,,
IncreaseDecreaseInAccountsReceivable,-4482000.000,,,,-4606000.000,,,,-1036000.000
IncreaseDecreaseInAccruedIncomeTaxesPayable,1300000.000,,,,,,,,
IncreaseDecreaseInIncomeTaxesReceivable,-164000.000,,,,-588000.000,,,,2472000.000
IncreaseDecreaseInInventories,4282000.000,,,,3565000.000,,,,7735000.000
IncreaseDecreaseInOtherAccountsPayableAndAccruedLiabilities,3526000.000,,,,-605000.000,,,,1982000.000
IncreaseDecreaseInPrepaidDeferredExpenseAndOtherAssets,352000.000,,,,-1415000.000,,,,478000.000
IncreaseDecreaseInRestrictedCash,,,,,,,,,-300000.000
IncrementalCommonSharesAttributableToCallOptionsAndWarrants,659040.000,625684.000,523881.000,,,,,,
IncrementalCommonSharesAttributableToShareBasedPaymentArrangements,5861.000,6505.000,8303.000,-12374.000,,,,,
InsuranceRecoveries,,,,,,1200000.000,400000.000,,
InterestExpense,40000.000,40000.000,40000.000,48000.000,71000.000,104000.000,80000.000,80000.000,91000.000
InventoryLIFOReserveEffectOnIncomeNet,-112000.000,,,,239000.000,,,,
LineOfCreditFacilityUnusedCapacityCommitmentFeePercentage,0.001,0.001,0.001,,,,,,
NetCashProvidedByUsedInFinancingActivities,4325000.000,,,,-6238000.000,,,,1055000.000
NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,4325000.000,,,,-6238000.000,,,,1055000.000
NetCashProvidedByUsedInInvestingActivities,-735000.000,,,,-272000.000,,,,-8459000.000
NetCashProvidedByUsedInInvestingActivitiesContinuingOperations,-735000.000,,,,-272000.000,,,,-8459000.000
NetCashProvidedByUsedInOperatingActivities,950000.000,,,,3142000.000,,,,-8260000.000
NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,950000.000,,,,3142000.000,,,,-8260000.000
NetIncomeLoss,2131000.000,3785000.000,1401000.000,4234000.000,2029000.000,5552000.000,2789000.000,4919000.000,-1220000.000
NetIncomeLossAvailableToCommonStockholdersBasic,2131000.000,3785000.000,1401000.000,4234000.000,,,,,
NonoperatingIncomeExpense,49000.000,36000.000,31000.000,-29000.000,26000.000,32000.000,30000.000,-47000.000,15000.000
OperatingIncomeLoss,3596000.000,6361000.000,2329000.000,7664000.000,3435000.000,9363000.000,4805000.000,8517000.000,-1948000.000
OperatingLeasesRentExpenseNet,120000.000,120000.000,146000.000,146000.000,150000.000,156000.000,155000.000,239000.000,180000.000
OtherSellingGeneralAndAdministrativeExpense,,,,,43000.000,32000.000,,,
PaymentsOfDividendsCommonStock,,0.000,0.000,,0.000,,,,
PaymentsToAcquireBusinessesGross,,,,,,,,,7508000.000
PaymentsToAcquireIntangibleAssets,,,,,,,,,30000.000
PaymentsToAcquirePropertyPlantAndEquipment,735000.000,,,,272000.000,,,,1221000.000
PreferredStockDividendsPerShareCashPaid,,0.000,,,,,,,
ProceedsFromIssuanceInitialPublicOffering,109300000.000,,,,,,,,
ProceedsFromIssuanceOfCommonStock,11146000.000,,,,,,,,
ProceedsFromLongTermLinesOfCredit,735000.000,,,,4449000.000,,,,2877000.000
ProceedsFromStockOptionsExercised,1774000.000,,,,392000.000,,,,734000.000
RepaymentsOfLongTermLinesOfCredit,13531000.000,,,,11449000.000,,,,2877000.000
ResearchAndDevelopmentExpense,800000.000,700000.000,600000.000,700000.000,600000.000,600000.000,500000.000,600000.000,600000.000
Revenues,34293000.000,46686000.000,36283000.000,52715000.000,39040000.000,58650000.000,46177000.000,60237000.000,43297000.000
SalesReturnsGoods,,,1570000.000,,,751000.000,-104000.000,,
SalesRevenueNet,34293000.000,46686000.000,36283000.000,52715000.000,39040000.000,58650000.000,46177000.000,60237000.000,43297000.000
SellingGeneralAndAdministrativeExpense,10211000.000,11539000.000,10687000.000,13024000.000,11327000.000,12538000.000,13421000.000,12223000.000,14176000.000
ShareBasedCompensation,216000.000,,,,293000.000,,,,1223000.000
ShareBasedCompensationArrangementByShareBasedPaymentAwardEquityInstrumentsOtherThanOptionsForfeitedInPeriod,,,,,2841.000,,,,1789.000
ShareBasedCompensationArrangementByShareBasedPaymentAwardEquityInstrumentsOtherThanOptionsForfeituresWeightedAverageGrantDateFairValue,,,,,,,,,27.400
ShareBasedCompensationArrangementByShareBasedPaymentAwardEquityInstrumentsOtherThanOptionsGrantsInPeriod,,,,,41644.000,,,,82431.000
ShareBasedCompensationArrangementByShareBasedPaymentAwardEquityInstrumentsOtherThanOptionsGrantsInPeriodWeightedAverageGrantDateFairValue,,,,,39.020,,,,
ShareBasedCompensationArrangementByShareBasedPaymentAwardEquityInstrumentsOtherThanOptionsVestedInPeriod,,,,,,,,,0.000
ShareBasedCompensationArrangementByShareBasedPaymentAwardEquityInstrumentsOtherThanOptionsVestedInPeriodWeightedAverageGrantDateFairValue,,,,,,,,,0.000
ShareBasedCompensationArrangementByShareBasedPaymentAwardFairValueAssumptionsExpectedDividendRate,0.000,,,,,,,,
ShareBasedCompensationArrangementByShareBasedPaymentAwardFairValueAssumptionsExpectedVolatilityRate,0.410,,,,,,,,
ShareBasedCompensationArrangementByShareBasedPaymentAwardFairValueAssumptionsRiskFreeInterestRate,0.022,,,,,,,,
ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsExercisesInPeriodTotalIntrinsicValue,,,,,1100000.000,,,,1100000.000
ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsForfeituresAndExpirationsInPeriod,,,,,9793.000,,,,4197.000
ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsForfeituresAndExpirationsInPeriodWeightedAverageExercisePrice,,,,,19.000,,,,19.000
ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsGrantsInPeriodGross,,,,,41498.000,,,,73737.000
ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsGrantsInPeriodWeightedAverageGrantDateFairValue,,,,,13.990,,,,11.150
ShareBasedCompensationArrangementsByShareBasedPaymentAwardOptionsExercisesInPeriodWeightedAverageExercisePrice,,,,,,,,,13.200
ShareBasedCompensationArrangementsByShareBasedPaymentAwardOptionsGrantsInPeriodWeightedAverageExercisePrice,,,,,,,,,32.480
ShippingHandlingAndTransportationCosts,1300000.000,1500000.000,1400000.000,1500000.000,1500000.000,1800000.000,1800000.000,2100000.000,1900000.000
StockIssuedDuringPeriodSharesNewIssues,950000.000,,,,,,,,
StockIssuedDuringPeriodSharesStockOptionsExercised,,,,,40044.000,,,,55604.000
StockIssuedDuringPeriodValueConversionOfConvertibleSecuritiesNetOfAdjustments,81373000.000,,,,,,,,
StockIssuedDuringPeriodValueNewIssues,11146000.000,,,,,,,,
StockIssuedDuringPeriodValueStockOptionsExercised,1774000.000,,,,455000.000,,,,
TaxBenefitFromStockOptionsExercised1,11800000.000,2300000.000,6700000.000,600000.000,,,,,
WeightedAverageNumberOfDilutedSharesOutstanding,17600908.000,17702516.000,17781720.000,-35377305.000,17353222.000,17392447.000,17398006.000,-34731127.000,17059147.000
WeightedAverageNumberOfSharesOutstandingBasic,16936007.000,17070327.000,17249536.000,-34126536.000,16869557.000,16896227.000,16937139.000,-33776096.000,17059147.000
