,2016-12-31
AdvertisingExpense,89796.000
AllowanceForLoanAndLeaseLossRecoveryOfBadDebts,3720.000
AllowanceForLoanAndLeaseLossesWriteOffs,81784.000
AmortizationOfESOPAward,60304.000
AvailableForSaleSecuritiesGrossRealizedGains,188982.000
AvailableforsaleSecuritiesGrossRealizedGainLossExcludingOtherThanTemporaryImpairments,144820.000
AvailableforsaleSecuritiesGrossRealizedLossesExcludingOtherThanTemporaryImpairments,44162.000
BankOwnedLifeInsuranceIncome,21501.000
CashAndCashEquivalentsPeriodIncreaseDecrease,-5843983.000
CommonStockDividendsPerShareCashPaid,0.160
ComprehensiveIncomeNetOfTax,-404230.000
CurrentFederalTaxExpenseBenefit,51357.000
CurrentIncomeTaxExpenseBenefit,56725.000
CurrentStateAndLocalTaxExpenseBenefit,5368.000
DeferredFederalIncomeTaxExpenseBenefit,-86093.000
DeferredIncomeTaxExpenseBenefit,-75093.000
DeferredIncomeTaxesAndTaxCredits,-75093.000
DeferredStateAndLocalIncomeTaxExpenseBenefit,11000.000
Depreciation,367210.000
DepreciationDepletionAndAmortization,846060.000
DividendsCommonStockCash,390072.000
EarningsPerShareBasic,0.050
EarningsPerShareDiluted,0.050
EffectiveIncomeTaxRateReconciliationAtFederalStatutoryIncomeTaxRate,0.340
EmployeeStockOwnershipPlanESOPCompensationExpense,60304.000
FederalDepositInsuranceCorporationPremiumExpense,59202.000
FederalIncomeTaxExpenseBenefitContinuingOperations,-34736.000
FeesAndCommissionsDepositorAccounts,395141.000
GainLossOnSaleOfMortgageLoans,19055.000
GainLossOnSaleOfPropertyPlantEquipment,0.000
ImpairedFinancingReceivableInterestIncomeCashBasisMethod,0.000
ImpairmentOfRealEstate,20509.000
IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,91045.000
IncomeTaxExpenseBenefit,-18368.000
IncomeTaxReconciliationChangeInDeferredTaxAssetsValuationAllowance,35000.000
IncomeTaxReconciliationIncomeTaxExpenseBenefitAtFederalStatutoryIncomeTaxRate,30955.000
IncomeTaxReconciliationNondeductibleExpenseCharitableContributions,0.000
IncomeTaxReconciliationOtherAdjustments,24917.000
IncomeTaxReconciliationStateAndLocalIncomeTaxes,10803.000
IncomeTaxReconciliationTaxExemptIncome,120043.000
IncomeTaxesPaid,127206.000
IncreaseDecreaseInAccountsPayableAndAccruedLiabilities,-97495.000
IncreaseDecreaseInAccruedInterestReceivableNet,14974.000
IncreaseDecreaseInAdvancePaymentsByBorrowersForTaxesAndInsurance,61043.000
IncreaseDecreaseInDeposits,-990151.000
IncreaseDecreaseInIncomeTaxesReceivable,60839.000
IncreaseDecreaseInInterestPayableNet,-5812.000
IncreaseDecreaseInPrepaidDeferredExpenseAndOtherAssets,96515.000
InformationTechnologyAndDataProcessing,419971.000
InterestAndDividendIncomeOperating,3785868.000
InterestAndFeeIncomeLoansAndLeases,2919096.000
InterestExpense,638980.000
InterestExpenseDeposits,572549.000
InterestExpenseDomesticDepositLiabilitiesCertificatesOfDeposit,498742.000
InterestExpenseDomesticDepositLiabilitiesSavings,23727.000
InterestExpenseFederalHomeLoanBankAndFederalReserveBankAdvancesShortTerm,66431.000
InterestIncomeExpenseAfterProvisionForLoanLoss,3086888.000
InterestIncomeExpenseNet,3146888.000
InterestIncomeOther,92327.000
InterestIncomeSecuritiesTaxExempt,373559.000
InterestIncomeSecuritiesTaxable,400886.000
InterestPaid,644792.000
LaborAndRelatedExpense,1404724.000
LoansAndLeasesReceivableRelatedPartiesAdditions,325599.000
LoansAndLeasesReceivableRelatedPartiesProceeds,51419.000
NetCashProvidedByUsedInFinancingActivities,11048193.000
NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,11048193.000
NetCashProvidedByUsedInInvestingActivities,-17532456.000
NetCashProvidedByUsedInInvestingActivitiesContinuingOperations,-17532456.000
NetCashProvidedByUsedInOperatingActivities,640280.000
NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,640280.000
NetIncomeLoss,109413.000
NoninterestExpense,3589547.000
NoninterestIncome,593704.000
NoninterestIncomeOther,32242.000
OccupancyNet,467505.000
OtherComprehensiveIncomeAvailableforsaleSecuritiesTaxPortionAttributableToParent,-303950.000
OtherComprehensiveIncomeLossNetOfTaxPortionAttributableToParent,-513643.000
OtherComprehensiveIncomeLossReclassificationAdjustmentFromAOCIForSaleOfSecuritiesBeforeTax,144820.000
OtherComprehensiveIncomeUnrealizedHoldingGainLossOnSecuritiesArisingDuringPeriodBeforeTax,-672773.000
OtherNoninterestExpense,395024.000
PaymentsForOriginationOfMortgageLoansHeldForSale,1429200.000
PaymentsForProceedsFromFederalHomeLoanBankStock,-97900.000
PaymentsForProceedsFromLoansAndLeases,3174532.000
PaymentsForRepurchaseOfCommonStock,0.000
PaymentsOfDividendsCommonStock,390072.000
PaymentsOfStockIssuanceCosts,1609457.000
PaymentsToAcquireAvailableForSaleSecurities,29329588.000
PaymentsToAcquireLifeInsurancePolicies,3000000.000
PaymentsToAcquirePropertyPlantAndEquipment,88363.000
ProceedsFromFederalHomeLoanBankAdvances,-2500000.000
ProceedsFromIssuanceInitialPublicOffering,15744744.000
ProceedsFromMaturitiesPrepaymentsAndCallsOfAvailableForSaleSecurities,6046373.000
ProceedsFromSaleOfAvailableForSaleSecurities,14002711.000
ProceedsFromSaleOfMortgageLoansHeldForSale,1448255.000
ProceedsFromSaleOfOtherRealEstate,0.000
ProfessionalFees,640071.000
ProvisionForLoanAndLeaseLosses,60000.000
StateAndLocalIncomeTaxExpenseBenefitContinuingOperations,16368.000
TransferToOtherRealEstate,141218.000
UnrecognizedTaxBenefitsIncomeTaxPenaltiesAndInterestExpense,0.000
WeightedAverageNumberOfShareOutstandingBasicAndDiluted,2425313.000
