,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31
AccountsPayableAndAccruedLiabilitiesCurrent,226029.000,194544.000,232375.000,168950.000,211907.000,180537.000,280054.000,230335.000,196731.000,201398.000
AccountsReceivableNetCurrent,7297.000,4169.000,3320.000,3402.000,3938.000,3062.000,3757.000,3757.000,3757.000,3757.000
AdditionalPaidInCapital,38141.000,227000.000,227000.000,280572.000,2998617.000,3064831.000,4581153.000,5931659.000,6238344.000,12926284.000
AllowanceForDoubtfulAccountsReceivableCurrent,,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Assets,12082.000,14585.000,21431.000,17896.000,16364.000,65223.000,505631.000,561073.000,458124.000,457020.000
AssetsCurrent,10340.000,12830.000,19857.000,16501.000,14969.000,64192.000,57016.000,112529.000,3757.000,4482.000
CashAndCashEquivalentsAtCarryingValue,43.000,4797.000,12673.000,9235.000,7167.000,61130.000,53259.000,75961.000,,725.000
ClassOfWarrantOrRightExercisePriceOfWarrantsOrRights1,,10.000,,,,,,,,
CommonStockParOrStatedValuePerShare,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
CommonStockSharesAuthorized,250000000.000,250000000.000,250000000.000,750000000.000,250000000.000,250000000.000,250000000.000,250000000.000,250000000.000,250000000.000
CommonStockSharesIssued,67082130.000,77437130.000,77437130.000,78237130.000,106543534.000,109542788.000,120993394.000,152902168.000,199404940.000,2644193397.000
CommonStockSharesOutstanding,67082130.000,77437130.000,77437130.000,78237130.000,106543534.000,109542788.000,120993394.000,152902168.000,199404940.000,2644193397.000
CommonStockValue,6708.000,7743.000,7734.000,7824.000,10645.000,10945.000,12090.000,15281.000,19941.000,264420.000
ConvertibleLongTermNotesPayable,9950.000,,,2359.000,3667.000,,,,,
ConvertibleNotesPayable,191429.000,,201048.000,367977.000,456408.000,501369.000,684126.000,501369.000,,463696.000
ConvertibleNotesPayableCurrent,154175.000,144268.000,186060.000,208445.000,188281.000,323773.000,469036.000,398273.000,555464.000,446813.000
DebtInstrumentFaceAmount,,157049.000,,,,,,,,
DebtInstrumentInterestRateStatedPercentage,0.080,,,,,,,,,
