,2011-06-30
AccountsPayableAndAccruedLiabilitiesCurrent,328970.000
AccruedLiabilitiesCurrent,16722.000
AdditionalPaidInCapital,16367822.000
AssetRetirementObligationsNoncurrent,2515.000
Assets,368110.000
AssetsCurrent,62491.000
CashAndCashEquivalentsAtCarryingValue,31729.000
CommonStockParOrStatedValuePerShare,0.001
CommonStockSharesAuthorized,50000000.000
CommonStockSharesIssued,13039000.000
CommonStockSharesOutstanding,13039000.000
CommonStockValue,13039.000
Liabilities,391845.000
LiabilitiesAndStockholdersEquity,368110.000
LiabilitiesCurrent,345692.000
LongTermLoansPayable,39238.000
OilAndGasPropertyFullCostMethodNet,304416.000
OtherLiabilitiesNoncurrent,4400.000
PreferredStockParOrStatedValuePerShare,0.001
PreferredStockSharesAuthorized,100000000.000
PrepaidExpenseCurrent,2750.000
PropertyPlantAndEquipmentOther,1203.000
ReceivablesNetCurrent,28012.000
RetainedEarningsAccumulatedDeficit,-16404596.000
StockholdersEquity,-23735.000
StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,-23735.000
