,2011-09-30
CashAndCashEquivalentsPeriodIncreaseDecrease,-15826.000
CostsAndExpenses,61909.000
EarningsPerShareBasicAndDiluted,-0.000
EquityMethodInvestmentDeferredGainOnSale,93333.000
GeneralAndAdministrativeExpense,1276.000
IncomeLossFromContinuingOperations,-61909.000
IncomeLossFromContinuingOperationsPerBasicAndDilutedShare,-0.000
IncreaseDecreaseInAccountsPayableAndAccruedLiabilities,8150.000
IssuanceOfStockAndWarrantsForServicesOrClaims,40000.000
NetCashProvidedByUsedInFinancingActivities,4600.000
NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,4600.000
NetCashProvidedByUsedInOperatingActivities,-20426.000
NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,-20426.000
NetIncomeLoss,-61909.000
ProceedsFromRelatedPartyDebt,4600.000
ProfessionalFees,20633.000
ShareBasedCompensation,40000.000
