,2015-11-01,2016-01-31,2016-05-01,2016-07-31,2016-10-30,2017-01-29,2017-04-30
AccountsPayableTradeCurrent,21456000.000,10611000.000,7072000.000,17994000.000,19277000.000,9330000.000,10662000.000
AccountsReceivableNetCurrent,54000.000,20000.000,45000.000,44000.000,30000.000,45000.000,31000.000
AccruedAdvertisingCurrent,,,,,2349000.000,556000.000,5888000.000
AccruedLiabilitiesCurrent,,,,,17384000.000,19822000.000,19869000.000
AccruedMarketingCostsCurrent,,,,,779000.000,1574000.000,2143000.000
AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment,10088000.000,10907000.000,11757000.000,12820000.000,14064000.000,15529000.000,17061000.000
AccumulatedOtherComprehensiveIncomeLossNetOfTax,-34000.000,-27000.000,-21000.000,-15000.000,,,
AdditionalPaidInCapital,1301000.000,,85586000.000,85837000.000,86191000.000,86446000.000,86770000.000
Assets,103225000.000,120620000.000,118987000.000,133442000.000,155620000.000,155967000.000,159990000.000
AssetsCurrent,80940000.000,98390000.000,93133000.000,95851000.000,108233000.000,101246000.000,95873000.000
BankOverdrafts,88000.000,,,,2055000.000,,
CapitalLeaseObligationsNoncurrent,,,,,1957000.000,3349000.000,4772000.000
Cash,209000.000,37873000.000,30303000.000,23302000.000,173000.000,24042000.000,13584000.000
DeferredCostsCurrent,3040000.000,1435000.000,540000.000,1411000.000,4633000.000,1582000.000,382000.000
DeferredIncomeTaxLiabilities,,3115000.000,,,,6526000.000,
DeferredRentCreditNoncurrent,930000.000,1112000.000,1096000.000,1202000.000,1249000.000,2109000.000,2106000.000
DeferredRevenueCurrent,4615000.000,2744000.000,3967000.000,3341000.000,5418000.000,5590000.000,4845000.000
DeferredTaxAssetsInventory,,548000.000,,,,484000.000,
DeferredTaxAssetsLiabilitiesNetNoncurrent,,,,197000.000,,,
DeferredTaxAssetsNet,,3084000.000,,,,4959000.000,
DeferredTaxAssetsOther,,597000.000,,,,,
DeferredTaxAssetsTaxDeferredExpenseReservesAndAccrualsAccruedLiabilities,,975000.000,,,,2128000.000,
DeferredTaxAssetsTaxDeferredExpenseReservesAndAccrualsDeferredRent,,479000.000,,,,902000.000,
DeferredTaxAssetsTaxDeferredExpenseReservesAndAccrualsReturnsAndAllowances,,485000.000,,,,424000.000,
DeferredTaxLiabilities,,31000.000,,,,1567000.000,
DeferredTaxLiabilitiesGoodwillAndIntangibleAssets,,120000.000,,,,100000.000,
DeferredTaxLiabilitiesNoncurrent,,31000.000,7000.000,,182000.000,1567000.000,1545000.000
DeferredTaxLiabilitiesOther,,686000.000,,,,227000.000,
DeferredTaxLiabilitiesPrepaidExpenses,,1026000.000,,,,1069000.000,
DeferredTaxLiabilitiesPropertyPlantAndEquipment,,1283000.000,,,,5130000.000,
EmployeeRelatedLiabilitiesCurrent,869000.000,3649000.000,878000.000,1390000.000,1223000.000,3885000.000,1250000.000
FiniteLivedIntangibleAssetsAccumulatedAmortization,,200000.000,,,,200000.000,
FiniteLivedIntangibleAssetsAmortizationExpenseAfterYearFive,,9000.000,,,,67000.000,
FiniteLivedIntangibleAssetsAmortizationExpenseNextTwelveMonths,,75000.000,,,,55000.000,
FiniteLivedIntangibleAssetsAmortizationExpenseYearFive,,2000.000,,,,12000.000,
FiniteLivedIntangibleAssetsAmortizationExpenseYearFour,,2000.000,,,,12000.000,
FiniteLivedIntangibleAssetsAmortizationExpenseYearThree,,2000.000,,,,17000.000,
FiniteLivedIntangibleAssetsAmortizationExpenseYearTwo,,37000.000,,,,20000.000,
FiniteLivedIntangibleAssetsNet,,127000.000,,,,183000.000,
Goodwill,402000.000,402000.000,402000.000,402000.000,402000.000,402000.000,402000.000
InventoryNet,72993000.000,55303000.000,58239000.000,66919000.000,96681000.000,70368000.000,75716000.000
InventoryValuationReserves,1559000.000,1404000.000,1549000.000,1550000.000,1717000.000,1242000.000,1596000.000
Liabilities,67982000.000,30134000.000,25095000.000,35525000.000,56106000.000,42179000.000,45194000.000
LiabilitiesAndStockholdersEquity,103225000.000,120620000.000,118987000.000,133442000.000,155620000.000,155967000.000,159990000.000
LiabilitiesCurrent,32392000.000,24690000.000,22783000.000,33576000.000,38778000.000,35119000.000,36737000.000
LongTermDebtAndCapitalLeaseObligations,4367000.000,4301000.000,1209000.000,747000.000,13940000.000,35000.000,34000.000
LongTermDebtAndCapitalLeaseObligationsCurrent,726000.000,722000.000,3741000.000,4132000.000,62000.000,742000.000,728000.000
LongTermDebtAndCapitalLeaseObligationsIncludingCurrentMaturities,5093000.000,5023000.000,4950000.000,4879000.000,14002000.000,777000.000,762000.000
LongTermDebtAndCapitalLeaseObligationsMaturitiesRepaymentsOfPrincipalAfterYearFive,,18000.000,,,,11000.000,
LongTermDebtAndCapitalLeaseObligationsMaturitiesRepaymentsOfPrincipalInYearFive,,6000.000,,,,6000.000,
LongTermDebtAndCapitalLeaseObligationsMaturitiesRepaymentsOfPrincipalInYearFour,,343000.000,,,,6000.000,
LongTermDebtAndCapitalLeaseObligationsMaturitiesRepaymentsOfPrincipalInYearThree,,69000.000,,,,6000.000,
