,2011-12-31,2012-12-31,2013-12-31,2014-12-31
AdjustmentsToAdditionalPaidInCapitalSharebasedCompensationRequisiteServicePeriodRecognitionValue,643083.000,696889.000,647424.000,665680.000
AllocatedShareBasedCompensationExpense,725179.000,,,
AmortizationOfDebtDiscountPremium,,,,41914.000
AmortizationOfFinancingCosts,93269.000,122742.000,128326.000,41914.000
AmortizationOfLeasedAsset,,,,133225.000
BrokerageCommissionsRevenue,13411312.000,6199912.000,4201980.000,5319002.000
CapitalLeaseObligationsIncurred,,,399675.000,
CapitalLeasesIncomeStatementAmortizationExpense,,,,133000.000
CapitalLeasesIncomeStatementInterestExpense,,,17000.000,26000.000
CashAndCashEquivalentsPeriodIncreaseDecrease,-894581.000,-2686522.000,-272880.000,623909.000
CommunicationsAndInformationTechnology,1954384.000,1084234.000,727286.000,813830.000
CurrentFederalTaxExpenseBenefit,,0.000,0.000,0.000
CurrentStateAndLocalTaxExpenseBenefit,,0.000,0.000,0.000
DebtConversionConvertedInstrumentAmount1,,,,0.000
DebtConversionOriginalDebtAmount1,,,,0.000
DeferredFederalIncomeTaxExpenseBenefit,,-1343000.000,-938000.000,-442000.000
DeferredStateAndLocalIncomeTaxExpenseBenefit,,807000.000,-332000.000,-76000.000
DefinedContributionPlanMaximumAnnualContributionPerEmployeePercent,,0.150,,
DefinedContributionPlanMaximumAnnualContributionsPerEmployeePercent,,,0.150,0.150
DepreciationAndAmortization,125726.000,20787.000,82664.000,217044.000
DepreciationDepletionAndAmortization,,,83000.000,217000.000
DividendsPreferredStock,-491334.000,42061.000,,
DividendsPreferredStockCash,491334.000,42061.000,0.000,
EarningsPerShareBasicAndDiluted,-2.700,-1.310,-0.040,-0.370
EffectiveIncomeTaxRateContinuingOperations,,0.000,0.000,0.000
EffectiveIncomeTaxRateReconciliationAtFederalStatutoryIncomeTaxRate,,-0.340,-0.340,0.340
EffectiveIncomeTaxRateReconciliationChangeInDeferredTaxAssetsValuationAllowance,,0.079,0.318,
EffectiveIncomeTaxRateReconciliationChangeInEnactedTaxRate,,0.192,-0.069,-0.318
EffectiveIncomeTaxRateReconciliationEquityInEarningsLossesOfUnconsolidatedSubsidiary,,0.066,0.031,
EffectiveIncomeTaxRateReconciliationNondeductibleExpenseMealsAndEntertainment,,0.007,0.004,
EffectiveIncomeTaxRateReconciliationNondeductibleExpenseOther,,,,0.057
EffectiveIncomeTaxRateReconciliationNondeductibleExpenseShareBasedCompensationCost,,0.098,0.068,0.000
EffectiveIncomeTaxRateReconciliationOtherAdjustments,,-0.025,0.058,0.012
EffectiveIncomeTaxRateReconciliationStateAndLocalIncomeTaxes,,-0.077,-0.083,0.047
FairValueAdjustmentOfWarrants,,,,262000.000
FairValueAssetsAndLiabilitiesMeasuredOnRecurringBasisGainLossIncludedInEarnings,,,,-437215.000
FairValueAssetsMeasuredOnRecurringBasisChangeInUnrealizedGainLoss,,,,-473442.000
FairValueAssumptionsExpectedDividendRate,,0.000,0.000,0.000
FairValueAssumptionsExpectedVolatilityRate,,1.403,1.791,2.113
FairValueAssumptionsRiskFreeInterestRate,,0.007,0.610,0.013
FairValueMeasurementWithUnobservableInputsReconciliationRecurringBasisAssetTransfersIntoLevel3,,,74280.000,
FairValueMeasurementWithUnobservableInputsReconciliationRecurringBasisAssetTransfersOutOfLevel3,,,188793.000,91758.000
FairValueNetDerivativeAssetLiabilityMeasuredOnRecurringBasisUnobservableInputsReconciliationPurchases,,,,1416241.000
FairValueNetDerivativeAssetLiabilityMeasuredOnRecurringBasisUnobservableInputsReconciliationSales,,,,-25405.000
FloorBrokerageExchangeAndClearanceFees,1395820.000,593681.000,440098.000,442590.000
GainLossOnSaleOfAccountsReceivable,,-7000.000,0.000,
GainLossOnSaleOfOtherAssets,-13359.000,,,
GainsLossesOnExtinguishmentOfDebt,-1183917.000,0.000,-293347.000,-271322.000
GainsLossesOnSalesOfAssets,,0.000,,
IncomeLossFromContinuingOperations,-7893662.000,,,
IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,-7887555.000,-6869280.000,-3992069.000,-1627926.000
IncomeLossFromContinuingOperationsPerBasicAndDilutedShare,-2.700,,,
IncomeLossFromDiscontinuedOperationsNetOfTaxAttributableToReportingEntity,0.000,,,
IncomeLossFromDiscontinuedOperationsNetOfTaxPerBasicAndDilutedShare,0.000,,,
IncomeLossFromEquityMethodInvestments,,-1086329.000,0.000,
IncomeTaxExpenseBenefit,6107.000,0.000,-1270000.000,0.000
IncomeTaxExpenseBenefitContinuingOperations,,-536000.000,,
IncomeTaxesPaid,10290.000,0.000,,
IncreaseDecreaseInAccountsPayable,-67771.000,25372.000,45860.000,-65644.000
IncreaseDecreaseInAccountsReceivable,-1650320.000,289235.000,276133.000,147309.000
IncreaseDecreaseInAccruedLiabilities,-747475.000,-1566512.000,387084.000,80550.000
