,2011-09-30
CostOfGoodsSold,179218.000
EarningsPerShareBasicAndDiluted,-0.010
GainLossOnContractTermination,10633.000
GeneralAndAdministrativeExpense,124490.000
GrossProfit,35357.000
IncomeLossFromContinuingOperations,-98445.000
IncomeLossFromContinuingOperationsBeforeIncomeTaxesDomestic,-98833.000
IncomeTaxExpenseBenefit,0.000
InterestExpense,-15865.000
NetIncomeLoss,-98833.000
OperatingExpenses,133802.000
OtherComprehensiveIncomeLossNetOfTaxPeriodIncreaseDecrease,-98833.000
OtherExpenses,-388.000
OtherIncome,4844.000
ProfessionalFees,9312.000
RevenueFromRelatedParties,160432.000
RevenueOtherFinancialServices,54143.000
Revenues,214575.000
SalesRevenueNet,209731.000
UnrealizedGainLossOnSecurities,0.000
WeightedAverageNumberOfSharesOutstandingBasic,47460901.000
